time,UKESM1-0-LL,GFDL-ESM4,KACE-1-0-G,MRI-ESM2-0,TAIESM1,IPSL-CM6A-LR,MPI-ESM1-2-HR,IITM-ESM,CESM2-WACCM
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0
2021.0,33649498000.0,33689647000.0,33687790000.0,33736890000.0,33673085000.0,33686364000.0,33716881000.0,33744996000.0,33854886000.0
2022.0,33587653000.0,33672745000.0,33674172000.0,33703793000.0,33651930000.0,33660545000.0,33696696000.0,33834398000.0,33730324000.0
2023.0,33503169000.0,33658900000.0,33646754000.0,33683260000.0,33606498000.0,33680260000.0,33672591000.0,33728014000.0,33696539000.0
2024.0,33274448000.0,33640624000.0,33625915000.0,33670095000.0,33575272000.0,33634675000.0,33666320000.0,33716599000.0,33683646000.0
2025.0,33123434000.0,33616304000.0,33608186000.0,33646496000.0,33548368000.0,33603270000.0,33645713000.0,33688015000.0,33673525000.0
2026.0,32969312000.0,33604854000.0,33597086000.0,33602583000.0,33520738000.0,33606468000.0,33629049000.0,33681166000.0,33665632000.0
2027.0,32818630000.0,33580517000.0,33590553000.0,33567308000.0,33486969000.0,33596287000.0,33611428000.0,33686528000.0,33643970000.0
2028.0,32669330000.0,33556627000.0,33538576000.0,33537794000.0,33449142000.0,33552245000.0,33582070000.0,33675106000.0,33612370000.0
2029.0,32419287000.0,33521922000.0,33497741000.0,33486301000.0,33383875000.0,33515825000.0,33547454000.0,33661446000.0,33600555000.0
2030.0,32174414000.0,33502770000.0,33476192000.0,33452940000.0,33355205000.0,33471633000.0,33524308000.0,33667133000.0,33587782000.0
2031.0,31855213000.0,33510683000.0,33404467000.0,33428750000.0,33300724000.0,33450963000.0,33506574000.0,33647413000.0,33575397000.0
2032.0,31479216000.0,33444954000.0,33290146000.0,33381601000.0,33266330000.0,33327520000.0,33549597000.0,33606654000.0,33596471000.0
2033.0,31240452000.0,33420636000.0,33203240000.0,33367972000.0,33183121000.0,33293100000.0,33489867000.0,33612296000.0,33542093000.0
