time,MRI-ESM2-0,CANESM5,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0
2021.0,33689004000.0,33678954000.0,33684824000.0,33657289000.0,33701767000.0
2022.0,33677085000.0,33646348000.0,33737376000.0,33613664000.0,33715420000.0
2023.0,33653289000.0,33595726000.0,33660527000.0,33562124000.0,33791474000.0
2024.0,33602339000.0,33537229000.0,33673980000.0,33511380000.0,33745777000.0
2025.0,33575449000.0,33440516000.0,33650463000.0,33446687000.0,33786680000.0
2026.0,33544475000.0,33305645000.0,33682740000.0,33376193000.0,33907958000.0
2027.0,33511530000.0,33121878000.0,33716394000.0,33282550000.0,33689979000.0
2028.0,33452590000.0,32968843000.0,33631164000.0,33107479000.0,33661747000.0
2029.0,33406440000.0,32755962000.0,33612659000.0,32919222000.0,33648250000.0
2030.0,33347105000.0,32564838000.0,33577593000.0,32708260000.0,33604979000.0
2031.0,33302730000.0,32269420000.0,33543944000.0,32508920000.0,33573122000.0
2032.0,33251152000.0,32050080000.0,33529836000.0,32207172000.0,33551130000.0
2033.0,33169340000.0,31780796000.0,33541011000.0,31909865000.0,33534069000.0
2034.0,33104042000.0,31462834000.0,33492249000.0,31561746000.0,33560291000.0
2035.0,32978930000.0,31091542000.0,33471654000.0,31255220000.0,33471457000.0
2036.0,32865680000.0,30732200000.0,33455987000.0,30918224000.0,33446984000.0
2037.0,32756040000.0,30208283000.0,33417947000.0,30495201000.0,33421590000.0
2038.0,32627655000.0,29596869000.0,33352825000.0,30028915000.0,33436424000.0
2039.0,32450474000.0,28915489000.0,33332505000.0,29484358000.0,33370968000.0
2040.0,32182004000.0,28346954000.0,33392314000.0,28912843000.0,33276908000.0
2041.0,31955950000.0,27851438000.0,33412411000.0,28146618000.0,33250632000.0
2042.0,31660255000.0,27407088000.0,33315262000.0,27470133000.0,33201703000.0
2043.0,31375946000.0,26983588000.0,33299876000.0,26919199000.0,33160180000.0
2044.0,31163220000.0,26523466000.0,33258550000.0,26377951000.0,33117071000.0
2045.0,30946976000.0,26033730000.0,33208480000.0,25740200000.0,33007122000.0
2046.0,30718476000.0,25262258000.0,33122870000.0,25090396000.0,32942529000.0
2047.0,30468786000.0,24551670000.0,33083351000.0,24415550000.0,32898351000.0
2048.0,30121470000.0,23819518000.0,32997930000.0,23682324000.0,32790956000.0
2049.0,29763166000.0,23248876000.0,32946256000.0,22833824000.0,32760510000.0
2050.0,29567887000.0,22689995000.0,32901605000.0,22023430000.0,32643920000.0
2051.0,29245305000.0,22058990000.0,32852845000.0,21217520000.0,32542454000.0
2052.0,28792293000.0,21547997000.0,32827560000.0,20403020000.0,32443918000.0
2053.0,28450351000.0,20971630000.0,32837261000.0,19598750000.0,32303966000.0
2054.0,28018321000.0,20430592000.0,32619370000.0,18825760000.0,32184690000.0
2055.0,27718500000.0,19670354000.0,32511630000.0,17992350000.0,32022540000.0
2056.0,27385635000.0,19063245000.0,32427534000.0,17161328000.0,31865289000.0
2057.0,27056923000.0,18166583000.0,32304902000.0,16388165000.0,31763732000.0
2058.0,26753524000.0,17657520000.0,32196803000.0,15494371000.0,31582142000.0
2059.0,26517533000.0,17069678000.0,32110713000.0,14837393000.0,31379360000.0
2060.0,26334382000.0,16522431000.0,31972780000.0,13941906000.0,31175740000.0
2061.0,26068482000.0,15960835000.0,31907877000.0,13168226000.0,30960304000.0
2062.0,25790171000.0,15501927000.0,31745393000.0,12301806000.0,30754050000.0
2063.0,25474929000.0,14950235000.0,31605395000.0,11369177000.0,30528990000.0
