time,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M
2000.0,28333429000.0,28333429000.0,28333429000.0,28333429000.0
2001.0,28671502000.0,28671502000.0,28671502000.0,28671502000.0
2002.0,28380901000.0,28380901000.0,28380901000.0,28380901000.0
2003.0,28905034000.0,28905034000.0,28905034000.0,28905034000.0
2004.0,28533480000.0,28533480000.0,28533480000.0,28533480000.0
2005.0,28173410000.0,28173410000.0,28173410000.0,28173410000.0
2006.0,28184936000.0,28184936000.0,28184936000.0,28184936000.0
2007.0,28110880000.0,28110880000.0,28110880000.0,28110880000.0
2008.0,28038054000.0,28038054000.0,28038054000.0,28038054000.0
2009.0,27929586000.0,27929586000.0,27929586000.0,27929586000.0
2010.0,27877143000.0,27877143000.0,27877143000.0,27877143000.0
2011.0,27805241000.0,27805241000.0,27805241000.0,27805241000.0
2012.0,27759036000.0,27759036000.0,27759036000.0,27759036000.0
2013.0,27568898000.0,27568898000.0,27568898000.0,27568898000.0
2014.0,27441768000.0,27441768000.0,27441768000.0,27441768000.0
2015.0,27572281000.0,27572281000.0,27572281000.0,27572281000.0
2016.0,27443560000.0,27443560000.0,27443560000.0,27443560000.0
2017.0,27257694000.0,27257694000.0,27257694000.0,27257694000.0
2018.0,27147590000.0,27147590000.0,27147590000.0,27147590000.0
2019.0,27071609000.0,27071609000.0,27071609000.0,27071609000.0
2020.0,27045728000.0,27045728000.0,27045728000.0,27045728000.0
2021.0,26875017000.0,26821206000.0,27130085000.0,26905764000.0
2022.0,26766705000.0,26824854000.0,26950877000.0,26892454000.0
2023.0,26628000000.0,26599811000.0,26817616000.0,26776906000.0
2024.0,26502392000.0,26464061000.0,26903640000.0,26673857000.0
2025.0,26562413000.0,26312833000.0,26697260000.0,26570406000.0
2026.0,26363415000.0,26132752000.0,26541160000.0,26482342000.0
2027.0,26331912000.0,26010225000.0,26436907000.0,26458337000.0
2028.0,26138958000.0,25819440000.0,26355735000.0,26298230000.0
2029.0,26058260000.0,25732640000.0,26172492000.0,26089320000.0
2030.0,25967300000.0,25645476000.0,26093610000.0,25994082000.0
2031.0,25839680000.0,25454037000.0,25847443000.0,25854104000.0
2032.0,25686563000.0,25430751000.0,25693184000.0,25764975000.0
2033.0,25522715000.0,25158263000.0,25622740000.0,25772007000.0
2034.0,25406476000.0,24961972000.0,25498698000.0,25575647000.0
2035.0,25190435000.0,24745984000.0,25380936000.0,25413150000.0
2036.0,25024430000.0,24540357000.0,25187467000.0,25531568000.0
2037.0,24948716000.0,24242854000.0,25012668000.0,25193950000.0
2038.0,24719930000.0,24057283000.0,24823800000.0,25140000000.0
2039.0,24484946000.0,23862440000.0,24607000000.0,24856457000.0
2040.0,24273404000.0,23680900000.0,24477110000.0,24850055000.0
2041.0,24168995000.0,23456762000.0,24471589000.0,24548844000.0
2042.0,24112190000.0,23288720000.0,24206360000.0,24416418000.0
2043.0,23915112000.0,23101864000.0,24029323000.0,24331788000.0
2044.0,23737854000.0,22835417000.0,23912660000.0,24183564000.0
2045.0,23552936000.0,22696073000.0,23722166000.0,24135188000.0
2046.0,23460833000.0,22511964000.0,23506522000.0,23833840000.0
2047.0,23340294000.0,22344405000.0,23450274000.0,23876964000.0
2048.0,23147545000.0,22147695000.0,23088503000.0,23676449000.0
2049.0,23094309000.0,22027514000.0,22897912000.0,23578888000.0
2050.0,22868670000.0,21777134000.0,23027628000.0,23331800000.0
2051.0,22740752000.0,21610713000.0,22660205000.0,23166159000.0
2052.0,22578446000.0,21516915000.0,22425731000.0,23046710000.0
2053.0,22446565000.0,21295740000.0,22253746000.0,22848256000.0
2054.0,22293258000.0,21163830000.0,22111779000.0,22741369000.0
2055.0,22210300000.0,20953500000.0,22053886000.0,22681827000.0
2056.0,22111302000.0,20717363000.0,21866580000.0,22466540000.0
2057.0,21979132000.0,20499710000.0,21637233000.0,22326522000.0
2058.0,21748234000.0,20284430000.0,21472133000.0,22308274000.0
2059.0,21619450000.0,20053443000.0,21340350000.0,22143662000.0
2060.0,21471400000.0,19858125000.0,21379650000.0,22057484000.0
2061.0,21493715000.0,19590746000.0,20965034000.0,21902893000.0
2062.0,21223539000.0,19412638000.0,20717769000.0,22141024000.0
2063.0,21160591000.0,19274031000.0,20535206000.0,21823037000.0
2064.0,20987010000.0,19321473000.0,20432916000.0,21531154000.0
2065.0,20848736000.0,19672087000.0,20248332000.0,21418140000.0
2066.0,20765209000.0,18880643000.0,20097333000.0,21257830000.0
2067.0,20628353000.0,18663074000.0,19921957000.0,21144400000.0
2068.0,20566050000.0,18476995000.0,19716495000.0,21073242000.0
2069.0,20388532000.0,18298573000.0,19504250000.0,20990917000.0
2070.0,20191844000.0,18165557000.0,19324140000.0,20867138000.0
2071.0,20055542000.0,17923858000.0,19088701000.0,20787730000.0
2072.0,20030440000.0,17756258000.0,18971046000.0,20708184000.0
2073.0,19960214000.0,17586346000.0,18830248000.0,20584643000.0
2074.0,19835113000.0,17482875000.0,18647906000.0,20750234000.0
2075.0,19717790000.0,17334909000.0,18477634000.0,20611795000.0
2076.0,19598078000.0,17260988000.0,18358061000.0,20386826000.0
2077.0,19534590000.0,17140210000.0,18184990000.0,20315322000.0
2078.0,19846502000.0,16982959000.0,17999028000.0,20220631000.0
2079.0,19513158000.0,16865438000.0,17822566000.0,20112568000.0
