time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,CNRM-ESM2-1,CANESM5
2000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0,3741120000000.0
2001.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0,3724872300000.0
2002.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0,3713692300000.0
2003.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0,3710738500000.0
2004.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0,3698924000000.0
2005.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0,3684733300000.0
2006.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0,3677653000000.0
2007.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0,3669930300000.0
2008.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0,3668572400000.0
2009.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0,3649146200000.0
2010.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0,3643301400000.0
2011.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0,3617710700000.0
2012.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0,3619212200000.0
2013.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0,3618784000000.0
2014.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0,3617124800000.0
2015.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0,3604779600000.0
2016.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0,3603171600000.0
2017.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0,3584816800000.0
2018.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0,3566544600000.0
2019.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0,3561793300000.0
2020.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0,3537741500000.0
2021.0,3519332200000.0,3519245700000.0,3522058500000.0,3522997800000.0,3484060000000.0
2022.0,3505036000000.0,3499749500000.0,3508341000000.0,3512745600000.0,3432413000000.0
2023.0,3489193800000.0,3471170900000.0,3485467100000.0,3492429400000.0,3368648400000.0
2024.0,3450189000000.0,3429033800000.0,3474571000000.0,3478891800000.0,3308858000000.0
2025.0,3425000200000.0,3401292700000.0,3460079000000.0,3459725100000.0,3255050700000.0
2026.0,3398158800000.0,3371135700000.0,3442557600000.0,3444641000000.0,3193087700000.0
2027.0,3359740800000.0,3344214300000.0,3428158000000.0,3430408500000.0,3143722900000.0
2028.0,3315107400000.0,3333720600000.0,3406872700000.0,3414705800000.0,3070564000000.0
2029.0,3283988300000.0,3299007000000.0,3395096400000.0,3394768700000.0,3001673800000.0
2030.0,3250707800000.0,3264213700000.0,3373297000000.0,3396757000000.0,2953567000000.0
2031.0,3221808700000.0,3231342000000.0,3349711000000.0,3378993000000.0,2889245300000.0
2032.0,3192304200000.0,3196826400000.0,3323593800000.0,3369934300000.0,2833772400000.0
2033.0,3137695000000.0,3157053100000.0,3303830000000.0,3361669400000.0,2781541000000.0
2034.0,3096538800000.0,3120702700000.0,3280814500000.0,3339385300000.0,2724677600000.0
2035.0,3057836400000.0,3078056600000.0,3248716500000.0,3324263500000.0,2677498400000.0
2036.0,3023949500000.0,3046825800000.0,3242835300000.0,3323940000000.0,2623751000000.0
2037.0,3000778600000.0,3026048800000.0,3232627200000.0,3310403700000.0,2580893000000.0
2038.0,2961747700000.0,2983282000000.0,3216880200000.0,3295430600000.0,2527665300000.0
2039.0,2918871700000.0,2957549000000.0,3197336600000.0,3273166200000.0,2472045700000.0
2040.0,2892068300000.0,2923964400000.0,3179343500000.0,3241026300000.0,2409340900000.0
2041.0,2840999500000.0,2896594700000.0,3168866000000.0,3231323800000.0,2354022200000.0
2042.0,2793413800000.0,2864889500000.0,3142059300000.0,3222421000000.0,2299312200000.0
2043.0,2741447000000.0,2821073700000.0,3120842100000.0,3222344000000.0,2243098600000.0
2044.0,2698239800000.0,2786061000000.0,3094951800000.0,3211638600000.0,2183330400000.0
2045.0,2656843300000.0,2738632000000.0,3066616300000.0,3205966600000.0,2111694000000.0
2046.0,2603847000000.0,2700186000000.0,3028685000000.0,3198310000000.0,2043217200000.0
2047.0,2559041600000.0,2656224400000.0,3002404400000.0,3199611400000.0,1988019600000.0
2048.0,2516127600000.0,2619136500000.0,2963707000000.0,3177436200000.0,1927688500000.0
2049.0,2460642200000.0,2590837600000.0,2933063400000.0,3166087700000.0,1860917100000.0
2050.0,2404013600000.0,2552847000000.0,2916328000000.0,3171697300000.0,1789325100000.0
2051.0,2355070000000.0,2527918800000.0,2876432700000.0,3168769100000.0,1727733400000.0
2052.0,2310617700000.0,2492093700000.0,2848710500000.0,3153664000000.0,1669221200000.0
2053.0,2269236400000.0,2464723800000.0,2816100500000.0,3136073800000.0,1616993600000.0
2054.0,2213152600000.0,2439692200000.0,2797438800000.0,3130824300000.0,1558597700000.0
2055.0,2156873500000.0,2414616200000.0,2769576300000.0,3108513300000.0,1497519200000.0
2056.0,2086971600000.0,2383214800000.0,2747069400000.0,3111126300000.0,1443285400000.0
2057.0,2031511000000.0,2363295000000.0,2723792600000.0,3108752300000.0,1385267200000.0
2058.0,1970184300000.0,2337346400000.0,2695188200000.0,3094370800000.0,1335145700000.0
2059.0,1915444800000.0,2308634000000.0,2672277300000.0,3080403800000.0,1285879200000.0
2060.0,1882561300000.0,2284736200000.0,2654539000000.0,3069988800000.0,1236273300000.0
2061.0,1837172300000.0,2261970300000.0,2635017700000.0,3058556700000.0,1193814900000.0
2062.0,1781109200000.0,2240429200000.0,2601172000000.0,3056719000000.0,1147198200000.0
