time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4
2085.0,12787786000000.0,7415986700000.0,11720362000000.0,13258489000000.0
2086.0,12773178000000.0,7357783300000.0,11634571000000.0,13208309000000.0
2087.0,12667928000000.0,7280088600000.0,11588669000000.0,13204265000000.0
2088.0,12605554000000.0,7217680000000.0,11562952000000.0,13170055000000.0
2089.0,12589373000000.0,7210933000000.0,11497254000000.0,13127855000000.0
2090.0,12622387000000.0,7161423300000.0,11481025000000.0,13092840000000.0
2091.0,12615098000000.0,7036609000000.0,11468898000000.0,13046559000000.0
2092.0,12534353000000.0,6975317300000.0,11460663000000.0,12966594000000.0
2093.0,12529270000000.0,6929175000000.0,11434311000000.0,12944797000000.0
2094.0,12498831000000.0,6858118500000.0,11398734000000.0,12899900000000.0
2095.0,12432051000000.0,6768644600000.0,11277058000000.0,12889997000000.0
2096.0,12389801000000.0,6658322000000.0,11261121000000.0,12853684000000.0
2097.0,12361884000000.0,6587578000000.0,11213441000000.0,12787659000000.0
2098.0,12297215000000.0,6574820600000.0,11181771000000.0,12768048000000.0
2099.0,12264388000000.0,6490750500000.0,11185264000000.0,12752837000000.0
2100.0,12308651000000.0,6451490000000.0,11116403000000.0,12756953000000.0
