time,TAIESM1,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL,IITM-ESM,CANESM5,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,EC-EARTH3,MIROC6,CESM2-WACCM,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0
2001.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0
2002.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0
2003.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0
2004.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0
2005.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0
2006.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0
2007.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0
2008.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0
2009.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0
2010.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0
2011.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0
2012.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0
2013.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0
2014.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0
2015.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0
2016.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0
2017.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0
2018.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0
2019.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0
2020.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0
2021.0,17984182000000.0,18048537000000.0,17958525000000.0,18021930000000.0,18017566000000.0,17982580000000.0,18058718000000.0,17916095000000.0,18017264000000.0,18028276000000.0,18066535000000.0,18016513000000.0,18053146000000.0,18084516000000.0
2022.0,17929595000000.0,17887144000000.0,17920800000000.0,17931113000000.0,17880962000000.0,17935720000000.0,18010425000000.0,17949220000000.0,18060880000000.0,17938925000000.0,17977260000000.0,17805303000000.0,18051750000000.0,18031504000000.0
2023.0,17885188000000.0,17792053000000.0,17977005000000.0,17764492000000.0,17800091000000.0,17792208000000.0,17835108000000.0,17863803000000.0,17933758000000.0,17852745000000.0,17907036000000.0,17655277000000.0,17945140000000.0,17940440000000.0
2024.0,17804045000000.0,17692914000000.0,17980136000000.0,17691375000000.0,17770616000000.0,17671884000000.0,17708972000000.0,17686782000000.0,17937413000000.0,17716258000000.0,17799328000000.0,17531054000000.0,17832557000000.0,17818480000000.0
2025.0,17601378000000.0,17507329000000.0,17872525000000.0,17488224000000.0,17765180000000.0,17618537000000.0,17563468000000.0,17533383000000.0,17864264000000.0,17562889000000.0,17615687000000.0,17390220000000.0,17752200000000.0,17723476000000.0
2026.0,17542100000000.0,17417989000000.0,17761160000000.0,17419287000000.0,17828170000000.0,17599597000000.0,17476689000000.0,17366343000000.0,17934519000000.0,17416660000000.0,17513847000000.0,17241726000000.0,17689481000000.0,17761670000000.0
2027.0,17326905000000.0,17355865000000.0,17640674000000.0,17224786000000.0,17880719000000.0,17486130000000.0,17382077000000.0,17133482000000.0,17754120000000.0,17298040000000.0,17313174000000.0,17014988000000.0,17535125000000.0,17623115000000.0
2028.0,17155480000000.0,17224953000000.0,17439176000000.0,16883537000000.0,17944535000000.0,17454117000000.0,17335389000000.0,16915339000000.0,17664055000000.0,17190637000000.0,17224835000000.0,16801569000000.0,17422478000000.0,17598454000000.0
2029.0,17021456000000.0,17072349000000.0,17408026000000.0,16640172000000.0,17828608000000.0,17303271000000.0,17175036000000.0,16782476000000.0,17616140000000.0,16957399000000.0,17090557000000.0,16697792000000.0,17318559000000.0,17550620000000.0
2030.0,16885600000000.0,16877889000000.0,17388493000000.0,16529003000000.0,17766308000000.0,17168211000000.0,17149136000000.0,16699413000000.0,17536733000000.0,16662586000000.0,16851343000000.0,16630000000000.0,17152715000000.0,17519183000000.0
2031.0,16745871000000.0,16624025000000.0,17251199000000.0,16312335000000.0,17831435000000.0,17031027000000.0,16875597000000.0,16471892000000.0,17431444000000.0,16595392000000.0,16635007000000.0,16532896000000.0,17010651000000.0,17432627000000.0
2032.0,16556857000000.0,16524932000000.0,17141432000000.0,16120666000000.0,17731250000000.0,16831707000000.0,16718183000000.0,16296836000000.0,17283823000000.0,16523232000000.0,16597792000000.0,16479251000000.0,16910502000000.0,17372919000000.0
2033.0,16413576000000.0,16469716000000.0,17025895000000.0,15839687000000.0,17664183000000.0,16776188000000.0,16571727000000.0,16096776000000.0,17266512000000.0,16367316000000.0,16411959000000.0,16382574000000.0,16815871000000.0,17273157000000.0
2034.0,16174230000000.0,16383729000000.0,16987767000000.0,15583929000000.0,17707649000000.0,16601109000000.0,16501269000000.0,15906068000000.0,17090745000000.0,16213677000000.0,16319362000000.0,16196825000000.0,16727908000000.0,17161623000000.0
2035.0,16044090000000.0,16347938000000.0,16943092000000.0,15311693000000.0,17545824000000.0,16494825000000.0,16468582000000.0,15688138000000.0,16930815000000.0,16079571000000.0,16136518000000.0,15995532000000.0,16680355000000.0,16952761000000.0
2036.0,15893257000000.0,16301523000000.0,16904747000000.0,15158118000000.0,17530642000000.0,16375240000000.0,16374271000000.0,15510554000000.0,16868463000000.0,15881689000000.0,15960761000000.0,15891926000000.0,16631887000000.0,16822720000000.0
2037.0,15723069000000.0,16174759000000.0,16833944000000.0,15034485000000.0,17557503000000.0,16176400000000.0,16253209000000.0,15211725000000.0,16841328000000.0,15673911000000.0,15778944000000.0,15720980000000.0,16580585000000.0,16781111000000.0
2038.0,15543037000000.0,16018794000000.0,16766296000000.0,14875116000000.0,17468144000000.0,16140862000000.0,16002154000000.0,14951233000000.0,16791412000000.0,15559637000000.0,15597772000000.0,15477436000000.0,16471249000000.0,16714405000000.0
2039.0,15381012000000.0,15907161000000.0,16660519000000.0,14645789000000.0,17444256000000.0,16046299000000.0,15815613000000.0,14792588000000.0,16611887000000.0,15447125000000.0,15510222000000.0,15358929000000.0,16383791000000.0,16598297000000.0
2040.0,15159665000000.0,15720531000000.0,16612840000000.0,14482596000000.0,17418808000000.0,15863394000000.0,15592140000000.0,14410274000000.0,16499715000000.0,15248772000000.0,15413244000000.0,15335578000000.0,16305964000000.0,16649469000000.0
2041.0,14961505000000.0,15597256000000.0,16530089000000.0,14288470000000.0,17379058000000.0,15624625000000.0,15494337000000.0,14230270000000.0,16322612000000.0,15001683000000.0,15245168000000.0,15229742000000.0,16265527000000.0,16661043000000.0
2042.0,14709652000000.0,15492961000000.0,16330767000000.0,14077981000000.0,17293343000000.0,15503101000000.0,15217210000000.0,14014481000000.0,16218610000000.0,14833741000000.0,15116920000000.0,14994481000000.0,16103729000000.0,16571626000000.0
2043.0,14555628000000.0,15395516000000.0,16247439000000.0,13901914000000.0,17275312000000.0,15285771000000.0,15087767000000.0,13848216000000.0,16213633000000.0,14688111000000.0,14967929000000.0,14821545000000.0,16007901000000.0,16393081000000.0
2044.0,14349605000000.0,15270763000000.0,16173092000000.0,13687667000000.0,17169165000000.0,15051545000000.0,14950749000000.0,13756730000000.0,16105102000000.0,14612240000000.0,14863110000000.0,14691989000000.0,15925892000000.0,16275790000000.0
2045.0,14119559000000.0,15094012000000.0,16064197000000.0,13467743000000.0,17049016000000.0,14810267000000.0,14783716000000.0,13559007000000.0,16039102000000.0,14488109000000.0,14647406000000.0,14554617000000.0,15758654000000.0,16190537000000.0
2046.0,13922975000000.0,14886467000000.0,15975826000000.0,13279095000000.0,16866448000000.0,14574314000000.0,14677710000000.0,13384132000000.0,15957584000000.0,14234263000000.0,14369544000000.0,14342675000000.0,15645810000000.0,16161096000000.0
2047.0,13673718000000.0,14647970000000.0,15814944000000.0,13013134000000.0,16746422000000.0,14384788000000.0,14530242000000.0,13218621000000.0,15855299000000.0,13933787000000.0,14234302000000.0,14298402000000.0,15539887000000.0,16032686000000.0
2048.0,13395043000000.0,14490989000000.0,15706080000000.0,12779035000000.0,16733049000000.0,14144231000000.0,14371110000000.0,12989526000000.0,15815422000000.0,13791438000000.0,14188061000000.0,13969334000000.0,15398286000000.0,15895183000000.0
2049.0,13094366000000.0,14265514000000.0,15560891000000.0,12449689000000.0,16597527000000.0,13913888000000.0,14174483000000.0,12872261000000.0,15711724000000.0,13595184000000.0,14086953000000.0,13673960000000.0,15313139000000.0,15835836000000.0
