time,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2057.0,102862684000.0,103010600000.0,99500570000.0,102458270000.0,103124100000.0
2058.0,102751960000.0,102897880000.0,99177980000.0,102606360000.0,102999560000.0
2059.0,102748710000.0,102745720000.0,98704720000.0,102101200000.0,102957150000.0
2060.0,102593670000.0,102605890000.0,98589700000.0,102079540000.0,102877550000.0
2061.0,102463046000.0,102619310000.0,98143260000.0,101873970000.0,102766354000.0
2062.0,102890110000.0,102377370000.0,97622790000.0,101785580000.0,102671040000.0
2063.0,102755580000.0,102186350000.0,97211810000.0,101567050000.0,102517380000.0
2064.0,102390060000.0,101939310000.0,96816720000.0,101359460000.0,102590870000.0
2065.0,102501750000.0,101841590000.0,96316555000.0,101219860000.0,102366760000.0
2066.0,102317500000.0,101666020000.0,95847890000.0,101145490000.0,102304040000.0
2067.0,102383526000.0,101461975000.0,95367320000.0,101130306000.0,102109405000.0
2068.0,102063960000.0,101460890000.0,94797500000.0,100758585000.0,102158650000.0
2069.0,101815730000.0,101181580000.0,94228260000.0,100942774000.0,101915180000.0
2070.0,101692240000.0,100966040000.0,93735660000.0,100421430000.0,101811830000.0
2071.0,101555100000.0,100760160000.0,93096660000.0,100198340000.0,101657510000.0
2072.0,101352670000.0,100525556000.0,92437316000.0,99914890000.0,101600010000.0
2073.0,101396490000.0,101044450000.0,91848420000.0,99971200000.0,102166510000.0
2074.0,101153956000.0,100230460000.0,91230300000.0,99657140000.0,101540310000.0
2075.0,100940180000.0,99912925000.0,90638010000.0,99738960000.0,101267860000.0
2076.0,100810965000.0,99576080000.0,89958195000.0,99333100000.0,101129580000.0
2077.0,100637660000.0,99230680000.0,89250170000.0,99158780000.0,100945160000.0
2078.0,100496230000.0,98956370000.0,88688880000.0,98922670000.0,100794155000.0
2079.0,100264760000.0,99050990000.0,88069440000.0,98656120000.0,100677350000.0
2080.0,100338650000.0,98434030000.0,87478990000.0,98422560000.0,100418360000.0
2081.0,100848010000.0,97947150000.0,86791930000.0,98235200000.0,100327720000.0
2082.0,100298140000.0,97438120000.0,86229440000.0,98103020000.0,100209760000.0
2083.0,100118470000.0,97020770000.0,85468130000.0,97849740000.0,100220530000.0
2084.0,99845190000.0,96633240000.0,84726030000.0,97587520000.0,100021715000.0
2085.0,99910080000.0,96274320000.0,83776930000.0,97355110000.0,99814154000.0
2086.0,99735920000.0,95837495000.0,83286655000.0,97088580000.0,99644690000.0
2087.0,99370880000.0,95427950000.0,81810784000.0,97048560000.0,99370390000.0
2088.0,99565640000.0,94770086000.0,80962300000.0,96699110000.0,99146015000.0
2089.0,99088410000.0,94093230000.0,80162380000.0,96469500000.0,99226960000.0
2090.0,98922200000.0,93545070000.0,79236220000.0,96330460000.0,100665820000.0
2091.0,98726540000.0,92888880000.0,78601320000.0,96142240000.0,99422510000.0
2092.0,98473340000.0,92168530000.0,77592960000.0,95658800000.0,98879300000.0
2093.0,98338380000.0,91486070000.0,76914614000.0,95110780000.0,98622520000.0
2094.0,98310460000.0,90712830000.0,75925120000.0,94802050000.0,98448065000.0
2095.0,98228390000.0,89870250000.0,75141320000.0,94478310000.0,98148050000.0
2096.0,98100060000.0,88482320000.0,74101170000.0,94074814000.0,98002330000.0
2097.0,97960310000.0,87593440000.0,73189220000.0,93996290000.0,97798580000.0
2098.0,97633600000.0,86905455000.0,72380670000.0,93522220000.0,97560810000.0
2099.0,97394110000.0,86258460000.0,71379090000.0,95410030000.0,97288580000.0
2100.0,97146855000.0,85563870000.0,70436225000.0,96286970000.0,97143325000.0
