time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,105014820000.0,104748770000.0,104691560000.0,104746190000.0,104710455000.0
2022.0,104865350000.0,104640635000.0,104702165000.0,104635390000.0,104647100000.0
2023.0,104704330000.0,104608430000.0,104628540000.0,104591606000.0,104628810000.0
2024.0,104706860000.0,104563200000.0,104712170000.0,104587710000.0,104595490000.0
2025.0,106356750000.0,104497545000.0,104600150000.0,104549430000.0,104564180000.0
2026.0,105402400000.0,104484700000.0,104549500000.0,104487440000.0,104581400000.0
2027.0,104878220000.0,104424340000.0,104997260000.0,104474410000.0,104555380000.0
2028.0,104665530000.0,104376310000.0,104626290000.0,104439790000.0,104681290000.0
2029.0,104671920000.0,104335800000.0,104714330000.0,104421300000.0,104549850000.0
2030.0,104564230000.0,104273850000.0,104527020000.0,104511900000.0,104535474000.0
2031.0,104847290000.0,104193340000.0,104504476000.0,104362580000.0,104407106000.0
2032.0,104574290000.0,104165966000.0,104496650000.0,104297560000.0,104324750000.0
2033.0,105234360000.0,104053670000.0,104497900000.0,104277230000.0,104317780000.0
2034.0,104586890000.0,103981530000.0,104529580000.0,104241480000.0,104303990000.0
2035.0,104475030000.0,103882555000.0,104580555000.0,104596570000.0,104232520000.0
2036.0,104933720000.0,103759180000.0,104498570000.0,104286780000.0,104243830000.0
2037.0,104533340000.0,103637480000.0,104462115000.0,104175320000.0,104411700000.0
2038.0,104829410000.0,103503905000.0,104321020000.0,104115330000.0,104145620000.0
2039.0,104511816000.0,103377396000.0,104278704000.0,104094660000.0,104215314000.0
2040.0,104633370000.0,103238900000.0,104195920000.0,104150950000.0,104014710000.0
2041.0,104340685000.0,103102840000.0,104152850000.0,103944010000.0,103979510000.0
2042.0,104227490000.0,102911164000.0,104135410000.0,103916570000.0,103888355000.0
2043.0,104186450000.0,102853380000.0,104329490000.0,103848500000.0,103877140000.0
2044.0,104032060000.0,102654740000.0,104260520000.0,103781016000.0,103793160000.0
2045.0,103937270000.0,102416250000.0,104100940000.0,103716400000.0,103737060000.0
2046.0,103844740000.0,102200390000.0,104140560000.0,103585735000.0,103591100000.0
2047.0,103704930000.0,101979580000.0,104279970000.0,103521810000.0,103504760000.0
2048.0,103526980000.0,101687040000.0,103933850000.0,103518585000.0,103441110000.0
2049.0,103500610000.0,101350105000.0,104057400000.0,103294950000.0,103408900000.0
2050.0,103353980000.0,101125554000.0,104507690000.0,103171580000.0,103280710000.0
2051.0,103140820000.0,100877170000.0,103838710000.0,103135620000.0,103379080000.0
2052.0,103206674000.0,100539870000.0,103818460000.0,103038075000.0,103124450000.0
2053.0,103107870000.0,100215200000.0,103809270000.0,102972920000.0,103073450000.0
2054.0,102867130000.0,99925150000.0,103612120000.0,102791680000.0,103048040000.0
2055.0,102732415000.0,99588900000.0,103587906000.0,102700196000.0,102871650000.0
2056.0,102562185000.0,99134550000.0,103492280000.0,102531170000.0,102948250000.0
