time,UKESM1-0-LL,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104609070000.0,104642010000.0,104647830000.0,104866456000.0,104682410000.0
2022.0,104569170000.0,104834710000.0,104622220000.0,104715930000.0,104614070000.0
2023.0,104523915000.0,104713560000.0,104565460000.0,104904155000.0,104616620000.0
2024.0,104827080000.0,104862380000.0,104600560000.0,104820180000.0,104748030000.0
2025.0,104533430000.0,104547720000.0,104501950000.0,104758170000.0,104657764000.0
2026.0,104442405000.0,104509010000.0,104445090000.0,104797950000.0,104647795000.0
2027.0,104435330000.0,104646700000.0,104442040000.0,104884110000.0,104653790000.0
2028.0,104370676000.0,104550170000.0,104392430000.0,104733480000.0,104577580000.0
2029.0,104281610000.0,104430910000.0,104333770000.0,104635460000.0,104648550000.0
2030.0,104208640000.0,104403140000.0,104302160000.0,104826470000.0,104514940000.0
2031.0,104150114000.0,104289750000.0,104245084000.0,104625150000.0,104446940000.0
2032.0,104103250000.0,104251210000.0,104369930000.0,104558380000.0,104419205000.0
2033.0,104053880000.0,104594950000.0,104247960000.0,104545480000.0,104439505000.0
2034.0,103928040000.0,104219500000.0,104235790000.0,104425870000.0,104313670000.0
2035.0,103837320000.0,104127560000.0,104110250000.0,104382220000.0,104295940000.0
2036.0,103742030000.0,104098546000.0,104029650000.0,104330945000.0,104274380000.0
2037.0,103604030000.0,104060764000.0,104112140000.0,104624180000.0,104260130000.0
2038.0,103476036000.0,103954680000.0,104354415000.0,104391540000.0,104171700000.0
2039.0,103362340000.0,103846790000.0,104099950000.0,104255970000.0,104152070000.0
2040.0,103268060000.0,103959536000.0,103900594000.0,104171954000.0,104071500000.0
2041.0,103179800000.0,103918990000.0,103827880000.0,104125700000.0,104164155000.0
2042.0,103127730000.0,103734750000.0,103838610000.0,104018850000.0,104159306000.0
2043.0,103042970000.0,103743520000.0,103797120000.0,103974930000.0,103981960000.0
2044.0,102832650000.0,103593340000.0,103617900000.0,103949345000.0,103899540000.0
2045.0,102652910000.0,103570104000.0,103535730000.0,103882810000.0,103828380000.0
2046.0,102464460000.0,103859400000.0,103745130000.0,103886995000.0,103821390000.0
2047.0,102301570000.0,103639470000.0,103476670000.0,103911000000.0,103723100000.0
2048.0,102109140000.0,103530250000.0,103374810000.0,103730970000.0,103755290000.0
2049.0,101958860000.0,103293800000.0,103241210000.0,103834820000.0,103783900000.0
2050.0,101732050000.0,103176150000.0,103209390000.0,103717200000.0,103597450000.0
2051.0,101521510000.0,103184600000.0,103440390000.0,103593206000.0,103486560000.0
2052.0,101380270000.0,103022854000.0,102997610000.0,103700860000.0,103406535000.0
2053.0,101253780000.0,102997640000.0,102975040000.0,103601400000.0,103317640000.0
2054.0,101017076000.0,102915900000.0,102829680000.0,103510860000.0,103235640000.0
2055.0,100772670000.0,102772244000.0,103303800000.0,103448850000.0,103235420000.0
2056.0,100570310000.0,102635410000.0,102809490000.0,103332190000.0,103200190000.0
