time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0
2000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0
2001.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0
2002.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0
2003.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0
2004.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0
2005.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0
2006.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0
2007.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0
2008.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0
2009.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0
2010.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0
2011.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0
2012.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0
2013.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0
2014.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0
2015.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0
2016.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0
2017.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0
2018.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0
2019.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0
2020.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0
2021.0,13898745000.0,14020906000.0,13891262000.0,13890426000.0,13888250000.0
2022.0,13878296000.0,13780332000.0,14007819000.0,13805575000.0,13737267000.0
2023.0,13772901000.0,13586083000.0,13806965000.0,13725149000.0,13592948000.0
2024.0,13600866000.0,13387212000.0,13545220000.0,13417758000.0,13434681000.0
2025.0,13434127000.0,13164203000.0,13364230000.0,13248638000.0,13300216000.0
2026.0,13313396000.0,12948282000.0,13185373000.0,13097146000.0,13083701000.0
2027.0,13079134000.0,12760081000.0,12951057000.0,12950994000.0,12914723000.0
2028.0,13432083000.0,12513757000.0,12746112000.0,12738485000.0,12666799000.0
2029.0,12875105000.0,12204837000.0,12521515000.0,12761656000.0,12495937000.0
2030.0,12649177000.0,12034329000.0,12517745000.0,12383551000.0,12202137000.0
2031.0,12533454000.0,12100694000.0,12184534000.0,12237108000.0,11931059000.0
2032.0,12338108000.0,11728908000.0,11919058000.0,12087832000.0,11835944000.0
2033.0,12135159000.0,11362941000.0,11731128000.0,11893986000.0,11529540000.0
2034.0,11970286000.0,11042443000.0,11450532000.0,11757391000.0,11220668000.0
2035.0,11968524000.0,10739939000.0,11487572000.0,11424339000.0,10927635000.0
2036.0,11723765000.0,10441955000.0,11256735000.0,11194273000.0,10652814000.0
2037.0,11589401000.0,10174853000.0,11068237000.0,10949105000.0,10526725000.0
2038.0,11511119000.0,9922306000.0,10891109000.0,10788083000.0,10334829000.0
2039.0,11229793000.0,9697118000.0,10731701000.0,10695874000.0,10020340000.0
2040.0,11020336000.0,9579582000.0,10521082000.0,10474858000.0,9786194000.0
2041.0,10890369000.0,9277397000.0,10261188000.0,10438582000.0,9405328000.0
2042.0,10701402000.0,8938364000.0,10018327000.0,10213855000.0,9182135000.0
2043.0,10526505000.0,8605101000.0,9762511000.0,10048270000.0,8951862000.0
2044.0,10348551000.0,8438510000.0,9601667000.0,9832625000.0,8666718000.0
2045.0,10233410000.0,8119610400.0,9348368000.0,9712975000.0,8416308700.0
2046.0,9990096000.0,7814637000.0,9159945000.0,9501563000.0,8140898000.0
2047.0,9770148000.0,7550426000.0,8935134000.0,9298772000.0,7865460000.0
2048.0,9621140000.0,7468341000.0,8675482000.0,9094568000.0,7552798000.0
2049.0,9474339000.0,7143547400.0,8444265500.0,8958809000.0,7303640600.0
2050.0,9357177000.0,6842860000.0,8167013000.0,8752635000.0,7123533300.0
2051.0,9034985000.0,6525030000.0,7927748000.0,8496069600.0,6964969000.0
2052.0,8961451000.0,6287252000.0,7670995000.0,8315555000.0,6688109000.0
2053.0,8653054000.0,5962141700.0,7338673700.0,8161855500.0,6414034000.0
2054.0,8430260000.0,5670211600.0,7075816000.0,7975895000.0,6266140700.0
2055.0,8258301000.0,5431262000.0,6929535500.0,7748813000.0,6049083400.0
2056.0,8047085000.0,5142137300.0,6616168400.0,7550926000.0,5812293000.0
2057.0,7846932000.0,4884410000.0,6384152000.0,7413982700.0,5638353400.0
2058.0,7643751400.0,4642504700.0,6091649000.0,7334322700.0,5447828000.0
2059.0,7481761300.0,4381150700.0,5924211000.0,6975996400.0,5382071000.0
2060.0,7333770000.0,4508659700.0,5603725000.0,6727311000.0,5275754500.0
2061.0,7113251000.0,4090392800.0,5416448000.0,6521218000.0,5174874600.0
2062.0,6949308000.0,4053574400.0,5225386500.0,6310176300.0,4974009000.0
2063.0,6764981000.0,3786779100.0,5015531500.0,6157944000.0,4840797000.0
2064.0,6576480000.0,3626743800.0,4747472400.0,6007873000.0,4824150000.0
2065.0,6432024000.0,3449791200.0,4509748700.0,5768710700.0,4573829600.0
2066.0,6397587500.0,3350632000.0,4266944500.0,5596700700.0,4492361000.0
2067.0,6137656000.0,3181436700.0,4025100300.0,5432693000.0,4351443500.0
2068.0,5940069000.0,3155050200.0,3766254000.0,5232411600.0,4292090400.0
2069.0,6061218300.0,2947333000.0,3571133400.0,5042118700.0,4172102100.0
2070.0,5729073700.0,2969263600.0,3383572000.0,4849113000.0,4040227000.0
2071.0,5607759400.0,2722913300.0,3210021400.0,4706356700.0,3945500700.0
2072.0,5425638400.0,2780304600.0,3031302400.0,4585505000.0,3791654100.0
2073.0,5415633400.0,2533727200.0,2835756800.0,4320366000.0,3716717800.0
2074.0,5196135000.0,2410439000.0,2721608700.0,4179786000.0,3573171200.0
2075.0,5058732000.0,2313384200.0,2569440500.0,4016831700.0,3459620000.0
2076.0,4909324000.0,2232713500.0,2437095700.0,3851823900.0,3416142000.0
2077.0,4781110300.0,2138950300.0,2273086500.0,3712724700.0,3287640600.0
2078.0,4659806700.0,2109605600.0,2164604700.0,3646788400.0,3194856400.0
2079.0,4540633600.0,1966888700.0,2042209800.0,3471873500.0,3093530600.0
2080.0,4474022000.0,1897507700.0,1902736800.0,3341850600.0,2981153800.0
2081.0,4317944000.0,1808072100.0,1794652400.0,3254454800.0,2892480800.0
2082.0,4288678700.0,1733936300.0,1685344100.0,3321470200.0,2811831000.0
2083.0,4151429400.0,1659455000.0,1570051300.0,3201302500.0,2721062700.0
