time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL
2084.0,7791297500.0,6652124000.0,6133200000.0,5475513000.0,4063529200.0
2085.0,7731610600.0,6555671000.0,6259767000.0,5377486000.0,4004619300.0
2086.0,7987806700.0,6604614700.0,6140880000.0,5394920000.0,4052438300.0
2087.0,7817193500.0,6475624400.0,6002211000.0,5467381000.0,3972970000.0
2088.0,7691377000.0,6435965400.0,6272997000.0,5264986600.0,3882785300.0
2089.0,7659467300.0,6505926700.0,6440648000.0,5210422000.0,3848062200.0
2090.0,8165087000.0,6372008400.0,6234768000.0,5181689000.0,4124536800.0
2091.0,8656775000.0,6337924600.0,6119668000.0,5190907400.0,3830094600.0
2092.0,7896360000.0,6219508700.0,6274367500.0,5527487500.0,3784826600.0
2093.0,7857471000.0,6520299000.0,6051669000.0,5082709500.0,3814077000.0
2094.0,8295703000.0,6290249700.0,6045745000.0,5390150000.0,3936931600.0
2095.0,7902731000.0,6263916000.0,5978173000.0,5575686700.0,4196796400.0
2096.0,8225091600.0,7460238000.0,6016080400.0,5507631000.0,4371136500.0
2097.0,7846963000.0,6662710300.0,6545036000.0,5618780700.0,4324005000.0
2098.0,7805785000.0,6465600500.0,5975338500.0,5800361500.0,3952397600.0
2099.0,7831405600.0,6404803000.0,5901401000.0,5676008400.0,3956931000.0
2100.0,7857942500.0,6273118700.0,7030110000.0,5425193500.0,3972263700.0
