time,GFDL-ESM2G,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0
2001.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0
2002.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0
2003.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0
2004.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0
2005.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0
2006.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0
2007.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0
2008.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0
2009.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0
2010.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0
2011.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0
2012.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0
2013.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0
2014.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0
2015.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0
2016.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0
2017.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0
2018.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0
2019.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0
2020.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0
2021.0,13951952000.0,14033289000.0,14025979000.0,13859347000.0,14198105000.0,13924699000.0,13947914000.0,13982093000.0
2022.0,13835569000.0,13907967000.0,13869532000.0,13659253000.0,13979966000.0,13822377000.0,14054239000.0,13844917000.0
2023.0,13732042000.0,13824810000.0,13746575000.0,13487173000.0,13866848000.0,13733061000.0,13845818000.0,13738061000.0
2024.0,13579676000.0,13638499000.0,13552864000.0,13296029000.0,13696656000.0,13592919000.0,13697751000.0,13619906000.0
2025.0,13402481000.0,13555509000.0,13375995000.0,13077725000.0,13561590000.0,13482919000.0,13554808000.0,13474857000.0
2026.0,13256678000.0,13458729000.0,13224312000.0,12812912000.0,13430571000.0,13352192000.0,13411160000.0,13302238000.0
2027.0,13190366000.0,13345876000.0,13015802000.0,12549490000.0,13263597000.0,13231118000.0,13309160000.0,13162717000.0
2028.0,13038384000.0,13187339000.0,12822259000.0,12231848000.0,13173282000.0,13135887000.0,13231349000.0,13167395000.0
2029.0,12945450000.0,12965340000.0,12577271000.0,11978913000.0,13042779000.0,12988024000.0,13362022000.0,13149670000.0
2030.0,12821701000.0,12881593000.0,12307302000.0,11703171000.0,12961586000.0,12865455000.0,13483786000.0,12936127000.0
2031.0,12614104000.0,12682728000.0,12108633000.0,11382246000.0,12772812000.0,12879802000.0,12981988000.0,12844545000.0
2032.0,12601236000.0,12548503000.0,11894011000.0,11100149000.0,13032455000.0,12686957000.0,13080441000.0,12617550000.0
2033.0,12352890000.0,12741301000.0,11731578000.0,10908145000.0,12610450000.0,12499805000.0,12798383000.0,12469451000.0
2034.0,12366959000.0,12318806000.0,11413404000.0,10572705000.0,12482133000.0,12376027000.0,12724021000.0,12434110000.0
2035.0,12124886000.0,12127315000.0,11149778000.0,10227343000.0,12353598000.0,12174795000.0,12665871000.0,12250959000.0
2036.0,11950246000.0,11924241000.0,10860782000.0,9907346000.0,12327187000.0,12066680000.0,12694892000.0,12082270000.0
2037.0,11854921000.0,11750218000.0,10596227000.0,9689511000.0,12224705000.0,11907144000.0,12523224000.0,12049860000.0
2038.0,11687102000.0,11641782000.0,10292350000.0,9427613000.0,12001660000.0,11767910000.0,12601769000.0,11850920000.0
2039.0,11539758000.0,11423167000.0,10069956000.0,9172530000.0,11870705000.0,11543971000.0,12306020000.0,11716044000.0
2040.0,11463507000.0,11502064000.0,9725192000.0,8945321000.0,11756013000.0,11410927000.0,12205474000.0,11630917000.0
2041.0,11299886000.0,11294015000.0,9492359000.0,8663997000.0,11733519000.0,11266345000.0,12417805000.0,11512587000.0
2042.0,11172405000.0,11123266000.0,9279303000.0,8447137300.0,11600323000.0,11120465000.0,12129603000.0,11395253000.0
2043.0,11038887000.0,10949893000.0,9119987000.0,8139571000.0,11404970000.0,10963726000.0,11989429000.0,11259774000.0
2044.0,10879987000.0,10776951000.0,8865124000.0,7883442000.0,11363396000.0,10825427000.0,12078660000.0,11234234000.0
2045.0,10694622000.0,10568240000.0,8539891000.0,7626332000.0,11194881000.0,10641741000.0,11808543000.0,11199739000.0
2046.0,10565872000.0,10447762000.0,8246690000.0,7369064400.0,11119767000.0,10467682000.0,12413094000.0,10993273000.0
2047.0,10622235000.0,10241158000.0,8235314000.0,7186774000.0,11007570000.0,10467525000.0,11831207000.0,10844421000.0
2048.0,10329488000.0,10293912000.0,7871143000.0,6994225000.0,10880981000.0,10217517000.0,11648318000.0,10715858000.0
2049.0,10197670000.0,10117723000.0,7573238000.0,6734194700.0,10733532000.0,10046853000.0,11552059000.0,10645612000.0
2050.0,10036538000.0,9933831000.0,7349213000.0,6562897400.0,10642898000.0,9891436000.0,12089499000.0,10506202000.0
2051.0,9865173000.0,9783112000.0,7201549000.0,6397794000.0,10441228000.0,9725474000.0,11448263000.0,10383439000.0
2052.0,9687288000.0,9615556000.0,7222366000.0,6231600000.0,10331623000.0,9593990000.0,11548382000.0,10291104000.0
2053.0,9512772000.0,9464690000.0,7093960000.0,6036258300.0,10191732000.0,9470025000.0,11270924000.0,10175734000.0
2054.0,9904179000.0,9326675000.0,6994807000.0,5883728000.0,10071135000.0,9264331000.0,11236532000.0,10079911000.0
2055.0,9728400000.0,9172056000.0,6708662300.0,5689097000.0,9912391000.0,9117361000.0,11058152000.0,9973986000.0
2056.0,9296361000.0,9221882000.0,6829441500.0,5485071000.0,9755590000.0,8991267000.0,10979502000.0,9860665000.0
2057.0,9140665000.0,8989826000.0,6954922500.0,5315806700.0,9620899000.0,8844649000.0,10875507000.0,9812468000.0
2058.0,8985263000.0,8945197000.0,6534632000.0,5154292700.0,9448815000.0,8675213000.0,10734866000.0,9760129000.0
2059.0,8833538000.0,8813540000.0,6392302000.0,5027096600.0,9315430000.0,8569832400.0,10585841000.0,9649532000.0
2060.0,8728521000.0,8667672000.0,6598359600.0,4851608000.0,9164320000.0,8455577600.0,10454351000.0,9538642000.0
2061.0,8599889000.0,8611832000.0,6271100000.0,4671026700.0,9031570000.0,8371205000.0,10296117000.0,9489529000.0
2062.0,8527255600.0,8432118000.0,6172863000.0,4530603500.0,8839397000.0,8246800000.0,10143254000.0,9422606000.0
2063.0,8387714600.0,8296951300.0,6072162300.0,4410053600.0,8712172000.0,8131428000.0,10000561000.0,9286543000.0
2064.0,8260364300.0,8154835000.0,5962815000.0,4289720600.0,8585186300.0,8006551600.0,9906863000.0,9210029000.0
2065.0,9082699000.0,8004826000.0,5867436000.0,4146067000.0,8471779300.0,7873759000.0,9735330000.0,9237034000.0
2066.0,8176405500.0,7895885000.0,5775780000.0,4040007000.0,8369762000.0,7776884000.0,9585348000.0,9152518000.0
2067.0,8054159000.0,7723045000.0,5652504000.0,3910996200.0,8168829000.0,7664108500.0,9528948000.0,9002490000.0
2068.0,7991917600.0,7566499300.0,5601789400.0,3807938000.0,8106543000.0,7536773600.0,9292069000.0,8894275000.0
2069.0,7835134000.0,7429181000.0,5476429300.0,3674959000.0,7927444000.0,7400037400.0,9094224000.0,8782384000.0
2070.0,7810948000.0,7325594000.0,5385283600.0,3553691600.0,7758002000.0,7318596600.0,8904579000.0,8664337000.0
2071.0,7662427600.0,7146988000.0,5298642400.0,3429740000.0,7594959400.0,7188492000.0,8682600000.0,8552390000.0
2072.0,7518159000.0,6977306000.0,5465872400.0,3315289000.0,7504993300.0,7090924500.0,8445801000.0,8472611300.0
2073.0,7411094000.0,6816243000.0,5184990700.0,3213656600.0,7300822500.0,7035689500.0,8451002000.0,8334377500.0
2074.0,7378473000.0,6672866300.0,5036832300.0,3113591600.0,7131963400.0,6938225000.0,8122394600.0,8257664500.0
2075.0,7210916000.0,6485465000.0,4929963500.0,2995196700.0,6955778600.0,6788188700.0,7916515000.0,8081458000.0
2076.0,7078627300.0,6291037700.0,4951817000.0,2904826000.0,6822501400.0,6639262000.0,7798628400.0,7947175400.0
2077.0,6981425000.0,6124312000.0,4739071500.0,2802009600.0,6666889700.0,6508686000.0,7731792000.0,7826692600.0
2078.0,7036842500.0,5943579000.0,4619188000.0,2727217400.0,6534433300.0,6383867400.0,7536508400.0,7700756000.0
2079.0,6803096600.0,5789568000.0,4496439000.0,2638180400.0,6390073300.0,6281002500.0,7349414400.0,7606911500.0
2080.0,6700415000.0,5605862400.0,4397530000.0,2564093000.0,6220313600.0,6188626400.0,7140604000.0,7489215000.0
2081.0,6578631700.0,5425937000.0,4302653000.0,2473664500.0,6144886000.0,6045777400.0,7541528000.0,7356390400.0
2082.0,6480287000.0,5382894000.0,4233218600.0,2402957800.0,6007177700.0,5871863000.0,7000646000.0,7206757000.0
2083.0,6358609000.0,5157255000.0,4117516500.0,2328890400.0,5868466700.0,5770361300.0,6773362700.0,7105300500.0
2084.0,6317074400.0,5025289000.0,3993765400.0,2259984400.0,5821043000.0,5706166000.0,7261822000.0,6967044600.0
2085.0,6158433300.0,4898319000.0,3870660600.0,2196533200.0,5667099600.0,5550828000.0,6603399700.0,6782092300.0
2086.0,6081896000.0,4766770700.0,3795286300.0,2132232100.0,5721484300.0,5414276000.0,6523586600.0,6642118700.0
2087.0,6035517000.0,4647854600.0,3737462000.0,2086463700.0,5701179000.0,5291346400.0,6390895600.0,6503689700.0
2088.0,5927341600.0,4512059400.0,3614031000.0,2024794500.0,5453361700.0,5209593000.0,6197047000.0,6438398500.0
2089.0,5832827000.0,4403194000.0,3510483200.0,1944476900.0,5424195000.0,5127348000.0,6014568400.0,6273595000.0
2090.0,5721743000.0,4296022000.0,3463112000.0,1899506700.0,5320392700.0,5153293000.0,5938471400.0,6192603000.0
2091.0,5628659000.0,4194152700.0,3337026300.0,1838330100.0,5221440000.0,4946474500.0,5808530000.0,6037616600.0
2092.0,5528905700.0,4066079200.0,3238102300.0,1807544200.0,5252486700.0,4850258000.0,5650205000.0,5877211600.0
2093.0,5447045600.0,3954388200.0,3160524500.0,1758344000.0,5076095500.0,4758617600.0,5515456000.0,5772028000.0
2094.0,5396419000.0,3828561700.0,3050373000.0,1726741600.0,4969723400.0,4669204000.0,5382515700.0,5998739500.0
2095.0,5294904000.0,3745792000.0,2986113800.0,1681911400.0,4897950000.0,4571197000.0,5292221400.0,5591801300.0
2096.0,5232211500.0,3650341000.0,3001496800.0,1664701000.0,4838211000.0,4514167000.0,5365198000.0,5460882400.0
