time,GFDL-CM3,GFDL-ESM2G,MPI-ESM-LR,IPSL-CM5A-LR,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R,CANESM2,CNRM-CM5
2000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0,14924562000.0
2001.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0,14955207000.0
2002.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0,14965862000.0
2003.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0,14991736000.0
2004.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0,14978889000.0
2005.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0,14984530000.0
2006.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0,14964432000.0
2007.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0,14918734000.0
2008.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0,14871575000.0
2009.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0,14865704000.0
2010.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0,14783069000.0
2011.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0,14741724000.0
2012.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0,14674836000.0
2013.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0,14588467000.0
2014.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0,14557918000.0
2015.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0
2016.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0
2017.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0
2018.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0
2019.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0
2020.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0
2021.0,13936686000.0,13953733000.0,13935220000.0,13891637000.0,13978548000.0,13918886000.0,13911257000.0,13955475000.0,13897148000.0,13956590000.0
2022.0,13830221000.0,13805015000.0,13785412000.0,13753715000.0,13820646000.0,13779263000.0,13808782000.0,13763816000.0,13792631000.0,13800463000.0
2023.0,13645809000.0,13672447000.0,13621763000.0,13654180000.0,13674817000.0,13624383000.0,13663301000.0,13619900000.0,13709727000.0,13738590000.0
