time,MRI-ESM2-0,CESM2,IPSL-CM6A-LR,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,ACCESS-ESM1-5,EC-EARTH3-VEG,CANESM5,INM-CM4-8,INM-CM5-0,NORESM2-MM,EC-EARTH3,CMCC-CM2-SR5,TAIESM1,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,ACCESS-CM2
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
