time,NORESM2-MM,EC-EARTH3,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-F3-L,MPI-ESM1-2-HR,CESM2,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,CESM2-WACCM,GFDL-ESM4
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7321269300000.0,7271815300000.0,7287778000000.0,7278839000000.0,7309399000000.0,7314590400000.0,7310698600000.0,7313713000000.0,7302565000000.0,7295983000000.0,7295043000000.0,7308365000000.0,7298990000000.0
2022.0,7321270400000.0,7225319400000.0,7272852000000.0,7252290300000.0,7291585000000.0,7291168400000.0,7292714000000.0,7275403000000.0,7298208500000.0,7272230000000.0,7275279300000.0,7305198300000.0,7291479000000.0
2023.0,7318028700000.0,7169154500000.0,7256180000000.0,7219179400000.0,7271225500000.0,7259412000000.0,7258779400000.0,7258179000000.0,7272943000000.0,7224432300000.0,7248392000000.0,7311067700000.0,7294720000000.0
2024.0,7311725000000.0,7103054300000.0,7229818000000.0,7204151000000.0,7253888000000.0,7242092000000.0,7243615400000.0,7260482000000.0,7247649000000.0,7181286000000.0,7216892500000.0,7293826500000.0,7292214300000.0
2025.0,7299965000000.0,7068530000000.0,7220417000000.0,7171235400000.0,7236743000000.0,7228504400000.0,7232984400000.0,7240616500000.0,7242468000000.0,7150480400000.0,7196015000000.0,7273740000000.0,7277056600000.0
2026.0,7275110000000.0,7032833000000.0,7209186500000.0,7141243500000.0,7211185600000.0,7224683400000.0,7211834700000.0,7229585500000.0,7229254000000.0,7114969300000.0,7171539000000.0,7264643000000.0,7262141000000.0
2027.0,7270303000000.0,6986062600000.0,7199320400000.0,7103811400000.0,7191213400000.0,7214533700000.0,7182301500000.0,7188193000000.0,7221912500000.0,7075902000000.0,7138570700000.0,7252089000000.0,7223914300000.0
2028.0,7246929000000.0,6947407000000.0,7181937700000.0,7073559000000.0,7178362000000.0,7177376000000.0,7156546400000.0,7157385300000.0,7175624700000.0,7041943000000.0,7123136700000.0,7251244400000.0,7195787300000.0
2029.0,7227116600000.0,6890852500000.0,7175440700000.0,7044351400000.0,7170913500000.0,7176561000000.0,7134000000000.0,7136940000000.0,7130221400000.0,6987234400000.0,7077106300000.0,7225969000000.0,7166266000000.0
2030.0,7220556000000.0,6841464500000.0,7173336000000.0,7010297300000.0,7168665000000.0,7137328000000.0,7128319300000.0,7098116000000.0,7098587400000.0,6956597000000.0,7060108000000.0,7226145600000.0,7146554000000.0
2031.0,7206399400000.0,6772341000000.0,7136659600000.0,6971780000000.0,7150297000000.0,7098178500000.0,7113722000000.0,7062307700000.0,7069599000000.0,6923483000000.0,7042666300000.0,7226202000000.0,7134265000000.0
2032.0,7202685000000.0,6718277300000.0,7121947000000.0,6942811000000.0,7114311300000.0,7080006600000.0,7103705500000.0,7030933300000.0,7000013000000.0,6893107000000.0,7028122600000.0,7209409000000.0,7130014000000.0
2033.0,7199011600000.0,6680699000000.0,7118056000000.0,6918037300000.0,7092309000000.0,7074299000000.0,7088255300000.0,6988954000000.0,6988061000000.0,6849879000000.0,7009463700000.0,7219341400000.0,7125181000000.0
2034.0,7179546000000.0,6617143700000.0,7095273400000.0,6909882500000.0,7060469000000.0,7035184000000.0,7045127000000.0,6958329000000.0,6947859000000.0,6799736000000.0,6985136000000.0,7193188400000.0,7086911000000.0
2035.0,7174021000000.0,6558777300000.0,7072513000000.0,6865345300000.0,7054948000000.0,7008868000000.0,7026544500000.0,6910456600000.0,6899125700000.0,6764785300000.0,6949032700000.0,7159329300000.0,7072903000000.0
