time,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CMCC-CM2-SR5,MPI-ESM1-2-HR,FGOALS-F3-L,BCC-CSM2-MR,MRI-ESM2-0,CESM2,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,EC-EARTH3-VEG
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
