time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2000.0,7549930700000.0,7549930700000.0,7549930700000.0,7549930700000.0
2001.0,7554656000000.0,7554656000000.0,7554656000000.0,7554656000000.0
2002.0,7539064000000.0,7539064000000.0,7539064000000.0,7539064000000.0
2003.0,7512429400000.0,7512429400000.0,7512429400000.0,7512429400000.0
2004.0,7496646300000.0,7496646300000.0,7496646300000.0,7496646300000.0
2005.0,7475648500000.0,7475648500000.0,7475648500000.0,7475648500000.0
2006.0,7451828000000.0,7451828000000.0,7451828000000.0,7451828000000.0
2007.0,7437635600000.0,7437635600000.0,7437635600000.0,7437635600000.0
2008.0,7420720400000.0,7420720400000.0,7420720400000.0,7420720400000.0
2009.0,7418415000000.0,7418415000000.0,7418415000000.0,7418415000000.0
2010.0,7413049600000.0,7413049600000.0,7413049600000.0,7413049600000.0
2011.0,7411632400000.0,7411632400000.0,7411632400000.0,7411632400000.0
2012.0,7399658000000.0,7399658000000.0,7399658000000.0,7399658000000.0
2013.0,7404249400000.0,7404249400000.0,7404249400000.0,7404249400000.0
2014.0,7361323300000.0,7361323300000.0,7361323300000.0,7361323300000.0
2015.0,7354857000000.0,7354857000000.0,7354857000000.0,7354857000000.0
2016.0,7348141700000.0,7348141700000.0,7348141700000.0,7348141700000.0
2017.0,7349498500000.0,7349498500000.0,7349498500000.0,7349498500000.0
2018.0,7339270700000.0,7339270700000.0,7339270700000.0,7339270700000.0
2019.0,7345936500000.0,7345936500000.0,7345936500000.0,7345936500000.0
2020.0,7314352400000.0,7314352400000.0,7314352400000.0,7314352400000.0
2021.0,7309636400000.0,7282406500000.0,7316947000000.0,7279157400000.0
2022.0,7297562000000.0,7245005300000.0,7299366000000.0,7266340700000.0
2023.0,7262077000000.0,7195151000000.0,7280950500000.0,7236307000000.0
2024.0,7251454600000.0,7175538000000.0,7265670700000.0,7228682000000.0
2025.0,7250952000000.0,7119152000000.0,7257732000000.0,7214539500000.0
2026.0,7213945000000.0,7065844600000.0,7238319600000.0,7198573300000.0
2027.0,7173572000000.0,7001949600000.0,7214604500000.0,7162828400000.0
2028.0,7141394000000.0,6947632300000.0,7182973700000.0,7141309000000.0
2029.0,7105438300000.0,6850094000000.0,7144659000000.0,7101372400000.0
2030.0,7057546700000.0,6813596000000.0,7136940000000.0,7087559500000.0
2031.0,7020404000000.0,6761156700000.0,7093353000000.0,7057413000000.0
2032.0,6987021500000.0,6715806000000.0,7057264600000.0,7040237000000.0
2033.0,6963157500000.0,6673916000000.0,7027125400000.0,7019947400000.0
2034.0,6920184300000.0,6644841000000.0,6976993000000.0,7003154000000.0
2035.0,6901612000000.0,6599263000000.0,6929036300000.0,6990675000000.0
2036.0,6846005400000.0,6570984300000.0,6915104400000.0,6974432300000.0
2037.0,6822873300000.0,6504138000000.0,6897276600000.0,6945294000000.0
2038.0,6800555000000.0,6459310500000.0,6861543700000.0,6919997600000.0
2039.0,6749500700000.0,6382525000000.0,6829587000000.0,6892257500000.0
2040.0,6711066000000.0,6342231700000.0,6786066000000.0,6862428000000.0
2041.0,6680452000000.0,6278440600000.0,6759811000000.0,6835807000000.0
2042.0,6651017400000.0,6245165000000.0,6744748600000.0,6811647000000.0
2043.0,6595165600000.0,6215614000000.0,6711780300000.0,6796299000000.0
2044.0,6549348500000.0,6174095700000.0,6700162600000.0,6767894000000.0
2045.0,6505771000000.0,6142876000000.0,6673990700000.0,6734837000000.0
2046.0,6489292400000.0,6083210400000.0,6650952000000.0,6709644000000.0
2047.0,6456578000000.0,6031958600000.0,6619925000000.0,6696996400000.0
2048.0,6384670700000.0,5982416000000.0,6593844300000.0,6675399400000.0
2049.0,6352477400000.0,5943508000000.0,6574955300000.0,6662550000000.0
2050.0,6299926400000.0,5856806600000.0,6545891000000.0,6633456400000.0
2051.0,6258653400000.0,5799373400000.0,6531965000000.0,6620936400000.0
2052.0,6225663600000.0,5697516300000.0,6510435000000.0,6577655000000.0
2053.0,6191730700000.0,5614145600000.0,6465924400000.0,6557408400000.0
2054.0,6144302500000.0,5536651700000.0,6426698700000.0,6522769000000.0
2055.0,6099948300000.0,5425510000000.0,6397596000000.0,6511005300000.0
2056.0,6043858400000.0,5335762000000.0,6396346000000.0,6486494300000.0
2057.0,6004067500000.0,5229621300000.0,6383896000000.0,6481276600000.0
2058.0,5938673000000.0,5129636000000.0,6332778300000.0,6470825000000.0
2059.0,5891416000000.0,5059192000000.0,6286098300000.0,6444838600000.0
2060.0,5821486300000.0,4993118600000.0,6248441000000.0,6446765000000.0
2061.0,5749948300000.0,4894561000000.0,6213602400000.0,6436483000000.0
2062.0,5669787000000.0,4797437000000.0,6179475400000.0,6427736000000.0
