time,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0
2000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0,49341260000.0
2001.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0,49257226000.0
2002.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0,49046190000.0
2003.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0,49172630000.0
2004.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0,50088610000.0
2005.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0,49808093000.0
2006.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0,49791450000.0
2007.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0,49232814000.0
2008.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0,48987693000.0
2009.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0,48942470000.0
2010.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0,48961634000.0
2011.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0,50115035000.0
2012.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0,48952136000.0
2013.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0,48673700000.0
2014.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0,48624456000.0
2015.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0,48579228000.0
2016.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0,48524743000.0
2017.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0,48460000000.0
2018.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0,48496124000.0
2019.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0,48612585000.0
2020.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0,48370627000.0
2021.0,48089715000.0,47893897000.0,47950475000.0,48426280000.0,47911227000.0,47969730000.0
2022.0,47843082000.0,47914310000.0,47754514000.0,48171980000.0,47937204000.0,47729885000.0
2023.0,47646580000.0,47317500000.0,47605770000.0,48039334000.0,47599290000.0,47492375000.0
2024.0,47440896000.0,47094424000.0,47346487000.0,47771066000.0,47297675000.0,47211397000.0
2025.0,47188316000.0,46697554000.0,47180860000.0,47548654000.0,47212483000.0,47021640000.0
2026.0,46859936000.0,46365516000.0,46839267000.0,47941845000.0,46915920000.0,46822940000.0
2027.0,46579147000.0,46078833000.0,46579646000.0,47783660000.0,46656532000.0,46479364000.0
2028.0,46275240000.0,45750075000.0,46184186000.0,47559315000.0,46430822000.0,46344280000.0
2029.0,46206800000.0,45219705000.0,45871223000.0,47429042000.0,46167917000.0,45879490000.0
2030.0,45778800000.0,44807475000.0,45547872000.0,47264547000.0,46000270000.0,45655937000.0
2031.0,45431700000.0,44326620000.0,45207417000.0,46846600000.0,45749360000.0,45276983000.0
2032.0,45004046000.0,44065546000.0,44780863000.0,46529184000.0,45273895000.0,44874342000.0
2033.0,44632100000.0,43337445000.0,44323566000.0,46270100000.0,45368123000.0,44541063000.0
2034.0,44246780000.0,42725675000.0,43849916000.0,45972312000.0,44694454000.0,44222853000.0
2035.0,43867734000.0,42100978000.0,43385676000.0,45549494000.0,44397480000.0,43792323000.0
