time,ACCESS-ESM1-5,MRI-ESM2-0,CESM2-WACCM,CANESM5,ACCESS-CM2,IPSL-CM6A-LR
2000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0,19611530000000.0
2001.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0,19650161000000.0
2002.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0,19627793000000.0
2003.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0,19580989000000.0
2004.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0,19518420000000.0
2005.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0,19432626000000.0
2006.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0,19354997000000.0
2007.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0,19307510000000.0
2008.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0,19223701000000.0
2009.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0,19243320000000.0
2010.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0,19158975000000.0
2011.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0,19076307000000.0
2012.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0,19031396000000.0
2013.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0,18987323000000.0
2014.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0,18889220000000.0
2015.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0,18804443000000.0
2016.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0,18727370000000.0
2017.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0,18547015000000.0
2018.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0,18422128000000.0
2019.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0,18303521000000.0
2020.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0,18122920000000.0
2021.0,17976965000000.0,18016455000000.0,17974444000000.0,17974319000000.0,18156260000000.0,18118196000000.0
2022.0,17804326000000.0,17931663000000.0,17799240000000.0,17816068000000.0,18090635000000.0,18028070000000.0
2023.0,17731596000000.0,17877510000000.0,17650342000000.0,17770907000000.0,17935431000000.0,17974937000000.0
2024.0,17662025000000.0,17812632000000.0,17470305000000.0,17642237000000.0,17801540000000.0,17885458000000.0
2025.0,17588252000000.0,17697153000000.0,17274181000000.0,17470627000000.0,17668476000000.0,17699143000000.0
2026.0,17428651000000.0,17592756000000.0,17048370000000.0,17395726000000.0,17526720000000.0,17544472000000.0
2027.0,17293533000000.0,17439812000000.0,16932723000000.0,17176907000000.0,17453694000000.0,17485091000000.0
2028.0,16990557000000.0,17372956000000.0,16733434000000.0,17038619000000.0,17337102000000.0,17452111000000.0
2029.0,16745326000000.0,17271485000000.0,16524672000000.0,16933926000000.0,17217903000000.0,17348538000000.0
2030.0,16612726000000.0,17189203000000.0,16364194000000.0,16814365000000.0,17025094000000.0,17267519000000.0
2031.0,16488292000000.0,17110766000000.0,16285666000000.0,16589557000000.0,16802449000000.0,17224407000000.0
2032.0,16243214000000.0,17018401000000.0,16192742000000.0,16425312000000.0,16616001000000.0,17098078000000.0
2033.0,16125944000000.0,16891288000000.0,16042677000000.0,16250836000000.0,16461042000000.0,17003527000000.0
2034.0,15963955000000.0,16786141000000.0,15779917000000.0,16130418000000.0,16323894000000.0,16861774000000.0
2035.0,15762168000000.0,16598482000000.0,15653852000000.0,16004792000000.0,16213164000000.0,16668478000000.0
2036.0,15519463000000.0,16423227000000.0,15477401000000.0,15879188000000.0,16039548000000.0,16520466000000.0
2037.0,15368853000000.0,16270313000000.0,15253673000000.0,15775466000000.0,15893256000000.0,16409587000000.0
2038.0,15273272000000.0,16053828000000.0,15111795000000.0,15620815000000.0,15652259000000.0,16217217000000.0
2039.0,15087217000000.0,15953288000000.0,14897025000000.0,15529255000000.0,15487356000000.0,16042550000000.0
2040.0,14880253000000.0,15769513000000.0,14734131000000.0,15425778000000.0,15367388000000.0,15823524000000.0
2041.0,14762205000000.0,15581403000000.0,14595100000000.0,15350802000000.0,15128051000000.0,15731230000000.0
2042.0,14597336000000.0,15442743000000.0,14439462000000.0,15244422000000.0,14939559000000.0,15557270000000.0
2043.0,14454230000000.0,15284199000000.0,14271384000000.0,15119265000000.0,14787142000000.0,15281585000000.0
2044.0,14213217000000.0,15121815000000.0,14114543000000.0,15016517000000.0,14599217000000.0,15153211000000.0
2045.0,14063411000000.0,14920512000000.0,13965708000000.0,14946271000000.0,14460770000000.0,14955304000000.0
2046.0,13979947000000.0,14748100000000.0,13838810000000.0,14790641000000.0,14264861000000.0,14716087000000.0
2047.0,13778824000000.0,14604326000000.0,13679130000000.0,14607455000000.0,14140775000000.0,14642005000000.0
2048.0,13645784000000.0,14458632000000.0,13549713000000.0,14407487000000.0,13961042000000.0,14347271000000.0
2049.0,13473871000000.0,14343639000000.0,13352592000000.0,14344002000000.0,13753984000000.0,14180780000000.0
2050.0,13387021000000.0,14271246000000.0,13217515000000.0,14209677000000.0,13566742000000.0,14065933000000.0
2051.0,13165929000000.0,14125353000000.0,13101139000000.0,14052319000000.0,13421060000000.0,13895056000000.0
2052.0,13082684000000.0,14027907000000.0,12917971000000.0,13947770000000.0,13188290000000.0,13831556000000.0
2053.0,12951586000000.0,13955064000000.0,12745409000000.0,13796794000000.0,12961922000000.0,13723167000000.0
2054.0,12892947000000.0,13840667000000.0,12641847000000.0,13650578000000.0,12778129000000.0,13619215000000.0
2055.0,12810995000000.0,13749180000000.0,12492947000000.0,13508715000000.0,12591049000000.0,13547685000000.0
2056.0,12671687000000.0,13653555000000.0,12288368000000.0,13346674000000.0,12468214000000.0,13437328000000.0
2057.0,12536086000000.0,13548709000000.0,12111196000000.0,13161162000000.0,12331348000000.0,13293455000000.0
2058.0,12445514000000.0,13475753000000.0,11950258000000.0,12998857000000.0,12164000000000.0,13138336000000.0
2059.0,12301377000000.0,13413717000000.0,11687201000000.0,12805702000000.0,12059111000000.0,12991660000000.0
2060.0,12179738000000.0,13333979000000.0,11547334000000.0,12639675000000.0,12010007000000.0,12819589000000.0
2061.0,12076884000000.0,13236696000000.0,11362331000000.0,12541882000000.0,11870611000000.0,12764844000000.0
2062.0,11954471000000.0,13179674000000.0,11220428000000.0,12398355000000.0,11760781000000.0,12588969000000.0
2063.0,11822789000000.0,13124512000000.0,11109671000000.0,12275054000000.0,11659285000000.0,12490374000000.0
2064.0,11690223000000.0,13152680000000.0,10989735000000.0,12113688000000.0,11555304000000.0,12253891000000.0
2065.0,11564226000000.0,13054040000000.0,10857708000000.0,12001979000000.0,11391382000000.0,12071321000000.0
2066.0,11489396000000.0,12952884000000.0,10685852000000.0,11844557000000.0,11268038000000.0,11949126000000.0
2067.0,11358814000000.0,12899090000000.0,10584723000000.0,11742599000000.0,11136614000000.0,11758557000000.0
2068.0,11212423000000.0,12824628000000.0,10361579000000.0,11643148000000.0,10945212000000.0,11615237000000.0
2069.0,11059158000000.0,12690031000000.0,10150301000000.0,11557088000000.0,10820755000000.0,11501713000000.0
2070.0,10890568000000.0,12583336000000.0,9952377000000.0,11466275000000.0,10733523000000.0,11326440000000.0
2071.0,10779346000000.0,12519700000000.0,9849165000000.0,11394379000000.0,10632071000000.0,11165535000000.0
2072.0,10643680000000.0,12537811000000.0,9788601000000.0,11278177000000.0,10557299000000.0,11092634000000.0
2073.0,10556211000000.0,12547647000000.0,9707499000000.0,11147484000000.0,10467635000000.0,11056447000000.0
2074.0,10448168000000.0,12476649000000.0,9658024000000.0,11047458000000.0,10371130000000.0,10960505000000.0
2075.0,10321315000000.0,12449510000000.0,9537144000000.0,10954557000000.0,10250325000000.0,10913175000000.0
2076.0,10218324000000.0,12457546000000.0,9430812000000.0,10838358000000.0,10161353000000.0,10763216000000.0
2077.0,10090864000000.0,12435738000000.0,9265855000000.0,10739092000000.0,10095786000000.0,10629511000000.0
2078.0,9985478000000.0,12380869000000.0,9157686000000.0,10649900000000.0,9983909000000.0,10548842000000.0
2079.0,9903780000000.0,12348274000000.0,9040273000000.0,10570252000000.0,9868147000000.0,10406941000000.0
2080.0,9838043000000.0,12241779000000.0,8916468000000.0,10467671000000.0,9781394000000.0,10283348000000.0
2081.0,9736240000000.0,12155775000000.0,8811012000000.0,10384137000000.0,9713031000000.0,10141744000000.0
2082.0,9588834000000.0,12160317000000.0,8729478600000.0,10283235000000.0,9705155000000.0,10052565000000.0
2083.0,9555748000000.0,12083933000000.0,8650018000000.0,10186647000000.0,9568899000000.0,9905199000000.0
2084.0,9457173000000.0,11996084000000.0,8534494300000.0,10097575000000.0,9486651000000.0,9834720000000.0
2085.0,9304130000000.0,11900295000000.0,8377923000000.0,10016559000000.0,9392314000000.0,9760670000000.0
2086.0,9141022000000.0,11847986000000.0,8261409000000.0,9896311000000.0,9322234000000.0,9735441000000.0
2087.0,9027506000000.0,11779454000000.0,8167493700000.0,9797792000000.0,9181328000000.0,9634309000000.0
2088.0,8909040000000.0,11713471000000.0,8102663400000.0,9737105000000.0,9088663000000.0,9537791000000.0
2089.0,8863314000000.0,11607200000000.0,8025992600000.0,9685823000000.0,8982697000000.0,9442169000000.0
2090.0,8801210000000.0,11524753000000.0,7926870000000.0,9614715000000.0,8916277000000.0,9360660000000.0
2091.0,8730007600000.0,11457198000000.0,7814253600000.0,9509129000000.0,8858412000000.0,9305793000000.0
2092.0,8618071600000.0,11393688000000.0,7665986600000.0,9484335000000.0,8758690000000.0,9259820000000.0
2093.0,8501429500000.0,11329042000000.0,7540950000000.0,9461793000000.0,8658548700000.0,9209319000000.0
2094.0,8434164000000.0,11285148000000.0,7381286000000.0,9452722000000.0,8524690600000.0,9149945000000.0
2095.0,8310179000000.0,11301519000000.0,7298949300000.0,9397159000000.0,8407492300000.0,9082233000000.0
2096.0,8170983000000.0,11256858000000.0,7184100000000.0,9332447000000.0,8337027500000.0,9056560000000.0
2097.0,8114235500000.0,11307287000000.0,7070093400000.0,9239847000000.0,8261967000000.0,9039547000000.0
