time,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,EC-EARTH3,MRI-ESM2-0,INM-CM5-0,INM-CM4-8,CMCC-CM2-SR5,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0,CESM2-WACCM,CESM2,NORESM2-MM
2000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0,14919741000.0
2001.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0,14949329000.0
2002.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0,14959975000.0
2003.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0,14985912000.0
2004.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0,14973322000.0
2005.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0,14978955000.0
2006.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0,14958559000.0
2007.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0,14913043000.0
2008.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0,14866310000.0
2009.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0,14860156000.0
2010.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0,14777998000.0
2011.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0,14736210000.0
2012.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0,14669479000.0
2013.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0,14583341000.0
2014.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0,14552294000.0
2015.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0,14462127000.0
2016.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0,14406241000.0
2017.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0,14314560000.0
2018.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0,14230169000.0
2019.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0,14116851000.0
2020.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0,14066936000.0
2021.0,14037640000.0,13948014000.0,13896133000.0,13921611000.0,13915899000.0,13993867000.0,13944986000.0,13966771000.0,13908105000.0,13929393000.0,13935329000.0,13914821000.0,13914906000.0,13925670000.0
2022.0,13809881000.0,13790730000.0,13786884000.0,13757506000.0,13760502000.0,13859928000.0,13807075000.0,13882576000.0,13768636000.0,13789449000.0,13829162000.0,13749599000.0,13790721000.0,13793675000.0
2023.0,13778421000.0,13632790000.0,13610839000.0,13635212000.0,13682661000.0,13712578000.0,13699286000.0,13788919000.0,13632840000.0,13695865000.0,13765219000.0,13673066000.0,13675087000.0,13648762000.0
2024.0,13591566000.0,13493321000.0,13445468000.0,13501017000.0,13502706000.0,13601221000.0,13605125000.0,13688450000.0,13507134000.0,13633695000.0,13629183000.0,13515451000.0,13521669000.0,13535776000.0
2025.0,13476573000.0,13373812000.0,13332034000.0,13302077000.0,13345692000.0,13495121000.0,13437044000.0,13690625000.0,13382783000.0,13424076000.0,13469402000.0,13343506000.0,13501745000.0,13492030000.0
2026.0,13302029000.0,13233334000.0,13175724000.0,13134673000.0,13251491000.0,13458604000.0,13314678000.0,13487483000.0,13258089000.0,13265439000.0,13430792000.0,13207170000.0,13272969000.0,13265775000.0
2027.0,13154049000.0,13075462000.0,13030758000.0,12956655000.0,13009846000.0,13314841000.0,13192816000.0,13364130000.0,13093925000.0,13124214000.0,13334900000.0,13056352000.0,13163092000.0,13136093000.0
2028.0,12979908000.0,12943709000.0,12913867000.0,12742889000.0,12863188000.0,13177920000.0,13068136000.0,13212732000.0,12958987000.0,13029885000.0,13144867000.0,12958916000.0,13015995000.0,12969108000.0
2029.0,12747558000.0,12733874000.0,12742057000.0,12543760000.0,12771786000.0,13014203000.0,12898053000.0,13039510000.0,12832447000.0,12828968000.0,13064654000.0,12852441000.0,12840060000.0,12796870000.0
2030.0,12560706000.0,12558633000.0,12604184000.0,12355309000.0,12581383000.0,12857482000.0,12742322000.0,12911579000.0,12716095000.0,12747642000.0,12922815000.0,12654379000.0,12619946000.0,12647360000.0
2031.0,12307325000.0,12397208000.0,12447413000.0,12169070000.0,12379514000.0,12738501000.0,12653269000.0,12868674000.0,12604817000.0,12663411000.0,12832900000.0,12427599000.0,12433092000.0,12434259000.0
2032.0,12185994000.0,12143334000.0,12297425000.0,12002801000.0,12210847000.0,12588449000.0,12505382000.0,12657445000.0,12534550000.0,12441298000.0,12791691000.0,12235860000.0,12392439000.0,12565495000.0
2033.0,11985314000.0,11952104000.0,12166646000.0,11850174000.0,12031632000.0,12383559000.0,12314084000.0,12535072000.0,12403893000.0,12254240000.0,12651270000.0,12072104000.0,12129902000.0,12175902000.0
2034.0,11755689000.0,11808833000.0,12026148000.0,11653259000.0,11840610000.0,12240941000.0,12182675000.0,12390919000.0,12325264000.0,12084213000.0,12551820000.0,11856556000.0,11948650000.0,12029859000.0
2035.0,11536891000.0,11634077000.0,11833402000.0,11546904000.0,11637771000.0,12118366000.0,12022172000.0,12226047000.0,12110671000.0,11972571000.0,12530530000.0,12046263000.0,11766460000.0,11860604000.0
2036.0,11243553000.0,11500844000.0,11635033000.0,11366357000.0,11429627000.0,12039598000.0,11864924000.0,12024906000.0,11941043000.0,11928903000.0,12424607000.0,11612728000.0,11599955000.0,11709480000.0
2037.0,11188483000.0,11348867000.0,11463823000.0,11155968000.0,11231008000.0,11851231000.0,11777504000.0,11865653000.0,11789687000.0,11664930000.0,12436554000.0,11408286000.0,11444249000.0,11516195000.0
2038.0,10915766000.0,11136456000.0,11292130000.0,11008710000.0,11024495000.0,11724272000.0,11650849000.0,11679920000.0,11621675000.0,11513026000.0,12195693000.0,11213101000.0,11222150000.0,11389650000.0
2039.0,10661313000.0,10985458000.0,11099137000.0,10830469000.0,10808717000.0,11534361000.0,11491815000.0,11525581000.0,11502949000.0,11374363000.0,12027276000.0,11039300000.0,11067399000.0,11162918000.0
2040.0,10497412000.0,10796953000.0,10952710000.0,10661950000.0,10565243000.0,11378682000.0,11534906000.0,11391836000.0,11436569000.0,11150862000.0,12157968000.0,10825324000.0,10949063000.0,10939943000.0
2041.0,10338563000.0,10608327000.0,10825022000.0,10604944000.0,10298750000.0,11327774000.0,11356350000.0,11253795000.0,11275242000.0,10973741000.0,11809707000.0,10684263000.0,10752066000.0,10760699000.0
2042.0,10190326000.0,10364337000.0,10665592000.0,10399629000.0,10081858000.0,11081616000.0,11170239000.0,11087682000.0,11116783000.0,10795405000.0,11803198000.0,10502476000.0,10538118000.0,10583290000.0
2043.0,9918711000.0,10195554000.0,10547345000.0,10321648000.0,9858166000.0,10987896000.0,11029701000.0,10965116000.0,10975570000.0,10624317000.0,11721341000.0,10337405000.0,10400228000.0,10404612000.0
2044.0,9764957000.0,10052253000.0,10346423000.0,10093946000.0,9627902000.0,10884324000.0,10923973000.0,10793678000.0,10857039000.0,10451157000.0,11530120000.0,10147982000.0,10260487000.0,10223229000.0
2045.0,9512654000.0,9912284000.0,10184081000.0,9920743000.0,9418542000.0,10735089000.0,10789036000.0,10565891000.0,10705049000.0,10299057000.0,11489874000.0,9952754000.0,10056426000.0,10044260000.0
2046.0,9416846000.0,9680439000.0,10056024000.0,9773952000.0,9175691000.0,10583969000.0,10646373000.0,10385242000.0,10541597000.0,10115378000.0,11466268000.0,9744772000.0,9899538000.0,9835955000.0
2047.0,9198628000.0,9479195000.0,9913754000.0,9654810000.0,8919696000.0,10459218000.0,10675832000.0,10185123000.0,10403502000.0,10047644000.0,11261009000.0,9580472000.0,9724643000.0,9601806000.0
2048.0,8966096000.0,9335046000.0,9772144000.0,9494470000.0,8722849000.0,10356266000.0,10471223000.0,9991521000.0,10384824000.0,9826455000.0,11143054000.0,9388989000.0,9568294000.0,9412493000.0
2049.0,8759713000.0,9244307000.0,9534960000.0,9372536000.0,8456398300.0,10319641000.0,10290282000.0,9863493000.0,10332780000.0,9723362000.0,10991913000.0,9217189000.0,9367392000.0,9218123000.0
2050.0,8524173300.0,9037139000.0,9447686000.0,9227848000.0,8298172400.0,10128355000.0,10167739000.0,9681937000.0,10065543000.0,9528636000.0,10855196000.0,9015026000.0,9211110000.0,9073396000.0
2051.0,8384342000.0,8863559000.0,9259697000.0,9104083000.0,8108170000.0,10027105000.0,10035692000.0,9498662000.0,9899495000.0,9364424000.0,10715604000.0,8805365000.0,9068101000.0,8837010000.0
2052.0,8174704600.0,8678932000.0,9144281000.0,8967653000.0,7939096600.0,9867424000.0,9916241000.0,9347130000.0,9724025000.0,9220446000.0,10578113000.0,8618729000.0,8903642000.0,8599932000.0
2053.0,7999494000.0,8512089600.0,8997572000.0,8866165000.0,7705894400.0,9760240000.0,9806348000.0,9099815000.0,9601343000.0,9092679000.0,10411794000.0,8389448700.0,8712521000.0,8359850500.0
2054.0,7844221000.0,8390564000.0,8845442000.0,8724066000.0,7551015000.0,9637157000.0,9689682000.0,8926601000.0,9405657000.0,8961842000.0,10255945000.0,8176583700.0,8537400000.0,8152971300.0
2055.0,7659814400.0,8396622300.0,8715855000.0,8562960000.0,7437604000.0,9560749000.0,9555306000.0,8731739000.0,9265897000.0,8828586000.0,10085949000.0,7979103000.0,8424594400.0,7972817400.0
2056.0,7526842000.0,8127746600.0,8606247000.0,8425925600.0,7256691700.0,9437269000.0,9440779000.0,8502659000.0,9134742000.0,8699767000.0,9938544000.0,7773506000.0,8246393000.0,7757954600.0
2057.0,7330716000.0,7998698000.0,8555264500.0,8286410000.0,7157650000.0,9316062000.0,9396566000.0,8337061000.0,8970628000.0,8555338000.0,9856505000.0,7591638500.0,8111794000.0,7556055600.0
2058.0,7319316500.0,7787429400.0,8407476700.0,8110226000.0,7100726000.0,9216019000.0,9322639000.0,8117412000.0,8816814000.0,8442907000.0,9661995000.0,7414318600.0,7957859300.0,7381513000.0
2059.0,7065637400.0,7951568400.0,8306898400.0,7991323000.0,6889294000.0,9152179000.0,9239384000.0,8040094700.0,8679589000.0,8348099000.0,9740366000.0,7201020000.0,7780044300.0,7239265300.0
2060.0,6986223600.0,7588812000.0,8181529600.0,7840966000.0,6750403000.0,9066521000.0,9129829000.0,7908301300.0,8501927400.0,8223493000.0,9429054000.0,7072286700.0,7647295000.0,7066340400.0
2061.0,6822578700.0,7478631000.0,8054213000.0,7699043000.0,6566565400.0,8973506000.0,9187670000.0,7740599300.0,8359236000.0,8119342600.0,9245371000.0,6864376000.0,7503555600.0,7017252000.0
2062.0,6791486000.0,7325814300.0,7920453000.0,7562627600.0,6422510600.0,8895235000.0,8973171000.0,7523276300.0,8230567000.0,7973175300.0,9079725000.0,6725190700.0,7337870000.0,6806285000.0
2063.0,6618853000.0,7183764000.0,7843305500.0,7431133700.0,6305690600.0,8778425000.0,8865321000.0,7350224000.0,8103142000.0,7848214500.0,8912887000.0,6533059000.0,7175709700.0,6653537300.0
2064.0,6472540000.0,7084887000.0,7706472000.0,7306218500.0,6220893700.0,8684289000.0,8761914000.0,7167000600.0,7945647000.0,7702485000.0,8762189000.0,6399659500.0,6977994000.0,6505009700.0
2065.0,6344715000.0,7421636000.0,7764169000.0,7148539400.0,6051139000.0,8622791000.0,8677974000.0,7016957000.0,7778062300.0,7571873300.0,8684623000.0,6222456300.0,6834671600.0,6448517600.0
2066.0,6246352400.0,7156496400.0,7927774000.0,7006689000.0,5906134500.0,8495214600.0,8556488000.0,6860430000.0,7702714000.0,7449080000.0,8799554000.0,6133812700.0,6687974400.0,6314044400.0
2067.0,6246594600.0,7016847000.0,7547561500.0,6919771600.0,5835325000.0,8403104300.0,8464595500.0,6731969500.0,7590116400.0,7357619000.0,8394829000.0,6070260700.0,6594678000.0,6324390400.0
2068.0,6109809000.0,7121686500.0,7428188700.0,6762684000.0,5672066600.0,8329433600.0,8361942000.0,6627621000.0,7527068000.0,7230574000.0,8227144700.0,5897550000.0,6407762000.0,6278206000.0
2069.0,5958169600.0,6778646500.0,7294978600.0,6605714000.0,5581429000.0,8233935000.0,8311181000.0,6582306300.0,7317280300.0,7138210300.0,8111637500.0,5887491000.0,6247399000.0,6162137000.0
2070.0,5884073500.0,6606990300.0,7212996600.0,6489279000.0,5437002000.0,8258959400.0,8217761000.0,6370620000.0,7226888000.0,6995047000.0,8009025000.0,5694433000.0,6109217000.0,6042986500.0
2071.0,5763353000.0,6663774000.0,7085324300.0,6396330500.0,5347745000.0,8205349000.0,8168298500.0,6219395000.0,7104158700.0,6885062000.0,7850821600.0,5599082000.0,5985790000.0,5943150600.0
2072.0,5675627500.0,6428134000.0,7011619300.0,6342146600.0,5226150400.0,8076400000.0,8066355700.0,6071201300.0,7000369000.0,6764312000.0,7749800000.0,5797915000.0,5920259600.0,5857656000.0
2073.0,5892060700.0,6344768500.0,6886998500.0,6189113300.0,5113803000.0,7991790600.0,8038910000.0,5958681000.0,6855963000.0,6640222000.0,7710858000.0,5477988000.0,5836286000.0,5746535400.0
2074.0,5624942000.0,6261407000.0,6773786000.0,6061513700.0,5037947000.0,7894823400.0,7988090400.0,5831022600.0,6666913000.0,6515755500.0,7478198300.0,5357673000.0,5703459000.0,5650792400.0
2075.0,5498683400.0,6194140700.0,6689443300.0,5971140600.0,4932805000.0,7810616300.0,7893860400.0,5795734000.0,6549843500.0,6426816000.0,7401775600.0,5360041000.0,5573133000.0,5554673700.0
2076.0,5603137500.0,6066520600.0,6583053000.0,5847901700.0,4847443000.0,7756055000.0,7772276000.0,5594938000.0,6406598000.0,6311653400.0,7228806700.0,5208888000.0,5445564000.0,5515925000.0
