time,NORESM1-M,CESM1-CAM5,GFDL-ESM2G,IPSL-CM5A-LR,CCSM4,CSIRO-MK3-6-0,GFDL-CM3,GISS-E2-R
2000.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0
2001.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0
2002.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0
2003.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0
2004.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0
2005.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0
2006.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0
2007.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0
2008.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0
2009.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0
2010.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0
2011.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0
2012.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0
2013.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0
2014.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0
2015.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0
2016.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0
2017.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0
2018.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0
2019.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0
2020.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0
2021.0,2862303000.0,2895191600.0,2858938400.0,2861253600.0,2891004200.0,3146214700.0,2861529900.0,2966131500.0
2022.0,2847727600.0,2860067600.0,2833831000.0,3137709300.0,2879395800.0,3309444000.0,2845821400.0,2918455300.0
2023.0,3088899600.0,2843187000.0,2824981500.0,2910639400.0,2886443800.0,3077448000.0,2846703400.0,3082567700.0
2024.0,3097232100.0,2832853200.0,2817502000.0,2917546000.0,2868738000.0,3061387500.0,2819881700.0,3001571300.0
2025.0,2955377700.0,2820333300.0,2943624200.0,2853963800.0,2845994000.0,3017928700.0,2802485200.0,2893368800.0
2026.0,2893553700.0,2802044000.0,2824718600.0,2813148400.0,2831595000.0,2954171100.0,2780266500.0,2852795400.0
2027.0,2982116900.0,2788469200.0,2781191700.0,2779736800.0,2840655000.0,3023308500.0,2761543200.0,2836344800.0
2028.0,2870688800.0,2778933200.0,2762677200.0,2824681500.0,2808785700.0,3090625800.0,2746026200.0,2816946400.0
2029.0,2876600000.0,2753662700.0,2743872300.0,2728909300.0,2779991800.0,2928306700.0,2704923600.0,2794772000.0
2030.0,2874313200.0,2729210000.0,2804416800.0,3002255600.0,2754025500.0,2976615200.0,2673605000.0,2873517600.0
2031.0,2933815000.0,2722991900.0,2754724000.0,2707650300.0,2737802500.0,2901022500.0,2651880000.0,2757535700.0
2032.0,2811807500.0,2696730600.0,2735542800.0,2741554000.0,2748500000.0,2872469800.0,2626675500.0,2757973800.0
2033.0,2794885600.0,2723788800.0,2919545000.0,2651465000.0,2724971000.0,3028598000.0,2600428800.0,2728051000.0
2034.0,2791920000.0,2657269500.0,2726194700.0,2623447000.0,2679194400.0,2887504000.0,2563011600.0,2748985600.0
2035.0,2751801600.0,2622277400.0,2681083600.0,2583337500.0,2692067300.0,2858468400.0,2525277000.0,2698072300.0
2036.0,2755202300.0,2592298800.0,2683216600.0,2534072300.0,2672696600.0,2837555000.0,2482268000.0,2728338400.0
2037.0,2819237600.0,2583078700.0,2644536000.0,2490342000.0,2624440300.0,2824831000.0,2464296200.0,2672586000.0
2038.0,2737259000.0,2567619000.0,2610108200.0,2455967200.0,2633579000.0,2938096600.0,2413222400.0,2639915800.0
2039.0,2701703200.0,2524202000.0,2586269000.0,2390272800.0,2580088600.0,2893913000.0,2363764500.0,2713238000.0
2040.0,2678776000.0,2534389000.0,2625637400.0,2330217200.0,2550623700.0,3068398300.0,2307631000.0,2624022300.0
2041.0,2673345800.0,2472168000.0,2672061000.0,2301908700.0,2512737300.0,2917664800.0,2278029600.0,2590322700.0
2042.0,2636881200.0,2631661300.0,2517675800.0,2234713300.0,2701884000.0,2917199400.0,2217648000.0,2545090000.0
2043.0,2614911500.0,2465196300.0,2502893000.0,2186313500.0,2514876000.0,2807468000.0,2176851700.0,2539530000.0
2044.0,2588531700.0,2424030000.0,2476555500.0,2167369000.0,2458957800.0,2760844500.0,2127194800.0,2547782400.0
2045.0,2561568500.0,2376380000.0,2454815500.0,2092838300.0,2439312100.0,2817719800.0,2087458300.0,2500950800.0
2046.0,2531090000.0,2314921200.0,2727741200.0,2055146000.0,2410786800.0,2717383000.0,2004676200.0,2488194600.0
