time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4,GISS-E2-R,CANESM2,GFDL-CM3,CNRM-CM5,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G
2000.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0,3066769700.0
2001.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0,3160188000.0
2002.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0,3068408600.0
2003.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0,2984368400.0
2004.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0,3008363000.0
2005.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0,2968654300.0
2006.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0,3031867100.0
2007.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0,2944890400.0
2008.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0,3109680400.0
2009.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0,3022586600.0
2010.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0,2933487400.0
2011.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0,2932991700.0
2012.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0,2989930800.0
2013.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0,3052667400.0
2014.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0,2943952100.0
2015.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0,2911599600.0
2016.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0,3242674200.0
2017.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0,2965335000.0
2018.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0,3044245500.0
2019.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0,2894116600.0
2020.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0,2928172500.0
2021.0,2867776500.0,2884834000.0,2882637000.0,2869103000.0,2883734500.0,2866819000.0,2875074600.0,2884055800.0,2925700000.0,2870590700.0
2022.0,2995168300.0,2863683600.0,2991518200.0,2862635000.0,2873550800.0,2841502000.0,2852188400.0,2856510200.0,2854862600.0,2845094100.0
2023.0,2904126500.0,2860171800.0,2873043500.0,2847223300.0,2953860000.0,2811844400.0,2913843200.0,2834656500.0,2827446000.0,2830275000.0
2024.0,2869362700.0,2832154000.0,2830337000.0,2832024000.0,2884671000.0,2794548700.0,3136280300.0,2993367300.0,2815669500.0,2816956700.0
2025.0,2914908400.0,2840809700.0,2846226400.0,2804635600.0,2833101000.0,2768402400.0,2928781300.0,3107902500.0,2788751400.0,2813057500.0
2026.0,2888850700.0,2801949000.0,2832814800.0,2791324200.0,2814387200.0,2738518500.0,2933563100.0,3049289500.0,2828073700.0,2804085500.0
2027.0,2914329000.0,2779996200.0,2789631500.0,2787287000.0,2799985400.0,2712174000.0,2925750500.0,2890785300.0,2751526000.0,2766162000.0
2028.0,2970872800.0,2751166700.0,2885651700.0,2757311200.0,2768337400.0,2683515600.0,2872089600.0,2904169200.0,2728713000.0,2755245300.0
2029.0,3144336600.0,2842828000.0,2788612600.0,2723897600.0,2749187300.0,2648102100.0,2836331800.0,2899210800.0,2722282200.0,2731047000.0
2030.0,3058639400.0,2756065000.0,2904777000.0,2798828500.0,2736823300.0,2601833700.0,2791775000.0,2877148400.0,2678476800.0,2708041500.0
2031.0,2885120800.0,2794068700.0,2870691000.0,2686457300.0,2697390300.0,2565306600.0,2773060600.0,2862989000.0,2636749300.0,2670514000.0
2032.0,2876190000.0,2721095400.0,2802280400.0,2688417800.0,2680921300.0,2528175400.0,2765063000.0,2793108500.0,2589258200.0,2661581600.0
2033.0,2857388500.0,2684509700.0,2762359600.0,2629307600.0,2636121600.0,2518543600.0,2735149000.0,2829937200.0,2549205500.0,2633385000.0
2034.0,2833325300.0,2637801200.0,2719315200.0,2624008200.0,2602799600.0,2457756700.0,2725289500.0,2827010800.0,2492617500.0,2602819600.0
2035.0,2825558300.0,2605099500.0,2683745300.0,2602960400.0,2630587600.0,2412784600.0,2693290800.0,2752433400.0,2437096200.0,2607306500.0
2036.0,2766009900.0,2574865700.0,2651769600.0,2540146700.0,2562033000.0,2426758700.0,2673218800.0,2726741800.0,2383763000.0,2560327700.0
2037.0,2783700200.0,3299837200.0,2623921200.0,2494412300.0,2511050200.0,2354278000.0,2649236500.0,2811672600.0,2310761700.0,2560525000.0
2038.0,2748913700.0,2688775700.0,2614474800.0,2449664800.0,2467069700.0,2302810400.0,2634683400.0,2726050600.0,2262307300.0,2514931700.0
2039.0,2765270500.0,2648363800.0,2589624800.0,2405867000.0,2417537500.0,2242527500.0,2601745400.0,2656419600.0,2198886000.0,2486767900.0
2040.0,2697757000.0,2515416300.0,2569587500.0,2350669600.0,2383485400.0,2174293800.0,2662556700.0,2632766000.0,2119442300.0,2453750500.0
2041.0,2674487300.0,2505588000.0,2540077300.0,2298314800.0,2342356700.0,2130926200.0,2603772200.0,2612184600.0,2146511000.0,2412918500.0
2042.0,2717367600.0,2429379000.0,2512828700.0,2232928300.0,2277869000.0,2062522800.0,2554567000.0,2726813000.0,2057806600.0,2370869200.0
2043.0,2727384300.0,2376191200.0,2548932900.0,2148234000.0,2247515600.0,2001240400.0,2537419500.0,2584694500.0,1965098000.0,2376212700.0
2044.0,2627480800.0,2326698000.0,2520057300.0,2114098700.0,2214695200.0,1923530800.0,2489555000.0,2538087700.0,1900570800.0,2312680700.0
2045.0,2586540000.0,2441169000.0,2581690400.0,2035111300.0,2165859300.0,1859013900.0,2455085300.0,2504618200.0,1820501100.0,2606258400.0
2046.0,2547756500.0,2265511700.0,2434293800.0,1950333000.0,2099633900.0,1790201700.0,2427791000.0,2671100700.0,1718563300.0,2484979700.0
2047.0,2521956000.0,2228642300.0,2384114000.0,1874769400.0,2032790300.0,1733964900.0,2389758000.0,2550990800.0,1640578300.0,2357260300.0
2048.0,2543666400.0,2167046100.0,2346088700.0,1783190400.0,1975981800.0,1675644000.0,2368219100.0,2465805300.0,1556004200.0,2251469600.0
2049.0,2524552400.0,2128983800.0,2305770800.0,1707822300.0,1913704400.0,1609590700.0,2327478800.0,2416766000.0,1496260900.0,2209694000.0
2050.0,2574487800.0,2087392500.0,2261807600.0,1624161200.0,1863309000.0,1556450000.0,2276500000.0,2403409200.0,1419422500.0,2119993300.0
2051.0,2636810200.0,2028611600.0,2214343400.0,1569671000.0,1812227500.0,1472849900.0,2297602600.0,2348298200.0,1363912700.0,2090861400.0
2052.0,2441160700.0,1971115800.0,2160787500.0,1520271200.0,1739397900.0,1407354900.0,2211624200.0,2306407700.0,1292508400.0,2046534800.0
2053.0,2387912400.0,1924212200.0,2136783100.0,1476004600.0,1694139500.0,1357771500.0,2161502000.0,2273139500.0,1247896000.0,1998535200.0
2054.0,2367041800.0,2087470100.0,2058001500.0,1447651000.0,1632848900.0,1306524300.0,2106028900.0,2227061000.0,1173221600.0,1927299700.0
2055.0,2344892000.0,1893046500.0,2025054800.0,1380568000.0,1578083700.0,1261854700.0,2054975700.0,2188795600.0,1112767400.0,1871668900.0
2056.0,2302729700.0,1838135800.0,1983055100.0,1330510700.0,1524649900.0,1219416300.0,2010902000.0,2156411400.0,1078946400.0,1823121200.0
2057.0,2276695600.0,1789859000.0,1946243100.0,1294430100.0,1465267000.0,1166972800.0,1967617200.0,2126118400.0,1037782460.0,1766940700.0
2058.0,2253825500.0,1749632300.0,1896561500.0,1254258200.0,1405601900.0,1128244900.0,1911604500.0,2086153500.0,998577000.0,1710459000.0
2059.0,2398878700.0,1706530300.0,1854058400.0,1213627000.0,1653935900.0,1084240000.0,1938369900.0,2054518100.0,948004800.0,1671665200.0
2060.0,2814333200.0,1663698800.0,1800791200.0,1161700000.0,1342779900.0,1028174200.0,1828376600.0,2012695400.0,893532400.0,1618856000.0
2061.0,2423145000.0,1616047400.0,1765131000.0,1143709200.0,1286445700.0,981013700.0,1784901800.0,1980526600.0,856103360.0,1575896700.0
2062.0,2264556500.0,1561133800.0,1716260100.0,1118902800.0,1251220900.0,935888060.0,1736574700.0,2150517800.0,817991230.0,1518957200.0
