time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2074.0,37499170000000.0,32425739000000.0,34752256000000.0,38930292000000.0
2075.0,37397996000000.0,32139836000000.0,34619860000000.0,38879130000000.0
2076.0,37233055000000.0,31906595000000.0,34382070000000.0,38736770000000.0
2077.0,36960170000000.0,31716794000000.0,34114280000000.0,38513785000000.0
2078.0,36741580000000.0,31505808000000.0,33910524000000.0,38357996000000.0
2079.0,36648805000000.0,31250590000000.0,33695004000000.0,38272252000000.0
2080.0,36450775000000.0,30873210000000.0,33433560000000.0,38228220000000.0
2081.0,36223000000000.0,30607415000000.0,33186197000000.0,38145643000000.0
2082.0,36020918000000.0,30442502000000.0,32898195000000.0,38073908000000.0
2083.0,35924864000000.0,30108247000000.0,32642527000000.0,38074970000000.0
2084.0,35763080000000.0,29706340000000.0,32292727000000.0,38106220000000.0
2085.0,35612074000000.0,29452174000000.0,31928310000000.0,38030908000000.0
2086.0,35478070000000.0,29116701000000.0,31630380000000.0,37986234000000.0
2087.0,35361007000000.0,28800260000000.0,31337807000000.0,37784845000000.0
2088.0,35201514000000.0,28515328000000.0,31049530000000.0,37681673000000.0
2089.0,35082088000000.0,28236969000000.0,30780869000000.0,37488920000000.0
2090.0,34974865000000.0,27858064000000.0,30557373000000.0,37387275000000.0
2091.0,34838812000000.0,27533810000000.0,30186200000000.0,37248033000000.0
2092.0,34712110000000.0,27193183000000.0,29921584000000.0,37111940000000.0
2093.0,34554390000000.0,26974823000000.0,29595758000000.0,36946300000000.0
2094.0,34365275000000.0,26760066000000.0,29301397000000.0,36817995000000.0
2095.0,34213187000000.0,26502133000000.0,29045914000000.0,36611086000000.0
2096.0,34119442000000.0,26301795000000.0,28864405000000.0,36361965000000.0
2097.0,34025679000000.0,26029425000000.0,28656833000000.0,36235603000000.0
2098.0,33943613000000.0,25728656000000.0,28382641000000.0,36172827000000.0
2099.0,33695266000000.0,25354733000000.0,28051593000000.0,36082570000000.0
2100.0,33676960000000.0,25027810000000.0,27732681000000.0,35941406000000.0
