time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0
2030.0,967795260.0,844916350.0,977402750.0,989442240.0,904288700.0
2031.0,950928450.0,805292860.0,978213900.0,969930300.0,893232800.0
2032.0,935148350.0,767761500.0,957879550.0,942250700.0,870155260.0
2033.0,908608060.0,736010900.0,946838800.0,915074500.0,841316400.0
2034.0,885888450.0,702540400.0,1003730600.0,899726850.0,825442800.0
2035.0,858745600.0,674396740.0,964176200.0,889797300.0,800233700.0
2036.0,846801500.0,620124800.0,927850900.0,942385540.0,782817150.0
2037.0,819171000.0,593918660.0,907990900.0,857513300.0,756815800.0
2038.0,791542600.0,553051000.0,884205100.0,828180500.0,733791550.0
2039.0,767858100.0,529003740.0,870495740.0,811851700.0,719977150.0
2040.0,746199940.0,505203620.0,869870900.0,790676540.0,691439500.0
2041.0,723351400.0,486945500.0,945201340.0,772046340.0,684293950.0
2042.0,699470600.0,456181340.0,858256500.0,757941400.0,666957100.0
2043.0,673688960.0,428036060.0,833289000.0,735015600.0,767870400.0
2044.0,652373900.0,414094700.0,826779700.0,715430140.0,660877400.0
2045.0,634066940.0,394251900.0,820968450.0,688529540.0,634792000.0
2046.0,613874800.0,368835070.0,802676200.0,833794900.0,628032500.0
2047.0,594942660.0,346347140.0,792893900.0,679040640.0,601526000.0
2048.0,569638600.0,331570000.0,787522400.0,645911400.0,583620800.0
2049.0,556679300.0,318780600.0,771575700.0,631065600.0,572375940.0
2050.0,528394800.0,309280200.0,760935740.0,607903550.0,562563100.0
2051.0,510541060.0,296386620.0,754264770.0,585968700.0,548128640.0
2052.0,487104740.0,280180350.0,743642100.0,564960300.0,529645120.0
2053.0,475120580.0,263239300.0,730154800.0,555249900.0,519075500.0
2054.0,462242850.0,249580060.0,716288600.0,560296900.0,505055070.0
2055.0,453077150.0,234862340.0,698911940.0,529564450.0,495185630.0
2056.0,449297630.0,225751280.0,678764600.0,506250340.0,481042980.0
2057.0,431098370.0,214509810.0,673442200.0,486983650.0,468897020.0
2058.0,416666500.0,198965090.0,665058500.0,467742180.0,458089760.0
2059.0,402228960.0,190985400.0,645701250.0,450312740.0,437415900.0
2060.0,393669120.0,179864800.0,629371650.0,429181300.0,423759460.0
2061.0,383093440.0,172260700.0,613285570.0,417292700.0,408273760.0
2062.0,365268670.0,162395790.0,687481600.0,404338140.0,419885020.0
2063.0,354984030.0,153113250.0,600665540.0,388390080.0,402608400.0
2064.0,341713000.0,146551490.0,588971900.0,378984500.0,380743780.0
2065.0,328071580.0,139661840.0,578171100.0,367358140.0,365761900.0
2066.0,312691970.0,138647630.0,548888200.0,355997820.0,356203700.0
2067.0,305050780.0,131020540.0,535727360.0,340485600.0,343435620.0
2068.0,291294240.0,123502990.0,510618850.0,325814850.0,347630430.0
2069.0,277546000.0,119393390.0,495531520.0,310314530.0,331503740.0
2070.0,267039020.0,113895170.0,476554240.0,303182340.0,322012450.0
2071.0,255510510.0,106883176.0,451844900.0,289280160.0,311319650.0
2072.0,243569800.0,101503470.0,441579500.0,280842780.0,297022180.0
2073.0,232560220.0,95682000.0,428077800.0,267660670.0,285177800.0
2074.0,221583860.0,91812880.0,413871680.0,261493280.0,273375900.0
2075.0,208686000.0,83105464.0,413983400.0,247124750.0,261995580.0
2076.0,200573340.0,81513390.0,392847970.0,240741360.0,256280200.0
2077.0,191884450.0,77617430.0,384533920.0,233125700.0,248874560.0
2078.0,179022140.0,74236980.0,365695700.0,227162100.0,240745360.0
2079.0,169259070.0,69078376.0,353681600.0,218236960.0,231352540.0
2080.0,164395000.0,65653240.0,345429100.0,209636160.0,225072140.0
2081.0,152456960.0,58615710.0,330323520.0,205671230.0,218797140.0
2082.0,142874660.0,56170850.0,315102620.0,194674750.0,213261620.0
2083.0,138066160.0,54450412.0,303524000.0,193113580.0,209840620.0
2084.0,133352264.0,52914620.0,289220000.0,188644030.0,204034770.0
2085.0,129805016.0,49075092.0,274669280.0,181520260.0,201841100.0
2086.0,126024200.0,45881456.0,262450560.0,177400240.0,197435900.0
2087.0,121564560.0,43026664.0,247727520.0,171625700.0,193869550.0
2088.0,119943380.0,40240640.0,238767300.0,169347150.0,188361360.0
2089.0,116240670.0,37235120.0,224260110.0,165641580.0,186269420.0
2090.0,111013970.0,32379796.0,218269950.0,163998270.0,182585090.0
2091.0,104585920.0,30327880.0,199915470.0,158422380.0,179459230.0
2092.0,96095680.0,29227772.0,189190660.0,155389900.0,173495100.0
2093.0,89743060.0,26368484.0,180605180.0,149248000.0,170961170.0
2094.0,84482420.0,25409550.0,162186300.0,144273100.0,166207420.0
2095.0,78908290.0,23806584.0,150939940.0,138917000.0,161754940.0
2096.0,75802776.0,23554320.0,146830380.0,135530530.0,157617940.0
2097.0,70022030.0,20938112.0,142321150.0,128470900.0,152582290.0
2098.0,66073190.0,20679826.0,130397576.0,134387540.0,153041950.0
2099.0,61799610.0,18500376.0,128528824.0,124219384.0,147604020.0
2100.0,57824996.0,18353008.0,124421510.0,121739690.0,144960560.0
