time,TAIESM1,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,IPSL-CM6A-LR,INM-CM4-8,INM-CM5-0,CESM2-WACCM,ACCESS-CM2,CAMS-CSM1-0,EC-EARTH3-VEG,ACCESS-ESM1-5,MRI-ESM2-0,GFDL-ESM4,CANESM5,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,13952143000.0,14088514000.0,13890134000.0,14010697000.0,13939063000.0,13923102000.0,14084874000.0,13977537000.0,13926896000.0,13966382000.0,14126963000.0,13930071000.0,13968278000.0,13943158000.0,14089619000.0,13924513000.0,14047103000.0,13937674000.0,14022099000.0
2022.0,13853110000.0,13955877000.0,13790785000.0,13895400000.0,13800961000.0,13761524000.0,13843669000.0,13877398000.0,13709122000.0,13831168000.0,13995171000.0,13779022000.0,13924733000.0,13895757000.0,14015682000.0,13811912000.0,13883646000.0,13837739000.0,13875914000.0
2023.0,13729150000.0,13855665000.0,13660008000.0,13812125000.0,13651618000.0,13657351000.0,13785665000.0,13855820000.0,13553266000.0,13723238000.0,14003400000.0,13649683000.0,13823807000.0,13771309000.0,13859869000.0,13693078000.0,13829986000.0,13768568000.0,13681314000.0
2024.0,13616781000.0,13729729000.0,13458822000.0,13678684000.0,13541843000.0,13532543000.0,13505168000.0,13650704000.0,13465207000.0,13565715000.0,13759298000.0,13522106000.0,14034668000.0,13620784000.0,13969509000.0,13549014000.0,13924257000.0,13737093000.0,13604944000.0
2025.0,13471272000.0,13615458000.0,13263210000.0,13699509000.0,13684452000.0,13401191000.0,13387003000.0,13537754000.0,13188158000.0,13474341000.0,14045048000.0,13342290000.0,13661815000.0,13416920000.0,14377622000.0,13371304000.0,13685256000.0,13473077000.0,13577424000.0
2026.0,13395715000.0,13558291000.0,13106395000.0,13368754000.0,13310314000.0,13191026000.0,13131952000.0,13410979000.0,12995747000.0,13267912000.0,13784849000.0,13415299000.0,13534219000.0,13233164000.0,13993160000.0,13213970000.0,13605438000.0,13323597000.0,13433967000.0
2027.0,13258660000.0,13527426000.0,12936727000.0,13261268000.0,13181453000.0,13035851000.0,12965282000.0,13279133000.0,12765708000.0,13059712000.0,13854969000.0,13072222000.0,13339215000.0,13182046000.0,13593847000.0,13114222000.0,13486964000.0,13223628000.0,13229860000.0
2028.0,13030008000.0,13366359000.0,12769631000.0,13143544000.0,13018751000.0,12754917000.0,12774423000.0,13088360000.0,12468760000.0,12801670000.0,13507045000.0,12893808000.0,13155845000.0,12973336000.0,13444980000.0,12846582000.0,13348910000.0,13052183000.0,13237358000.0
2029.0,12746543000.0,13383808000.0,12777199000.0,13228941000.0,12754938000.0,12487136000.0,12680830000.0,12956270000.0,12096416000.0,12627636000.0,13594774000.0,12636126000.0,12989505000.0,12752477000.0,13379122000.0,12584941000.0,13152580000.0,12923372000.0,13060368000.0
2030.0,12573280000.0,13246421000.0,12626619000.0,12939991000.0,12466519000.0,12159229000.0,12503905000.0,12715964000.0,11673241000.0,12388005000.0,13317315000.0,12435202000.0,12754438000.0,12553155000.0,13171678000.0,12279258000.0,12982468000.0,12775144000.0,12850110000.0
2031.0,12235446000.0,13000715000.0,12284300000.0,12708200000.0,12223761000.0,11724070000.0,12335862000.0,12538425000.0,11448518000.0,12118399000.0,13182343000.0,12302338000.0,12420398000.0,12284750000.0,13062521000.0,11994217000.0,12781949000.0,12534326000.0,12660902000.0
2032.0,12014009000.0,13230027000.0,12011354000.0,12437198000.0,12003173000.0,11414646000.0,12084739000.0,12314211000.0,11111038000.0,11898127000.0,13121466000.0,12174566000.0,12120200000.0,11986041000.0,12918237000.0,11596196000.0,12802871000.0,12193223000.0,12470461000.0
2033.0,11714315000.0,12839980000.0,11746299000.0,12254316000.0,11789104000.0,11153458000.0,11854904000.0,12099706000.0,10724952000.0,11657314000.0,12985151000.0,11860208000.0,11712473000.0,11708957000.0,12896354000.0,11226780000.0,12562076000.0,11977299000.0,12299656000.0
2034.0,11199163000.0,12790594000.0,11571818000.0,12074415000.0,11628919000.0,11045106000.0,11633130000.0,11926349000.0,10300193000.0,11293923000.0,12801483000.0,11691512000.0,11373570000.0,11546504000.0,12596964000.0,10888117000.0,12456930000.0,11717879000.0,12068511000.0
2035.0,10913869000.0,12845830000.0,11213555000.0,11789460000.0,11337372000.0,10806409000.0,11371320000.0,11742745000.0,9773136000.0,11102411000.0,12594134000.0,11427379000.0,11012010000.0,11570115000.0,12427433000.0,10612816000.0,12216525000.0,11432817000.0,11848818000.0
2036.0,10459739000.0,12509751000.0,10851014000.0,11504814000.0,11109307000.0,10484670000.0,11130894000.0,11518946000.0,9371552000.0,10793869000.0,12435745000.0,11292800000.0,10818356000.0,11199095000.0,12340779000.0,10245063000.0,12053157000.0,11142628000.0,11870825000.0
2037.0,10029620000.0,12255455000.0,10576964000.0,11266566000.0,10822354000.0,10104949000.0,10684697000.0,11257437000.0,8916804000.0,10528199000.0,12249820000.0,10949057000.0,10564400000.0,10947180000.0,12205296000.0,10023970000.0,11853225000.0,11031814000.0,11591975000.0
2038.0,9709503000.0,12111844000.0,10202142000.0,10987524000.0,10720412000.0,9892994000.0,10400100000.0,11068421000.0,8512625700.0,10221479000.0,12105674000.0,10763547000.0,10353934000.0,10537684000.0,11985299000.0,9535604000.0,11617393000.0,10962488000.0,11442395000.0
