time,IPSL-CM6A-LR,EC-EARTH3,INM-CM4-8,INM-CM5-0,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CESM2,MPI-ESM1-2-HR,NORESM2-MM,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,ACCESS-ESM1-5,GFDL-ESM4,CANESM5
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
2012.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0,14801619000.0
2013.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0,14680078000.0
2014.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0,14486150000.0
2015.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0,14421276000.0
2016.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0,14328409000.0
2017.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0,14287543000.0
2018.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0,14214502000.0
2019.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0,14146165000.0
2020.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0,14068512000.0
2021.0,13983444000.0,13982177000.0,13998946000.0,13962877000.0,13956278000.0,13940450000.0,14035859000.0,13957194000.0,14005763000.0,13954243000.0,13933394000.0,13946762000.0,13946290000.0,13954559000.0,13986179000.0,13957683000.0,13969174000.0
2022.0,13899457000.0,13807640000.0,13904197000.0,13879756000.0,13897732000.0,13821493000.0,13847302000.0,13918191000.0,13827109000.0,13778942000.0,13804144000.0,14033054000.0,13893491000.0,13845367000.0,13858689000.0,13881110000.0,13857760000.0
2023.0,13793408000.0,13871062000.0,13772346000.0,13813331000.0,13823918000.0,13627410000.0,13738097000.0,13801525000.0,13834889000.0,13737438000.0,13739045000.0,13760941000.0,13801782000.0,13898003000.0,14042436000.0,13748708000.0,13644112000.0
2024.0,13678531000.0,13689300000.0,13700018000.0,13675528000.0,13765036000.0,13513201000.0,13569063000.0,13618156000.0,13653189000.0,13513105000.0,13637037000.0,13619890000.0,13701906000.0,13721916000.0,13739017000.0,13858130000.0,13485302000.0
2025.0,13490040000.0,13660315000.0,13527604000.0,13508871000.0,13642926000.0,13338889000.0,13359221000.0,13518351000.0,13584441000.0,13341707000.0,13752203000.0,13461822000.0,13619838000.0,13560716000.0,13565912000.0,13947267000.0,13325707000.0
2026.0,13355610000.0,13446083000.0,13405018000.0,13349193000.0,13507195000.0,13148883000.0,13197670000.0,13482061000.0,13438860000.0,13207850000.0,13779687000.0,13410575000.0,13493022000.0,13457829000.0,13439324000.0,13534204000.0,13125895000.0
2027.0,13280882000.0,13342326000.0,13334546000.0,13332354000.0,13438124000.0,13055064000.0,13038227000.0,13318381000.0,13307715000.0,13024666000.0,13565704000.0,13159977000.0,13335018000.0,13360163000.0,13270323000.0,13377761000.0,12929680000.0
