time,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,MPI-ESM1-2-HR,CESM2,NORESM2-MM,EC-EARTH3,INM-CM5-0,INM-CM4-8,CESM2-WACCM,CAMS-CSM1-0
2000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0,15464052000.0
2001.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0,14999823000.0
2002.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0,14950886000.0
2003.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0,14855880000.0
2004.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0,14795238000.0
2005.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0,14791817000.0
2006.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0,14885375000.0
2007.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0,14755681000.0
2008.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0,15082558000.0
2009.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0,14866364000.0
2010.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0,14733953000.0
2011.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0,14775480000.0
