time,INM-CM4-8,MPI-ESM1-2-HR,CESM2-WACCM,CESM2,EC-EARTH3,EC-EARTH3-VEG,MRI-ESM2-0,GFDL-ESM4,BCC-CSM2-MR,CAMS-CSM1-0,INM-CM5-0,NORESM2-MM,FGOALS-F3-L
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104175034000.0,104166040000.0,104234720000.0,104184410000.0,104180990000.0,105337610000.0,104158930000.0,104403255000.0,104235745000.0,104246590000.0,104248810000.0,104197580000.0,104194910000.0
2022.0,104119730000.0,104142480000.0,104586500000.0,104118230000.0,104164990000.0,104601125000.0,104104400000.0,104225290000.0,104218410000.0,104167240000.0,104175760000.0,104166965000.0,104165790000.0
2023.0,104085185000.0,104090260000.0,104333700000.0,104083325000.0,104201150000.0,104291200000.0,104108016000.0,104172495000.0,104357855000.0,104147440000.0,104149070000.0,104208400000.0,104122820000.0
2024.0,104121560000.0,104061170000.0,104191780000.0,104035130000.0,104164880000.0,104190570000.0,104146800000.0,104248970000.0,104293910000.0,104105660000.0,104116110000.0,104093570000.0,104100766000.0
2025.0,104224180000.0,104100225000.0,104139100000.0,103965065000.0,104073530000.0,104121450000.0,104048490000.0,104130310000.0,104229160000.0,104054284000.0,104060390000.0,104070440000.0,104059360000.0
2026.0,104017010000.0,103998200000.0,104153720000.0,103897014000.0,104011990000.0,104063090000.0,104004940000.0,104136040000.0,104137740000.0,104018460000.0,104207090000.0,103994630000.0,104018770000.0
2027.0,103936295000.0,104094520000.0,104102980000.0,103858120000.0,103937170000.0,103989666000.0,103922870000.0,104074945000.0,104094015000.0,103964580000.0,104034920000.0,103944140000.0,103930990000.0
2028.0,103890300000.0,103920060000.0,104087950000.0,103760000000.0,103878280000.0,103937425000.0,103919780000.0,104050810000.0,104126110000.0,103910410000.0,104061320000.0,104093426000.0,103898735000.0
2029.0,103837740000.0,103840420000.0,104027775000.0,103679630000.0,103814600000.0,103897980000.0,103872030000.0,104501100000.0,104020090000.0,103893810000.0,104104124000.0,103894180000.0,103902840000.0
2030.0,103773315000.0,103815980000.0,104003895000.0,103633550000.0,103729000000.0,103831710000.0,103882000000.0,104071420000.0,103988640000.0,103859050000.0,103991116000.0,103849690000.0,103860290000.0
2031.0,103721790000.0,103795760000.0,103956005000.0,103561265000.0,103652550000.0,103867390000.0,103779190000.0,103972360000.0,103963350000.0,103811410000.0,103931310000.0,104004444000.0,103810280000.0
2032.0,103913000000.0,103720270000.0,103902370000.0,103485360000.0,103581400000.0,103749470000.0,103723295000.0,103924530000.0,103908780000.0,103862760000.0,103899480000.0,103814590000.0,103740010000.0
2033.0,103694660000.0,103658400000.0,103928090000.0,103387000000.0,103642890000.0,103648985000.0,103680630000.0,103866160000.0,103870950000.0,103932730000.0,103848300000.0,103760280000.0,103726236000.0
2034.0,103638440000.0,103680240000.0,103833370000.0,103471850000.0,103494566000.0,103580580000.0,103636250000.0,103870780000.0,103794110000.0,103762320000.0,103794920000.0,103689640000.0,103658280000.0
2035.0,103678970000.0,103610080000.0,103804110000.0,103296910000.0,103390870000.0,103485145000.0,103564550000.0,103835140000.0,103744315000.0,103686990000.0,103739300000.0,103672060000.0,103609140000.0
2036.0,103583790000.0,103545390000.0,103770790000.0,103223990000.0,103279840000.0,103399930000.0,103519510000.0,103772660000.0,103706800000.0,103621870000.0,103674890000.0,103628020000.0,103566420000.0
2037.0,103641610000.0,103476200000.0,103711620000.0,103074450000.0,103182230000.0,103273140000.0,103403680000.0,104095090000.0,103620936000.0,103619060000.0,103627240000.0,103610820000.0,103539650000.0
2038.0,103530330000.0,103685660000.0,103771180000.0,102986630000.0,103100610000.0,103140590000.0,103360360000.0,103778970000.0,103671400000.0,103532940000.0,103549395000.0,103624200000.0,103481330000.0
2039.0,103495000000.0,103421250000.0,103676700000.0,102797250000.0,102965970000.0,103021110000.0,103265070000.0,103709840000.0,103591220000.0,103684400000.0,103506750000.0,103512180000.0,103411016000.0
2040.0,103419410000.0,103370570000.0,103641915000.0,102751130000.0,102839560000.0,102858340000.0,103295460000.0,103609820000.0,103842726000.0,103549710000.0,103470950000.0,103415740000.0,103514090000.0
2041.0,103394810000.0,103316380000.0,103510335000.0,102491636000.0,102701690000.0,102744515000.0,103188720000.0,103547860000.0,103612514000.0,103474700000.0,103416240000.0,103317390000.0,103279290000.0
2042.0,103341290000.0,103254210000.0,103425420000.0,102424530000.0,102622840000.0,102633920000.0,106693890000.0,103480440000.0,103431240000.0,103707780000.0,103383690000.0,103209615000.0,103193530000.0
2043.0,103252570000.0,103181420000.0,103337910000.0,102364300000.0,102494990000.0,102503055000.0,103172350000.0,103400060000.0,103375860000.0,103418724000.0,103289045000.0,103113590000.0,103124600000.0
2044.0,103177070000.0,103066960000.0,103255150000.0,102273140000.0,102356754000.0,102487060000.0,102912025000.0,103350060000.0,103368230000.0,103320650000.0,103210570000.0,103078265000.0,103055606000.0
2045.0,103143170000.0,103082200000.0,103186460000.0,102138530000.0,102283624000.0,102266356000.0,103072915000.0,103363445000.0,103370130000.0,103324656000.0,103221535000.0,103147780000.0,102976170000.0
2046.0,103056620000.0,103063265000.0,103106390000.0,101927970000.0,102160330000.0,102101295000.0,102832210000.0,103246900000.0,103210435000.0,103341150000.0,103088960000.0,102969630000.0,102889150000.0
2047.0,103015825000.0,102966610000.0,103041470000.0,101788115000.0,101983715000.0,101859410000.0,102702195000.0,103320310000.0,103118950000.0,103208395000.0,103024840000.0,102860080000.0,102814040000.0
2048.0,102904920000.0,102845200000.0,102938280000.0,101576930000.0,101760910000.0,101578980000.0,102498796000.0,103300460000.0,103062590000.0,103145560000.0,102929870000.0,102828425000.0,102692590000.0
2049.0,102811310000.0,102711660000.0,102896190000.0,101291130000.0,101486125000.0,101358900000.0,102354770000.0,103142300000.0,102973310000.0,103034946000.0,102846630000.0,102723680000.0,102603840000.0
2050.0,102687720000.0,102591210000.0,102703325000.0,100982430000.0,101237880000.0,101053506000.0,102859235000.0,103046000000.0,102840780000.0,103033700000.0,102804144000.0,102587180000.0,102483290000.0
