time,CANESM5,MRI-ESM2-0,UKESM1-0-LL,CNRM-ESM2-1,IPSL-CM6A-LR
2000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0,4772006500000.0
2001.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0,4770493400000.0
2002.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0,4765737500000.0
2003.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0,4771071700000.0
2004.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0,4768195000000.0
2005.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0,4721955300000.0
2006.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0,4700449000000.0
2007.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0,4679938000000.0
2008.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0,4662025500000.0
2009.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0,4616241000000.0
2010.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0,4594485000000.0
2011.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0,4580811700000.0
2012.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0,4539834000000.0
2013.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0,4514488000000.0
2014.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0,4479932400000.0
2015.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0,4477288000000.0
2016.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0,4452134000000.0
2017.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0,4398756400000.0
2018.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0,4369841400000.0
2019.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0,4327268200000.0
2020.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0,4296396200000.0
2021.0,4281093300000.0,4272449000000.0,4235822400000.0,4278109000000.0,4258361500000.0
2022.0,4237496200000.0,4242628700000.0,4179451400000.0,4257287000000.0,4220828800000.0
2023.0,4209238900000.0,4225066300000.0,4131007000000.0,4236623000000.0,4197533600000.0
2024.0,4163669900000.0,4212653000000.0,4097393800000.0,4197924200000.0,4190496600000.0
2025.0,4132140000000.0,4186790000000.0,4056521000000.0,4179507800000.0,4158650000000.0
2026.0,4106263700000.0,4163679000000.0,4006463400000.0,4160377800000.0,4105607800000.0
2027.0,4055252900000.0,4138723200000.0,3968124600000.0,4120192500000.0,4072444300000.0
2028.0,4002929700000.0,4086678700000.0,3947345700000.0,4079373500000.0,4043984900000.0
2029.0,3971870400000.0,4064792500000.0,3910171600000.0,4045824900000.0,4001979000000.0
2030.0,3958597700000.0,4028566900000.0,3883034500000.0,4034147000000.0,3938211300000.0
2031.0,3927953400000.0,4005417000000.0,3843264000000.0,3986807300000.0,3897567700000.0
2032.0,3880516000000.0,3977465000000.0,3807642400000.0,3954344700000.0,3850273800000.0
2033.0,3847675000000.0,3962701600000.0,3781970000000.0,3932665200000.0,3805690500000.0
