time,CAMS-CSM1-0,MPI-ESM1-2-HR,BCC-CSM2-MR,EC-EARTH3-VEG,FGOALS-F3-L,EC-EARTH3,ACCESS-CM2,IPSL-CM6A-LR,INM-CM4-8,NORESM2-MM,CANESM5,INM-CM5-0,CESM2,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,GFDL-ESM4
2000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0,2737644000.0
2001.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0,2764141000.0
2002.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0,2736113700.0
2003.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0,2713224700.0
2004.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0,2716989400.0
2005.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0,2703320300.0
2006.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0,2719060500.0
2007.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0,2693394700.0
2008.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0,2723574500.0
2009.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0,2704474600.0
2010.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0,2684407800.0
2011.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0,2684761900.0
2012.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0,2687034000.0
2013.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0,2699544800.0
2014.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0,2672770300.0
2015.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0,2661593300.0
2016.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0,2726433500.0
2017.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0,2658657300.0
2018.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0,2669554700.0
2019.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0,2640114700.0
2020.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0,2642841600.0
2021.0,2626590500.0,2656260000.0,2621122800.0,2626167300.0,2637219800.0,2634459000.0,2622829300.0,2636225000.0,2630326800.0,2634087400.0,2617414700.0,2634797000.0,2627166700.0,2633117700.0,2629632500.0,2648118000.0,2624464100.0
2022.0,2620777700.0,2619573500.0,2609178600.0,2625814000.0,2623340500.0,2608108500.0,2611491300.0,2649873000.0,2617838000.0,2621130500.0,2602729700.0,2620802600.0,2608201700.0,2692921600.0,2615833600.0,2620635400.0,2619754800.0
2023.0,2626291200.0,2610543000.0,2597143600.0,2604461300.0,2605806300.0,2598870800.0,2603783000.0,2679890200.0,2614874000.0,2737782800.0,2578835000.0,2614504700.0,2621439000.0,2622458600.0,2605354800.0,2609378000.0,2610598100.0
2024.0,2605939500.0,2597584100.0,2586177800.0,2592753200.0,2595985400.0,2575439400.0,2586350600.0,2648702700.0,2613247000.0,2619409400.0,2556592400.0,2601094000.0,2589324300.0,2609051400.0,2600501500.0,2614110500.0,2630989300.0
2025.0,2610868500.0,2579721200.0,2576444000.0,2570527000.0,2587817700.0,2575606300.0,2573692200.0,2618367200.0,2612178400.0,2611012000.0,2538064100.0,2585184500.0,2576183300.0,2593676800.0,2574593500.0,2596518100.0,2603887000.0
2026.0,2602565600.0,2557282300.0,2559967700.0,2560450000.0,2582144500.0,2544870400.0,2565523700.0,2601859800.0,2592091100.0,2590823200.0,2517369000.0,2577678800.0,2595751200.0,2583743200.0,2558133800.0,2583456000.0,2585608000.0
2027.0,2575058400.0,2542925800.0,2548724700.0,2543720000.0,2568812800.0,2527790800.0,2578448400.0,2585087200.0,2575125500.0,2573355300.0,2495846400.0,2552630000.0,2557801000.0,2574837800.0,2561812500.0,2568095500.0,2566328000.0
2028.0,2554605600.0,2515366700.0,2527562200.0,2520114200.0,2549084000.0,2501510000.0,2544565500.0,2575777800.0,2561428500.0,2559138800.0,2472678100.0,2528235500.0,2572089600.0,2563887900.0,2528245500.0,2544009700.0,2556132000.0
2029.0,2538965000.0,2502838500.0,2504058000.0,2492633000.0,2526417400.0,2472428300.0,2534841900.0,2559258600.0,2550336000.0,2532607500.0,2438910500.0,2507884000.0,2535008800.0,2550433300.0,2525092900.0,2521563600.0,2536560600.0
2030.0,2519412500.0,2480259300.0,2483751200.0,2471713300.0,2503204000.0,2442901500.0,2522031900.0,2550277400.0,2570250000.0,2505597000.0,2410541800.0,2480604400.0,2515405800.0,2530620200.0,2509529300.0,2511710000.0,2508589300.0
2031.0,2502321700.0,2468757000.0,2457388800.0,2438290000.0,2478900500.0,2420665900.0,2489969700.0,2526501400.0,2589984500.0,2475413800.0,2374900200.0,2467455500.0,2505806600.0,2508055800.0,2627455200.0,2509555200.0,2499232500.0
2032.0,2479606300.0,2440100600.0,2428864800.0,2426738200.0,2477943000.0,2423260200.0,2474617300.0,2502738700.0,2554680000.0,2468738000.0,2323666400.0,2452326100.0,2484800300.0,2489992700.0,2578464500.0,2489426700.0,2470849800.0
2033.0,2451458000.0,2410913000.0,2398504200.0,2404907800.0,2458357000.0,2364735000.0,2446792200.0,2487927600.0,2520331500.0,2448548000.0,2281046500.0,2426087000.0,2464379400.0,2471450600.0,2506135300.0,2465686500.0,2463538400.0
2034.0,2423005700.0,2502127900.0,2370243300.0,2373805600.0,2433368600.0,2335748400.0,2427736000.0,2461928000.0,2497207300.0,2417852700.0,2222077700.0,2411674400.0,2440729600.0,2463115000.0,2563045600.0,2438585900.0,2475861000.0
2035.0,2396389000.0,2407564300.0,2344752400.0,2320959000.0,2405816600.0,2294830600.0,2393486600.0,2434162700.0,2481424000.0,2532071200.0,2155813400.0,2386300000.0,2488671200.0,2435502600.0,2529231600.0,2402847200.0,2423155000.0
2036.0,2377090800.0,2355769600.0,2322073000.0,2284004000.0,2400641000.0,2243115800.0,2370593000.0,2400120300.0,2454164500.0,2411639600.0,2119784800.0,2363949000.0,2406168300.0,2416730600.0,2488956700.0,2390190000.0,2411698200.0
2037.0,2358651000.0,2331404500.0,2289891300.0,2342682400.0,2365369000.0,2192076500.0,2337763000.0,2368978700.0,2443275500.0,2379091700.0,2072087900.0,2340043500.0,2369692000.0,2389465600.0,2513907500.0,2353238000.0,2403649800.0
2038.0,2331072500.0,2295761400.0,2254786600.0,2309691100.0,2333080300.0,2153273600.0,2296945400.0,2349771500.0,2422626300.0,2350316000.0,2027790500.0,2315628000.0,2340296400.0,2355713000.0,2485931500.0,2327945700.0,2362721800.0
2039.0,2315931400.0,2288019700.0,2230670300.0,2227699200.0,2303684600.0,2115233900.0,2255521500.0,2324544000.0,2429516300.0,2328698400.0,1981318800.0,2285092000.0,2306790700.0,2341282800.0,2466082000.0,2304635100.0,2326151200.0
2040.0,2310182000.0,2246583300.0,2184917200.0,2255013000.0,2269804000.0,2084848800.0,2221050000.0,2288696300.0,2434441500.0,2314866000.0,1920163700.0,2266655200.0,2284562000.0,2303733000.0,2464095200.0,2276482300.0,2496887800.0
2041.0,2246870500.0,2226505200.0,2157820000.0,2177469000.0,2226751000.0,2026859500.0,2170136000.0,2227968300.0,2395261000.0,2289750300.0,1851756400.0,2246607400.0,2253990100.0,2237739800.0,2542252800.0,2234910000.0,2344335400.0
2042.0,2215428900.0,2224916700.0,2109813800.0,2137989400.0,2203704000.0,1975556200.0,2121045200.0,2190439200.0,2367186000.0,2257889000.0,1787252400.0,2222297000.0,2226470000.0,2195517000.0,2478970400.0,2202714000.0,2306888400.0
2043.0,2190915800.0,2267130000.0,2096985100.0,2079101000.0,2165101600.0,1946786000.0,2049504900.0,2163933000.0,2346605600.0,2254003500.0,1716835300.0,2187559700.0,2215630000.0,2163693300.0,2408556300.0,2161786000.0,2280458800.0
2044.0,2165802800.0,2183728400.0,2054273000.0,2062234100.0,2130699300.0,1894086700.0,2003123300.0,2143484000.0,2327316700.0,2233865700.0,1615461600.0,2135349200.0,2172807400.0,2111709400.0,2382916600.0,2137212900.0,2253332700.0
2045.0,2124711000.0,2151562000.0,2021743200.0,2021901000.0,2129613700.0,1909853300.0,1948657200.0,2112233700.0,2301446400.0,2201076200.0,1578322600.0,2103230300.0,2156824000.0,2073158300.0,2363493000.0,2113747800.0,2219881200.0
2046.0,2096541800.0,2118594800.0,1994096900.0,1965922200.0,2210474000.0,1825952100.0,1891192700.0,2071571600.0,2300513300.0,2151718100.0,1517420500.0,2067035900.0,2109066800.0,2041728000.0,2326258400.0,2061528300.0,2198093600.0
