time,IPSL-CM6A-LR,FGOALS-F3-L,MRI-ESM2-0,CESM2,MPI-ESM1-2-HR,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,BCC-CSM2-MR,INM-CM4-8,ACCESS-CM2,NORESM2-MM,INM-CM5-0,ACCESS-ESM1-5,CESM2-WACCM,GFDL-ESM4,CANESM5
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,45957560000.0,45872255000.0,46602040000.0,47247434000.0,45903426000.0,46068093000.0,46411452000.0,46394925000.0,47428790000.0,46522958000.0,47536270000.0,46950850000.0,47692310000.0,46713967000.0,46101120000.0,45506925000.0,45185440000.0
2022.0,44873503000.0,45222900000.0,45263670000.0,44794810000.0,45911770000.0,45492728000.0,46271860000.0,45358680000.0,45961150000.0,46077060000.0,46003220000.0,45354860000.0,47294180000.0,45797550000.0,45698363000.0,43864030000.0,43742798000.0
2023.0,42839245000.0,42969900000.0,44359410000.0,43880673000.0,44502150000.0,44508656000.0,45480636000.0,44487550000.0,45358977000.0,44338086000.0,45151300000.0,44976824000.0,46206190000.0,44046852000.0,44369297000.0,42094960000.0,43789545000.0
2024.0,41774772000.0,42182427000.0,42734680000.0,42532180000.0,43558236000.0,44646175000.0,45335855000.0,42072530000.0,44439610000.0,43313590000.0,43847983000.0,43568374000.0,45638595000.0,43643974000.0,44318683000.0,40968122000.0,42450040000.0
2025.0,40962458000.0,40956770000.0,42903704000.0,41856225000.0,43229757000.0,43577446000.0,44389028000.0,41888387000.0,41894416000.0,40713425000.0,41994535000.0,42792727000.0,45079798000.0,42207662000.0,43914658000.0,40227332000.0,40889676000.0
2026.0,38993070000.0,41560744000.0,40799650000.0,40995607000.0,41476100000.0,42534105000.0,41193456000.0,40898360000.0,40945127000.0,39342756000.0,41749037000.0,41776780000.0,44582023000.0,41292640000.0,43137266000.0,37868970000.0,39985140000.0
2027.0,37892825000.0,40131350000.0,39361778000.0,40026040000.0,39523700000.0,42114466000.0,38265885000.0,39211434000.0,38720176000.0,40214740000.0,40661156000.0,40848732000.0,43804762000.0,39149687000.0,41410666000.0,36519380000.0,40071450000.0
2028.0,37371707000.0,38811040000.0,38707290000.0,37661430000.0,38160520000.0,41851322000.0,37070418000.0,36951440000.0,38890656000.0,40548990000.0,38923890000.0,40750334000.0,41705755000.0,38744240000.0,40295980000.0,35827380000.0,38453363000.0
2029.0,36517204000.0,38088120000.0,38555970000.0,36306137000.0,38199620000.0,39927267000.0,36248965000.0,38021464000.0,37276054000.0,38554386000.0,36854202000.0,39825924000.0,40363290000.0,38160024000.0,39926125000.0,34889720000.0,37677916000.0
2030.0,35859866000.0,38107214000.0,37975355000.0,35950030000.0,35986186000.0,38628660000.0,33676018000.0,37841870000.0,36603822000.0,37593526000.0,36475780000.0,39090140000.0,40798070000.0,37389430000.0,39965180000.0,34644350000.0,36664263000.0
2031.0,35703020000.0,37467850000.0,36219888000.0,34668958000.0,34480013000.0,38930580000.0,31541030000.0,36481417000.0,35809264000.0,36796130000.0,35344030000.0,38433993000.0,40822723000.0,36223090000.0,38656900000.0,33649256000.0,34997674000.0
2032.0,34621750000.0,35986100000.0,35003896000.0,33718729000.0,33457324000.0,37963256000.0,30190166000.0,35382850000.0,35019936000.0,36288730000.0,35309216000.0,38302690000.0,40527806000.0,35342455000.0,38002717000.0,32886186000.0,35172800000.0
