time,NORESM2-MM,INM-CM5-0,ACCESS-CM2,CESM2-WACCM,GFDL-ESM4,CANESM5,ACCESS-ESM1-5,MPI-ESM1-2-HR,IPSL-CM6A-LR,FGOALS-F3-L,CESM2,CMCC-CM2-SR5,MRI-ESM2-0,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3-VEG,EC-EARTH3,CAMS-CSM1-0,TAIESM1
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
