time,MPI-ESM1-2-HR,FGOALS-F3-L,MRI-ESM2-0,CESM2,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,CAMS-CSM1-0,NORESM2-MM,INM-CM5-0,CESM2-WACCM,GFDL-ESM4
2000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0,60619620000.0
2001.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0,59518980000.0
2002.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0,59499454000.0
2003.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0,59593515000.0
2004.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0,59904060000.0
2005.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0,60650810000.0
2006.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0,61430410000.0
2007.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0,60907086000.0
2008.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0,60056863000.0
2009.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0,59567997000.0
2010.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0,60187394000.0
2011.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0,58277490000.0
2012.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0,57519477000.0
2013.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0,55966710000.0
2014.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0,55472150000.0
2015.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0,53971866000.0
2016.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0,52334450000.0
2017.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0,51847790000.0
2018.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0,50600063000.0
2019.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0,49024760000.0
2020.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0,47483860000.0
2021.0,45685310000.0,47687127000.0,46834033000.0,46767616000.0,46344920000.0,47292490000.0,45738426000.0,46980456000.0,46159176000.0,45913027000.0,47186160000.0,46831690000.0,47006896000.0
2022.0,45754910000.0,47050000000.0,44515164000.0,46066024000.0,44802253000.0,47969034000.0,44646810000.0,47318245000.0,43749680000.0,45343910000.0,45100368000.0,45751740000.0,45525557000.0
2023.0,44230180000.0,45783695000.0,45189330000.0,45927784000.0,44742963000.0,46739014000.0,43420475000.0,47578714000.0,43756597000.0,44286575000.0,44507107000.0,44476630000.0,44784280000.0
