time,CESM1-CAM5,CCSM4
2167.0,6602170000.0,8043987000.0
2168.0,6586396000.0,7905060400.0
2169.0,6496633300.0,7845665300.0
2170.0,6461138000.0,7830696000.0
2171.0,6379588000.0,7761980400.0
2172.0,6347777500.0,7639090700.0
2173.0,6311291000.0,7690609700.0
2174.0,6288194600.0,7637298000.0
2175.0,6353443300.0,7579386000.0
2176.0,6299917000.0,7517902300.0
2177.0,6206935000.0,7524469000.0
2178.0,6175474000.0,7419739600.0
2179.0,6119215600.0,7410917400.0
2180.0,6083473000.0,7436945000.0
2181.0,5993744400.0,7428657700.0
2182.0,5976086500.0,7414295600.0
2183.0,5992183300.0,7402048500.0
2184.0,5954880000.0,7338976000.0
2185.0,5892800000.0,7248841000.0
2186.0,5779027500.0,7190719000.0
2187.0,5686952000.0,7132134000.0
2188.0,5685582000.0,7109977600.0
2189.0,5658812400.0,7178520000.0
2190.0,5615630300.0,7176668700.0
2191.0,5597483500.0,7152270000.0
2192.0,5555007500.0,7119756300.0
2193.0,5619502600.0,7097126000.0
2194.0,5585502700.0,6975175700.0
2195.0,5507072000.0,6950687000.0
2196.0,5505841700.0,6846658600.0
2197.0,5491287600.0,6808389000.0
2198.0,5442598400.0,6780509700.0
2199.0,5376177700.0,6742314000.0
2200.0,5407392000.0,6662619600.0
2201.0,5401556000.0,6590942700.0
2202.0,5378512000.0,6547230000.0
2203.0,5384052700.0,6508344000.0
2204.0,5386534400.0,6487025000.0
2205.0,5321868000.0,6449466400.0
2206.0,5311239000.0,6447718400.0
2207.0,5266085400.0,6397226000.0
2208.0,5252299300.0,6375381500.0
2209.0,5268791000.0,6342234600.0
2210.0,5246828000.0,6333448700.0
2211.0,5244247600.0,6285129700.0
2212.0,5205487600.0,6226607000.0
2213.0,5216319000.0,6216945000.0
2214.0,5149972500.0,6158920000.0
2215.0,5097406000.0,6144369700.0
2216.0,5021131300.0,6104810000.0
2217.0,4992267300.0,6123361300.0
2218.0,4904722400.0,6088995000.0
2219.0,4852236300.0,6126028000.0
2220.0,4819924000.0,6205615600.0
2221.0,4736929300.0,6202313700.0
2222.0,4801664500.0,6163617000.0
2223.0,4759093000.0,6181471700.0
2224.0,4692120000.0,6127910400.0
2225.0,4662972000.0,6079400400.0
2226.0,4675178000.0,6023283700.0
2227.0,4641958000.0,5984552000.0
2228.0,4550706700.0,5983077400.0
2229.0,4560252000.0,5971813000.0
2230.0,4506832000.0,5882922000.0
2231.0,4430132700.0,5881111600.0
2232.0,4442366000.0,5900815000.0
2233.0,4374739000.0,5828877300.0
2234.0,4252605400.0,5864923000.0
2235.0,4237234200.0,5843275000.0
2236.0,4157645600.0,5803725000.0
2237.0,4056946400.0,5778365000.0
2238.0,3999475200.0,5697121000.0
2239.0,3961411000.0,5664929300.0
2240.0,3925433600.0,5668216000.0
2241.0,3927931100.0,5721167400.0
2242.0,3878186500.0,5761639400.0
2243.0,3848002600.0,5797154000.0
2244.0,3786815000.0,5816159700.0
2245.0,3753489000.0,5779813000.0
2246.0,3731707100.0,5770862000.0
2247.0,3721639700.0,5765802000.0
2248.0,3752933600.0,5765464000.0
2249.0,3718273500.0,5766564400.0
2250.0,3747704000.0,5772257000.0
2251.0,3706876200.0,5784300500.0
2252.0,3685553200.0,5814920000.0
2253.0,3639386000.0,5814490000.0
2254.0,3626117000.0,5778020000.0
2255.0,3630652700.0,5791046000.0
2256.0,3632540400.0,5783943000.0
2257.0,3552470800.0,5772102000.0
2258.0,3529939700.0,5768227300.0
2259.0,3507596000.0,5730365400.0
2260.0,3503037200.0,5707929000.0
2261.0,3453129700.0,5635452000.0
2262.0,3418308000.0,5638906000.0
2263.0,3381956900.0,5603849000.0
2264.0,3370069500.0,5573520400.0
2265.0,3361574100.0,5576217000.0
2266.0,3380582400.0,5595170000.0
2267.0,3354381300.0,5526804500.0
2268.0,3351194400.0,5532225500.0
2269.0,3345460000.0,5542547000.0
2270.0,3316044800.0,5452129000.0
2271.0,3289202200.0,5464678000.0
2272.0,3303544300.0,5429040600.0
2273.0,3351443500.0,5412934000.0
2274.0,3338255400.0,5386556000.0
2275.0,3349720300.0,5373761500.0
2276.0,3365058000.0,5331094000.0
2277.0,3299181600.0,5325694000.0
2278.0,3258360000.0,5354085400.0
2279.0,3183438000.0,5371997700.0
2280.0,3170749200.0,5431470000.0
2281.0,3148558000.0,5388983300.0
2282.0,3136265700.0,5384575000.0
2283.0,3117335800.0,5406923000.0
2284.0,3139006000.0,5418115600.0
2285.0,3123775200.0,5402522600.0
2286.0,3074874000.0,5393240000.0
2287.0,3076070400.0,5394087400.0
2288.0,3039744300.0,5398064000.0
2289.0,3020982500.0,5414877000.0
2290.0,3035889000.0,5413751000.0
2291.0,3025386200.0,5402791000.0
2292.0,2998670300.0,5375869000.0
2293.0,2985767400.0,5294229500.0
2294.0,2991798000.0,5277510000.0
2295.0,2966190600.0,5278686700.0
2296.0,2961755400.0,5314404000.0
2297.0,3004975600.0,5340102700.0
2298.0,2997725000.0,5278862300.0
2299.0,3006427100.0,5240845000.0
2300.0,2995033600.0,5212954600.0
