time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2121.0,6197985000.0,4379723000.0,4891738000.0
2122.0,6063416000.0,4320865000.0,4779798000.0
2123.0,5962056000.0,4217244000.0,4662366700.0
2124.0,5936771600.0,4091544600.0,4606531600.0
2125.0,5864096300.0,3984544800.0,4524259300.0
2126.0,5840117000.0,3892570000.0,4403879400.0
2127.0,5704730600.0,3806228200.0,4209774300.0
2128.0,5601929000.0,3753992400.0,4112570000.0
2129.0,5449228300.0,3636757200.0,3901285000.0
2130.0,5394812400.0,3568143400.0,3839694800.0
2131.0,5307885000.0,3517185000.0,3749932000.0
2132.0,5139012000.0,3471862000.0,3623594000.0
2133.0,5062996500.0,3420895000.0,3517192700.0
2134.0,4952249000.0,3357328600.0,3460560600.0
2135.0,4837767700.0,3296851500.0,3411559200.0
2136.0,4681265000.0,3185638100.0,3265108500.0
2137.0,4609019400.0,3133105000.0,3209618700.0
2138.0,4506579500.0,3027208700.0,3097525000.0
2139.0,4367786000.0,2925220900.0,2982308400.0
2140.0,4341643000.0,2889808100.0,2873405000.0
2141.0,4169442800.0,2814191900.0,2810903600.0
2142.0,4055809500.0,2784833000.0,2753690600.0
2143.0,3958528000.0,2708512300.0,2679269600.0
2144.0,3929420800.0,2643694000.0,2618370300.0
2145.0,3815364000.0,2571764700.0,2564098300.0
2146.0,3739210800.0,2509625900.0,2478408400.0
2147.0,3629969200.0,2409715000.0,2404075000.0
2148.0,3561495300.0,2353364500.0,2315848200.0
2149.0,3480292600.0,2277076700.0,2234128100.0
2150.0,3354741500.0,2198138000.0,2095681800.0
2151.0,3276834800.0,2128532000.0,2006597000.0
2152.0,3233716500.0,2084536600.0,1933362400.0
2153.0,3180435000.0,2021457400.0,1852043500.0
2154.0,3085459700.0,1951181300.0,1757806300.0
2155.0,3033191000.0,1886682500.0,1630031500.0
2156.0,3006570200.0,1808544900.0,1558417400.0
2157.0,2972749300.0,1789817000.0,1485163400.0
2158.0,2903128600.0,1709316500.0,1408506200.0
2159.0,2841745400.0,1655762400.0,1351575700.0
2160.0,2800767000.0,1605932800.0,1288419500.0
2161.0,2720124700.0,1578662300.0,1230493700.0
2162.0,2648082700.0,1536274000.0,1148977400.0
2163.0,2573964300.0,1486315800.0,1079332200.0
2164.0,2580909800.0,1447054000.0,1021242240.0
2165.0,2519553800.0,1425482500.0,968274370.0
2166.0,2419495000.0,1392288600.0,907985200.0
2167.0,2350028500.0,1357064400.0,844246140.0
2168.0,2294997000.0,1312495500.0,793683260.0
2169.0,2192775400.0,1271008900.0,757308600.0
2170.0,2123150100.0,1242957700.0,730704260.0
2171.0,2054893000.0,1210067300.0,680818050.0
2172.0,2012365600.0,1182636700.0,634508740.0
2173.0,1933539300.0,1151328800.0,590621000.0
2174.0,1858277800.0,1110371200.0,536573820.0
2175.0,1789395000.0,1065742900.0,512809500.0
2176.0,1738542000.0,1016218300.0,478542300.0
2177.0,1674412800.0,966364300.0,439999000.0
2178.0,1632766600.0,927193600.0,409708670.0
2179.0,1591477900.0,896698750.0,372723740.0
2180.0,1569506800.0,861463900.0,329279500.0
2181.0,1549834400.0,836813600.0,295697730.0
2182.0,1503222500.0,808759940.0,262869950.0
2183.0,1433996500.0,772798850.0,229873280.0
2184.0,1349125600.0,737185860.0,204986080.0
2185.0,1271047200.0,708115900.0,190203460.0
2186.0,1237758600.0,674487600.0,174821710.0
2187.0,1188824300.0,646615000.0,166435410.0
2188.0,1177178000.0,626610370.0,150498910.0
2189.0,1092882800.0,617567700.0,144863730.0
2190.0,1045756900.0,603699900.0,131960160.0
2191.0,969221400.0,594501300.0,123452020.0
2192.0,913496260.0,586905660.0,112376650.0
2193.0,891406600.0,564741060.0,101439980.0
2194.0,864769500.0,557850940.0,90634540.0
2195.0,838130240.0,544760200.0,78542824.0
2196.0,816127700.0,535302140.0,70266580.0
2197.0,804632060.0,527452130.0,63145216.0
2198.0,788311400.0,509742980.0,57135576.0
2199.0,773545500.0,496378180.0,53878870.0
2200.0,741638100.0,483772450.0,48993376.0
2201.0,705533630.0,472467140.0,44984130.0
2202.0,692399170.0,452887650.0,41147256.0
2203.0,679473540.0,451377280.0,40710040.0
2204.0,665221000.0,441757440.0,39950470.0
2205.0,647207550.0,430097300.0,38335490.0
2206.0,621514500.0,399852900.0,35089370.0
2207.0,624005200.0,376846880.0,33547604.0
2208.0,628083400.0,376349900.0,33093942.0
2209.0,615286460.0,369669500.0,31103254.0
2210.0,598232900.0,350162050.0,30416158.0
2211.0,593484200.0,335155940.0,29538016.0
2212.0,597004900.0,330256670.0,29104006.0
2213.0,580609700.0,326812400.0,28252532.0
2214.0,559328000.0,314688580.0,28016876.0
2215.0,548100400.0,307629500.0,27903574.0
2216.0,524008670.0,304218880.0,27599964.0
2217.0,510686880.0,305236770.0,27531864.0
2218.0,494584830.0,301472130.0,27415278.0
2219.0,479097300.0,298375420.0,27336936.0
2220.0,457274140.0,289391170.0,27228552.0
2221.0,437693020.0,279226240.0,26851616.0
2222.0,428372540.0,271583800.0,26922114.0
2223.0,414221540.0,270964320.0,26950124.0
2224.0,399340670.0,272412900.0,26904360.0
2225.0,375434080.0,263534380.0,26298768.0
2226.0,372733500.0,259821220.0,26217704.0
2227.0,363549540.0,247956180.0,26226492.0
2228.0,344757440.0,244303820.0,25690720.0
2229.0,328374140.0,237848750.0,25720860.0
2230.0,318392420.0,229618240.0,25767608.0
2231.0,315718940.0,224974850.0,25652750.0
2232.0,308293150.0,214107970.0,25404580.0
2233.0,303833100.0,206025950.0,25584916.0
2234.0,301792400.0,200159440.0,25228806.0
2235.0,292819420.0,198173740.0,25351370.0
2236.0,288673660.0,189467900.0,25403794.0
2237.0,277107230.0,182782660.0,25447728.0
2238.0,260817600.0,183988460.0,25513696.0
2239.0,247695820.0,180670830.0,25325034.0
2240.0,243001420.0,175932180.0,25318984.0
2241.0,239422980.0,172322050.0,25389764.0
2242.0,228351300.0,165148640.0,25267832.0
2243.0,224495100.0,163138500.0,24997530.0
2244.0,225319540.0,160965810.0,24879710.0
2245.0,218904290.0,160764110.0,24760388.0
2246.0,205666940.0,161531520.0,24702072.0
2247.0,207329090.0,158066260.0,24555976.0
2248.0,205779840.0,154248910.0,24681626.0
2249.0,200511000.0,152242060.0,24706036.0
2250.0,199783040.0,145289700.0,24676754.0
2251.0,198978300.0,144029660.0,24644778.0
2252.0,194144060.0,141429520.0,24628504.0
2253.0,186837710.0,138687000.0,24427916.0
2254.0,186254400.0,134212800.0,24216550.0
