time,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,GFDL-ESM4,MPI-ESM1-2-HR
2046.0,810128800.0,824040000.0,662265860.0,912270300.0,827188000.0
2047.0,789914500.0,801849900.0,640843900.0,896408800.0,841188000.0
2048.0,773329700.0,778078300.0,628379650.0,1013012300.0,817327800.0
2049.0,765193400.0,761137100.0,608451100.0,910003400.0,800824770.0
2050.0,732487600.0,734178050.0,593368700.0,893306430.0,790279300.0
2051.0,713672700.0,717254460.0,580901500.0,882675900.0,777288450.0
2052.0,717112400.0,697188900.0,564365060.0,923274500.0,772350400.0
2053.0,699118000.0,670949900.0,553452200.0,869078000.0,773870200.0
2054.0,692299460.0,646826500.0,543058300.0,868145660.0,753519200.0
2055.0,706220740.0,655385700.0,536340160.0,866160400.0,742621800.0
2056.0,651324800.0,620759400.0,526452350.0,861483460.0,727319900.0
2057.0,667044540.0,593220200.0,515350100.0,849144770.0,712515000.0
2058.0,736502400.0,583002900.0,523816480.0,845789100.0,698567740.0
2059.0,670936000.0,566240960.0,509834850.0,838361300.0,683526850.0
2060.0,630914500.0,547246800.0,493039420.0,818455400.0,662315140.0
2061.0,613089400.0,527730620.0,478301220.0,804052740.0,638578300.0
2062.0,593250240.0,517220580.0,461918140.0,796550800.0,608787260.0
2063.0,578781200.0,505306400.0,452060930.0,782202700.0,588630200.0
2064.0,560017600.0,501445300.0,437674100.0,763242430.0,597377000.0
2065.0,551469200.0,487154000.0,429649120.0,776118700.0,551196860.0
2066.0,537670850.0,473101630.0,419479940.0,747759170.0,534582180.0
2067.0,521291740.0,462866400.0,404855260.0,725921150.0,512360030.0
2068.0,569487550.0,451037250.0,390542050.0,698557100.0,542248960.0
2069.0,507088220.0,439910500.0,381133000.0,736135700.0,502259140.0
2070.0,500352030.0,432694750.0,371417440.0,686042000.0,480509760.0
2071.0,491010000.0,419879700.0,356739800.0,666764800.0,465556640.0
2072.0,474403870.0,408317340.0,339497060.0,638818300.0,453697060.0
2073.0,468465470.0,400913150.0,326674750.0,643100100.0,437617600.0
2074.0,440248580.0,389614370.0,312301020.0,668454900.0,423006180.0
2075.0,613371460.0,378633400.0,295907900.0,642617600.0,411573150.0
2076.0,435970020.0,392835070.0,276016800.0,609672300.0,398892220.0
2077.0,413179520.0,374153730.0,257103600.0,584171650.0,391066720.0
2078.0,399149500.0,363262750.0,248611380.0,571431360.0,380857500.0
2079.0,395757470.0,350833570.0,236436100.0,555284100.0,368207070.0
2080.0,380246980.0,345134100.0,225565740.0,543949300.0,367087070.0
2081.0,372776580.0,337369280.0,223502300.0,527858240.0,350718140.0
2082.0,362315140.0,324027170.0,218023440.0,515966240.0,347767040.0
2083.0,373683550.0,309985180.0,209465090.0,501862940.0,336885860.0
2084.0,355028900.0,298341570.0,199676260.0,489382050.0,335979900.0
2085.0,347811940.0,292306430.0,191338350.0,474018050.0,321789220.0
2086.0,339455330.0,281983740.0,185966800.0,469438600.0,312327200.0
2087.0,327397980.0,271349980.0,176802420.0,454603230.0,299726660.0
2088.0,320508930.0,257414910.0,168366400.0,439436830.0,285118370.0
2089.0,311984600.0,255357940.0,161767280.0,441635200.0,279317280.0
2090.0,318475970.0,247490190.0,161668320.0,424903680.0,271236380.0
2091.0,302042400.0,243627940.0,152382880.0,406150560.0,261692480.0
2092.0,296098020.0,234781810.0,148791100.0,393889660.0,251830720.0
2093.0,287015580.0,227825310.0,139630270.0,379818340.0,245868640.0
2094.0,278798400.0,219374910.0,132519730.0,373632200.0,238255180.0
2095.0,271816260.0,214542420.0,128305304.0,365996700.0,231216130.0
2096.0,273977900.0,204989660.0,119719304.0,348912700.0,389212350.0
2097.0,256669820.0,198160030.0,114820890.0,338412860.0,278923620.0
2098.0,251261420.0,188577070.0,112625656.0,325715200.0,246433060.0
2099.0,237617390.0,182982240.0,104030520.0,317159360.0,226530220.0
2100.0,228464910.0,175830600.0,96077190.0,311295680.0,214294610.0
