time,CANESM2,NORESM1-M,GFDL-CM3,CCSM4,CNRM-CM5,GFDL-ESM2G,CESM1-CAM5,MPI-ESM-LR,GISS-E2-R,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10984167000.0,10989047000.0,10982499000.0,10984050000.0,10987506000.0,10986312000.0,10980688000.0,10983647000.0,10983378000.0,10984533000.0,10991207000.0
2022.0,10978310000.0,10981482000.0,10971286000.0,10975911000.0,10974127000.0,10979200000.0,10975441000.0,10983254000.0,10982707000.0,10980805000.0,10987011000.0
2023.0,10980921000.0,10986803000.0,10965153000.0,10966822000.0,11025303000.0,10971934000.0,10965859000.0,10973454000.0,10972427000.0,10977156000.0,10977798000.0
2024.0,10967628000.0,11009833000.0,10954113000.0,10956854000.0,10960840000.0,10986236000.0,10954180000.0,10969612000.0,10964510000.0,10972135000.0,10966050000.0
2025.0,10957847000.0,10981638000.0,10940997000.0,10950173000.0,10959417000.0,10964160000.0,10937972000.0,10963011000.0,10955626000.0,10957379000.0,10962318000.0
2026.0,10950272000.0,10971887000.0,10927448000.0,10938575000.0,10952934000.0,10979164000.0,10923107000.0,10953126000.0,10946395000.0,10941974000.0,10962015000.0
2027.0,10939195000.0,10964786000.0,10911157000.0,10920949000.0,10938678000.0,10979808000.0,10907031000.0,10946290000.0,10949170000.0,10928240000.0,10944859000.0
2028.0,10941351000.0,10967668000.0,10887068000.0,10903360000.0,10951354000.0,10957441000.0,10885494000.0,10928374000.0,10921568000.0,10907476000.0,10919433000.0
2029.0,10907260000.0,10933096000.0,10875947000.0,10885434000.0,10917484000.0,10949849000.0,10854746000.0,10911498000.0,10897168000.0,10921469000.0,10935805000.0
2030.0,10872859000.0,10913340000.0,10855100000.0,10858456000.0,10902770000.0,10938538000.0,10829777000.0,10889951000.0,10877730000.0,10949031000.0,10885261000.0
2031.0,10854404000.0,10899623000.0,10828266000.0,10826427000.0,10889950000.0,10952211000.0,10801710000.0,10877671000.0,10859396000.0,10946106000.0,10867680000.0
2032.0,10837237000.0,10881816000.0,10807779000.0,10803015000.0,10874094000.0,10918383000.0,10774618000.0,10857886000.0,10845273000.0,11074162000.0,10852883000.0
2033.0,10812924000.0,10868010000.0,10771516000.0,10768164000.0,10859847000.0,10894654000.0,10745750000.0,10843096000.0,10815639000.0,10939182000.0,10821691000.0
2034.0,10787005000.0,10853652000.0,10743786000.0,10742717000.0,10845517000.0,10886047000.0,10706053000.0,10824661000.0,10809752000.0,10887996000.0,10798081000.0
2035.0,10766960000.0,10876429000.0,10715700000.0,10747940000.0,10817340000.0,10873120000.0,10667713000.0,10795861000.0,10771718000.0,10856766000.0,10771326000.0
2036.0,10732094000.0,10836825000.0,10662621000.0,10694307000.0,10805447000.0,10846128000.0,10645133000.0,10775664000.0,10735399000.0,10856982000.0,10748713000.0
2037.0,10706258000.0,10806323000.0,10622458000.0,10653345000.0,10861143000.0,10839931000.0,10598428000.0,10757892000.0,10713758000.0,10871552000.0,10741267000.0
2038.0,10673101000.0,10771232000.0,10572111000.0,10612401000.0,10786945000.0,10884210000.0,10556828000.0,10719857000.0,10687421000.0,10848210000.0,10672339000.0
2039.0,10642475000.0,10749605000.0,10526553000.0,10578990000.0,10765115000.0,10823730000.0,10512752000.0,10686130000.0,10655816000.0,10835840000.0,10628326000.0
2040.0,10594910000.0,10726812000.0,10481374000.0,10531440000.0,10733430000.0,10797962000.0,10465799000.0,10656202000.0,10621559000.0,10866963000.0,10570614000.0
2041.0,10591910000.0,10701284000.0,10432525000.0,10485054000.0,10706444000.0,10773614000.0,10424388000.0,10629469000.0,10577543000.0,10843166000.0,10541965000.0
2042.0,10547378000.0,10673176000.0,10370873000.0,10451894000.0,10662562000.0,10754799000.0,10377254000.0,10600408000.0,10556194000.0,10818656000.0,10506877000.0
2043.0,10517374000.0,10639707000.0,10326528000.0,10408395000.0,10632892000.0,10728998000.0,10330622000.0,10558057000.0,10534199000.0,10783896000.0,10473409000.0
2044.0,10485011000.0,10616003000.0,10281113000.0,10365937000.0,10644985000.0,10706904000.0,10304370000.0,10528595000.0,10507528000.0,10761823000.0,10439337000.0
2045.0,10443210000.0,10586738000.0,10221550000.0,10298431000.0,10583258000.0,10685903000.0,10263360000.0,10509022000.0,10464332000.0,10749329000.0,10391028000.0
2046.0,10421495000.0,10601287000.0,10146732000.0,10258822000.0,10562099000.0,10671461000.0,10209430000.0,10491154000.0,10433894000.0,10725075000.0,10340849000.0
2047.0,10370311000.0,10579005000.0,10071082000.0,10187677000.0,10545915000.0,10641781000.0,10169644000.0,10445864000.0,10402342000.0,10718453000.0,10277402000.0
2048.0,10281788000.0,10542607000.0,10010718000.0,10121889000.0,10603411000.0,10629804000.0,10110552000.0,10417004000.0,10338800000.0,10727119000.0,10224920000.0
2049.0,10260046000.0,10521692000.0,9961187000.0,10054175000.0,10501251000.0,10607133000.0,10045262000.0,10363521000.0,10287115000.0,10733614000.0,10176784000.0
2050.0,10234259000.0,10493971000.0,9873378000.0,10021054000.0,10473855000.0,10595730000.0,9985351000.0,10309188000.0,10252169000.0,10677537000.0,10108349000.0
2051.0,10202615000.0,10448896000.0,9789952000.0,9953723000.0,10465366000.0,10564530000.0,9946556000.0,10278963000.0,10200972000.0,10749309000.0,10038392000.0
2052.0,10151042000.0,10434308000.0,9693961000.0,9883830000.0,10436283000.0,10536300000.0,9866112000.0,10212325000.0,10140974000.0,10720024000.0,9969025000.0
2053.0,10086997000.0,10363059000.0,9633413000.0,9818982000.0,10406035000.0,10518554000.0,9790904000.0,10175530000.0,10208532000.0,10678494000.0,9897296000.0
2054.0,10029272000.0,10343955000.0,9504329000.0,9743459000.0,10382998000.0,10493833000.0,9746867000.0,10132235000.0,10086390000.0,10703392000.0,9853145000.0
2055.0,9940566000.0,10319500000.0,9403089000.0,9676891000.0,10349910000.0,10481818000.0,9690418000.0,10069734000.0,10040613000.0,10656721000.0,9765017000.0
2056.0,9861585000.0,10262842000.0,9296665000.0,9592844000.0,10305733000.0,10451929000.0,9608796000.0,10018616000.0,9991943000.0,10720786000.0,9693319000.0
2057.0,9804066000.0,10198619000.0,9248427000.0,9520583000.0,10256730000.0,10464804000.0,9532207000.0,9949479000.0,9927801000.0,10665106000.0,9614270000.0
2058.0,9759431000.0,10168831000.0,9184623000.0,9453657000.0,10240858000.0,10424788000.0,9431529000.0,9915123000.0,9870221000.0,10694450000.0,9541535000.0
2059.0,9650910000.0,10112297000.0,9119547000.0,9393028000.0,10199040000.0,10399497000.0,9358982000.0,9881638000.0,9930967000.0,10687843000.0,9454089000.0
