time,GFDL-CM3,CCSM4,NORESM1-M,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10981719000.0,10986766000.0,10986861000.0,10984422000.0,10990802000.0,10997223000.0,10987766000.0,10983314000.0,10987148000.0,10991317000.0
2022.0,10966732000.0,10980248000.0,10978646000.0,10979181000.0,11026270000.0,10978834000.0,10977909000.0,10979398000.0,10975730000.0,10986158000.0
2023.0,10951597000.0,10972597000.0,10968745000.0,11020004000.0,11013784000.0,10966214000.0,10972700000.0,10977422000.0,10965316000.0,10971283000.0
2024.0,10938563000.0,10955909000.0,10964402000.0,10976183000.0,11063211000.0,10957641000.0,10965682000.0,10961079000.0,10962081000.0,10963720000.0
2025.0,10923480000.0,10966320000.0,10957103000.0,10970454000.0,10990429000.0,10943386000.0,10953172000.0,10952161000.0,10961567000.0,11016336000.0
2026.0,10904350000.0,10938570000.0,10948568000.0,10955380000.0,11014154000.0,10928182000.0,10940306000.0,10935136000.0,10956618000.0,10987789000.0
2027.0,10881162000.0,10935102000.0,10939035000.0,10942634000.0,10992051000.0,10911806000.0,10929046000.0,10923363000.0,10946947000.0,10950936000.0
2028.0,10858348000.0,10972893000.0,10919745000.0,10913489000.0,10993981000.0,10889956000.0,10908130000.0,10898914000.0,10923064000.0,10944379000.0
2029.0,10819920000.0,10952108000.0,10915583000.0,10902365000.0,11037271000.0,10860737000.0,10893585000.0,10884969000.0,10914845000.0,10923891000.0
2030.0,10796448000.0,10899895000.0,10892994000.0,10881651000.0,11022659000.0,10839116000.0,10867384000.0,10867609000.0,10888609000.0,10903145000.0
2031.0,10772460000.0,10886991000.0,10882034000.0,10853703000.0,10978022000.0,10803939000.0,10840799000.0,10843969000.0,10868150000.0,10884329000.0
2032.0,10737000000.0,10869626000.0,10866999000.0,10833538000.0,10960785000.0,10776825000.0,10827089000.0,10828825000.0,10856934000.0,10871623000.0
2033.0,10707629000.0,10862831000.0,10854332000.0,10805977000.0,10937031000.0,10753401000.0,10793732000.0,10804923000.0,10844134000.0,10860927000.0
2034.0,10665801000.0,10832226000.0,10883434000.0,10786824000.0,10929183000.0,10706628000.0,10765810000.0,10780246000.0,10823243000.0,10837172000.0
2035.0,10621175000.0,10805570000.0,10812544000.0,10764567000.0,10925255000.0,10666670000.0,10737418000.0,10760339000.0,10817887000.0,10848682000.0
2036.0,10572891000.0,10785134000.0,10796876000.0,10743256000.0,10909956000.0,10599067000.0,10700187000.0,10726814000.0,10790782000.0,10820186000.0
2037.0,10525866000.0,10745098000.0,10776356000.0,10699066000.0,10903218000.0,10555766000.0,10657767000.0,10711625000.0,10765903000.0,10812825000.0
2038.0,10486675000.0,10714708000.0,10731020000.0,10667407000.0,10915187000.0,10496225000.0,10615703000.0,10677146000.0,10743360000.0,10778110000.0
2039.0,10439143000.0,10690589000.0,10715083000.0,10622737000.0,10877045000.0,10426649000.0,10561823000.0,10647096000.0,10702752000.0,10749917000.0
2040.0,10382672000.0,10642732000.0,10659810000.0,10566186000.0,10854511000.0,10345209000.0,10519954000.0,10616291000.0,10690423000.0,10711122000.0
2041.0,10330895000.0,10611426000.0,10616339000.0,10544087000.0,10859676000.0,10299131000.0,10476287000.0,10568781000.0,10648243000.0,10681147000.0
2042.0,10292884000.0,10579453000.0,10579925000.0,10512228000.0,10839405000.0,10213823000.0,10419431000.0,10531322000.0,10621719000.0,10647404000.0
2043.0,10236503000.0,10554702000.0,10545974000.0,10485082000.0,10823559000.0,10145985000.0,10370287000.0,10509681000.0,10606411000.0,10645787000.0
2044.0,10180853000.0,10526062000.0,10512941000.0,10439323000.0,10831127000.0,10044943000.0,10302017000.0,10467928000.0,10582624000.0,10624893000.0
2045.0,10117920000.0,10506468000.0,10471476000.0,10404954000.0,10777591000.0,9934870000.0,10239040000.0,10434803000.0,10570964000.0,10610014000.0
2046.0,10050962000.0,10477316000.0,10437730000.0,10328430000.0,10756993000.0,9789820000.0,10149788000.0,10392273000.0,10541337000.0,10594303000.0
2047.0,9970591000.0,10428770000.0,10391595000.0,10254167000.0,10737912000.0,9706200000.0,10079092000.0,10338703000.0,10528900000.0,10578478000.0
2048.0,9894096000.0,10385167000.0,10337019000.0,10203613000.0,10724015000.0,9588045000.0,9997310000.0,10290943000.0,10505288000.0,10565513000.0
2049.0,9801988000.0,10322485000.0,10265339000.0,10126391000.0,10758870000.0,9470919000.0,9905263000.0,10251805000.0,10475422000.0,10554013000.0
2050.0,9718442000.0,10259407000.0,10218021000.0,10025398000.0,10754404000.0,9327343000.0,9821165000.0,10213205000.0,10453400000.0,10496004000.0
2051.0,9653373000.0,10219690000.0,10138471000.0,9983622000.0,10717482000.0,9179946000.0,9750277000.0,10165655000.0,10396482000.0,10452788000.0
2052.0,9573748000.0,10141034000.0,10062817000.0,9908251000.0,10705502000.0,9022832000.0,9651079000.0,10108804000.0,10364326000.0,10424046000.0
2053.0,9444995000.0,10068376000.0,9976345000.0,9846836000.0,10685238000.0,8927414000.0,9546697000.0,10054701000.0,10346119000.0,10391022000.0
2054.0,9356572000.0,10016916000.0,9909159000.0,9763992000.0,10665308000.0,8804239000.0,9449128000.0,9997013000.0,10301114000.0,10345916000.0
2055.0,9250641000.0,9961468000.0,9839305000.0,9686025000.0,10695302000.0,8683179000.0,9366694000.0,9948797000.0,10252861000.0,10307117000.0
2056.0,9149448000.0,9876348000.0,9743568000.0,9569600000.0,10654654000.0,8599671000.0,9265535000.0,9894591000.0,10209478000.0,10264127000.0
2057.0,9031568000.0,9793200000.0,9700291000.0,9445016000.0,10690929000.0,8505150500.0,9162895000.0,9841509000.0,10188562000.0,10210278000.0
2058.0,8957182000.0,9732017000.0,9622751000.0,9366450000.0,10637092000.0,8417456000.0,9129547000.0,9761571000.0,10146460000.0,10155801000.0
2059.0,8835988000.0,9645152000.0,9528192000.0,9320589000.0,10665869000.0,8287832000.0,9065241000.0,9702034000.0,10103883000.0,10101894000.0
2060.0,8760604000.0,9563740000.0,9469033000.0,9221806000.0,10687911000.0,8186903000.0,8959610000.0,9659791000.0,10069189000.0,10025570000.0
2061.0,8688780000.0,9477999000.0,9371463000.0,9123985000.0,10641793000.0,8049061400.0,8930369000.0,9582132000.0,10025309000.0,9991629000.0
2062.0,8580319000.0,9415030000.0,9349927000.0,9063026000.0,10618970000.0,7936230000.0,8884516000.0,9500023000.0,9992953000.0,9911586000.0
2063.0,8508867600.0,9330022000.0,9235514000.0,8987821000.0,10592968000.0,7795398700.0,8810624000.0,9403744000.0,9953952000.0,9831863000.0
2064.0,8403006500.0,9251303000.0,9169905000.0,8926355000.0,10579184000.0,7696843300.0,8780518000.0,9344536000.0,9907319000.0,9778802000.0
2065.0,8345664500.0,9205147000.0,9119194000.0,8814455000.0,10573851000.0,7571136500.0,8704693000.0,9262909000.0,9857001000.0,9708594000.0
2066.0,8261725700.0,9146761000.0,9050095000.0,8735062000.0,10569215000.0,7484291000.0,8657156000.0,9202938000.0,9806696000.0,9609939000.0
2067.0,8160816000.0,9064458000.0,8992275000.0,8683365000.0,10541694000.0,7380262400.0,8618139000.0,9144859000.0,9746551000.0,9553049000.0
2068.0,8068701000.0,8978545000.0,8913309000.0,8634788000.0,10538573000.0,7260482000.0,8564642300.0,9054119000.0,9675959000.0,9481991000.0
2069.0,7964749300.0,8922173000.0,8853493000.0,8570870000.0,10516693000.0,7106649600.0,8510359000.0,9000504000.0,9645706000.0,9431173000.0
2070.0,7862444000.0,8859193000.0,8771546000.0,8490036700.0,10478739000.0,6978529300.0,8514904000.0,8941302000.0,9581977000.0,9358958000.0
2071.0,7765657600.0,8761165000.0,8707079000.0,8393240000.0,10434516000.0,6825863700.0,8487657000.0,8863586000.0,9537350000.0,9295959000.0
2072.0,7668365300.0,8669256000.0,8642115000.0,8326371300.0,10412448000.0,6760902700.0,8386730500.0,8812831000.0,9472101000.0,9319214000.0
