time,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5,GISS-E2-R,MPI-ESM-LR
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10980827000.0,10987645000.0,10987066000.0,10994173000.0,10984761000.0,10986306000.0,11023092000.0,10987446000.0,10984204000.0,10987504000.0
2022.0,10971051000.0,10971618000.0,10975458000.0,10984048000.0,10976146000.0,10976803000.0,10983539000.0,10975275000.0,10976693000.0,10972599000.0
2023.0,10962969000.0,10965671000.0,10966189000.0,10974365000.0,10973686000.0,10968388000.0,10993071000.0,10964796000.0,10972502000.0,10969250000.0
2024.0,10958510000.0,10951779000.0,10958087000.0,10985174000.0,10959097000.0,10960060000.0,10964906000.0,10956802000.0,10989721000.0,10959828000.0
2025.0,10947209000.0,10934824000.0,10957548000.0,10970160000.0,10951395000.0,10955806000.0,10957311000.0,10946114000.0,10980294000.0,10953830000.0
2026.0,10935288000.0,10921818000.0,10962211000.0,10964782000.0,10940465000.0,10952304000.0,10946778000.0,10941570000.0,10976535000.0,10946652000.0
2027.0,10928585000.0,10896646000.0,10929627000.0,10956445000.0,10925963000.0,10975276000.0,10930744000.0,10956185000.0,10958258000.0,10933139000.0
2028.0,10906461000.0,10876467000.0,10908995000.0,10939429000.0,10910454000.0,10942431000.0,10962082000.0,10915655000.0,10937770000.0,10916301000.0
2029.0,10896717000.0,10846396000.0,10883114000.0,10932880000.0,10878921000.0,10956109000.0,10917757000.0,10896565000.0,10920599000.0,10897030000.0
2030.0,10869605000.0,10818433000.0,10872078000.0,10902445000.0,10851971000.0,10962145000.0,10890704000.0,10884554000.0,10902074000.0,10873560000.0
2031.0,10848856000.0,10778059000.0,10851012000.0,10889685000.0,10824496000.0,10957507000.0,10867956000.0,10862805000.0,10879908000.0,10950125000.0
2032.0,10821983000.0,10745637000.0,10820428000.0,10868601000.0,10790825000.0,10923406000.0,10855179000.0,10842891000.0,10868916000.0,10850693000.0
2033.0,10804109000.0,10698894000.0,10795126000.0,10851577000.0,10751845000.0,10896025000.0,10832490000.0,10827402000.0,10845497000.0,10830227000.0
2034.0,10783098000.0,10673793000.0,10766331000.0,10823944000.0,10728838000.0,10890046000.0,10827749000.0,10819724000.0,10827248000.0,10806220000.0
2035.0,10755355000.0,10617413000.0,10738490000.0,10801789000.0,10680893000.0,10859481000.0,10811531000.0,10782685000.0,10826594000.0,10790873000.0
2036.0,10715558000.0,10573765000.0,10692802000.0,10786476000.0,10646466000.0,10846125000.0,10784593000.0,10771758000.0,10780466000.0,10769794000.0
2037.0,10689227000.0,10528468000.0,10654620000.0,10748165000.0,10598062000.0,10836634000.0,10768869000.0,10774476000.0,10741651000.0,10744462000.0
2038.0,10648568000.0,10473584000.0,10614443000.0,10715423000.0,10540346000.0,10826804000.0,10761188000.0,10727176000.0,10711008000.0,10705457000.0
2039.0,10608501000.0,10426428000.0,10562186000.0,10669783000.0,10496744000.0,10805847000.0,10727020000.0,10692068000.0,10666235000.0,10676770000.0
2040.0,10565052000.0,10375723000.0,10525153000.0,10630338000.0,10446479000.0,10782092000.0,10684067000.0,10659529000.0,10624758000.0,10649278000.0
2041.0,10531256000.0,10332442000.0,10493126000.0,10576211000.0,10396977000.0,10771886000.0,10680708000.0,10604248000.0,10577783000.0,10608392000.0
2042.0,10496183000.0,10284242000.0,10465181000.0,10549802000.0,10342808000.0,10740184000.0,10629195000.0,10572939000.0,10559327000.0,10555162000.0
2043.0,10452857000.0,10218457000.0,10428686000.0,10511427000.0,10262519000.0,10731810000.0,10603724000.0,10559618000.0,10534991000.0,10529069000.0
2044.0,10409634000.0,10138751000.0,10407793000.0,10474818000.0,10187615000.0,10689192000.0,10576039000.0,10535887000.0,10531629000.0,10512214000.0
2045.0,10369233000.0,10098419000.0,10360589000.0,10433731000.0,10109339000.0,10665649000.0,10558857000.0,10496285000.0,10478510000.0,10481681000.0
2046.0,10328292000.0,10031127000.0,10329190000.0,10380958000.0,10006538000.0,10645364000.0,10529789000.0,10457784000.0,10434656000.0,10430518000.0
2047.0,10267506000.0,9967998000.0,10245403000.0,10346022000.0,9906331000.0,10639223000.0,10509881000.0,10439120000.0,10384703000.0,10386558000.0
2048.0,10221135000.0,9907620000.0,10207703000.0,10297387000.0,9836836000.0,10623947000.0,10479373000.0,10398236000.0,10322418000.0,10350802000.0
2049.0,10155993000.0,9846448000.0,10126867000.0,10229883000.0,9747308000.0,10594365000.0,10444650000.0,10350224000.0,10276784000.0,10309226000.0
2050.0,10114431000.0,9799302000.0,10059630000.0,10183790000.0,9636651000.0,10681796000.0,10411329000.0,10308308000.0,10240564000.0,10253753000.0
2051.0,10039125000.0,9753037000.0,9973277000.0,10138470000.0,9544095000.0,10698211000.0,10372359000.0,10242180000.0,10167745000.0,10202493000.0
2052.0,9934834000.0,9662927000.0,9884508000.0,10067017000.0,9431038000.0,10613642000.0,10311979000.0,10203780000.0,10110933000.0,10136545000.0
2053.0,9870682000.0,9602775000.0,9780844000.0,9993112000.0,9353330000.0,10586322000.0,10295989000.0,10198807000.0,10069623000.0,10091673000.0
2054.0,9785230000.0,9506541000.0,9680001000.0,9946284000.0,9249104000.0,10629941000.0,10230128000.0,10189970000.0,10001480000.0,10018477000.0
2055.0,9699155000.0,9392367000.0,9599373000.0,9897605000.0,9162387000.0,10595498000.0,10186737000.0,10102498000.0,9951992000.0,9977692000.0
2056.0,9635850000.0,9308835000.0,9536624000.0,9820047000.0,9042059000.0,10570693000.0,10137087000.0,10059309000.0,9904947000.0,9902716000.0
2057.0,9549915000.0,9207523000.0,9421784000.0,9769180000.0,8965757000.0,10523520000.0,10084143000.0,9996867000.0,9874380000.0,9869466000.0
2058.0,9453882000.0,9147946000.0,9317390000.0,9700711000.0,8879327000.0,10493753000.0,10036243000.0,9953570000.0,9798329000.0,9807258000.0
2059.0,9388324000.0,9090971000.0,9264700000.0,9632833000.0,8786610000.0,10462765000.0,9985162000.0,9891476000.0,9755266000.0,9715656000.0
2060.0,9303763000.0,9006210000.0,9144395000.0,9578584000.0,8733563000.0,10440140000.0,9936573000.0,9841211000.0,9717763000.0,9675077000.0
2061.0,9208199000.0,8944676000.0,9100434000.0,9507040000.0,8650975000.0,10406144000.0,9910018000.0,9802368000.0,9656792000.0,9610469000.0
2062.0,9167180000.0,8880697000.0,9014027000.0,9416717000.0,8554919400.0,10428517000.0,9896657000.0,9745862000.0,9583427000.0,9536422000.0
2063.0,9106904000.0,8822054000.0,8948685000.0,9381025000.0,8490134000.0,10384141000.0,9803756000.0,9665802000.0,9528782000.0,9494621000.0
2064.0,9033026000.0,8738079000.0,8872087000.0,9309737000.0,8389647400.0,10419542000.0,9748357000.0,9621106000.0,9443901000.0,9393882000.0
2065.0,8976247000.0,8670369000.0,8816012000.0,9251209000.0,8312229000.0,10338765000.0,9670799000.0,9591059000.0,9417776000.0,9350729000.0
2066.0,8914858000.0,8590995000.0,8726125000.0,9176772000.0,8160970000.0,10317771000.0,9630945000.0,9543306000.0,9366527000.0,9339020000.0
2067.0,8854588000.0,8535141400.0,8655652000.0,9120129000.0,8035009000.0,10293532000.0,9573182000.0,9504200000.0,9320941000.0,9252697000.0
2068.0,8800718000.0,8447749000.0,8608056000.0,9073090000.0,7968129000.0,10260979000.0,9548470000.0,9439000000.0,9278324000.0,9187933000.0
2069.0,8736882000.0,8414199000.0,8552324000.0,9047680000.0,7865491000.0,10226765000.0,9475649000.0,9403527000.0,9255960000.0,9115914000.0
2070.0,8665918000.0,8320266000.0,8473922000.0,8951580000.0,7780269000.0,10218737000.0,9445316000.0,9362162000.0,9220038000.0,9031267000.0
2071.0,8604442000.0,8214666000.0,8414909400.0,8919749000.0,7699921000.0,10276227000.0,9450282000.0,9301121000.0,9166250000.0,8988216000.0
2072.0,8543352000.0,8132887600.0,8345387500.0,8868722000.0,7622341600.0,10365082000.0,9411219000.0,9262215000.0,9119659000.0,8926665000.0
