time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0,11080543000.0
2001.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0,11072281000.0
2002.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0,11069033000.0
2003.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0,11080042000.0
2004.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0,11064486000.0
2005.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0,11057303000.0
2006.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0,11055277000.0
2007.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0,11053214000.0
2008.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0,11054676000.0
2009.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0,11042057000.0
2010.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0,11045165000.0
2011.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0,11029550000.0
2012.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0,11072684000.0
2013.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0,11056869000.0
2014.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0,11048369000.0
2015.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0,11029003000.0
2016.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0,11035350000.0
2017.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0,11012794000.0
2018.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0,11002703000.0
2019.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0,11014591000.0
2020.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0,10994409000.0
2021.0,10985518000.0,10981853000.0,10985368000.0,10984199000.0,10979978000.0,11184070000.0,10988080000.0,10984192000.0
2022.0,10974960000.0,10972001000.0,10977359000.0,10969865000.0,10972146000.0,11101515000.0,10977534000.0,10976863000.0
2023.0,10982484000.0,10965049000.0,11045851000.0,10961012000.0,10965254000.0,11084112000.0,10971756000.0,10971237000.0
2024.0,10972494000.0,10957968000.0,11004970000.0,10949984000.0,10955611000.0,11056709000.0,10970685000.0,10964339000.0
2025.0,10956378000.0,10944746000.0,10980953000.0,10936251000.0,10948531000.0,11052240000.0,10955957000.0,10960545000.0
2026.0,10946601000.0,10934850000.0,10962015000.0,10924473000.0,10933614000.0,11049610000.0,10944398000.0,10951121000.0
2027.0,10933511000.0,10926475000.0,10955457000.0,10898858000.0,10923711000.0,11036908000.0,10935408000.0,10939716000.0
2028.0,10918209000.0,10905230000.0,10940797000.0,10877748000.0,10901521000.0,11034765000.0,10914644000.0,10931668000.0
2029.0,10903326000.0,10884447000.0,10931039000.0,10843007000.0,10867764000.0,11142765000.0,10907246000.0,10915611000.0
2030.0,10871433000.0,10861952000.0,10907716000.0,10811343000.0,10851029000.0,11145059000.0,10880388000.0,10903457000.0
2031.0,10854809000.0,10828823000.0,10902320000.0,10785976000.0,10819547000.0,11095929000.0,10853066000.0,10881670000.0
