time,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,CANESM5
2189.0,33450396000.0,64480510000.0,34125484000.0,35623670000.0
2190.0,34281175000.0,64158646000.0,33233070000.0,36204070000.0
2191.0,33982276000.0,63936307000.0,34065740000.0,35510456000.0
2192.0,34071632000.0,65850016000.0,36812132000.0,35457597000.0
2193.0,34539770000.0,64112046000.0,39221240000.0,36337200000.0
2194.0,33528410000.0,63349690000.0,36382413000.0,36585170000.0
2195.0,35082252000.0,65179607000.0,33209199000.0,36321276000.0
2196.0,33645687000.0,68777740000.0,39019635000.0,36046803000.0
2197.0,33440710000.0,66315956000.0,49231987000.0,37371540000.0
2198.0,35039998000.0,64492716000.0,43803280000.0,36414300000.0
2199.0,33664008000.0,63900307000.0,40424067000.0,36026372000.0
2200.0,33445313000.0,63710937000.0,39783850000.0,35613626000.0
2201.0,33321440000.0,64547870000.0,38743855000.0,35507667000.0
2202.0,33439078000.0,65072275000.0,36121793000.0,35490423000.0
2203.0,33230254000.0,64004293000.0,34873980000.0,35800674000.0
2204.0,33754180000.0,63977430000.0,36032260000.0,38782990000.0
2205.0,33232185000.0,64095890000.0,34238228000.0,35821797000.0
2206.0,33528195000.0,64320640000.0,36143526000.0,36020933000.0
2207.0,33234700000.0,65115460000.0,34114240000.0,35697490000.0
2208.0,33285753000.0,64336634000.0,41052602000.0,36710613000.0
2209.0,33136134000.0,65073824000.0,35183280000.0,35759880000.0
2210.0,33194197000.0,64602700000.0,34397565000.0,35775504000.0
2211.0,33108100000.0,65764815000.0,34388020000.0,36984080000.0
2212.0,33011993000.0,66641752000.0,38375236000.0,38328373000.0
2213.0,34079257000.0,65493512000.0,34521117000.0,36086837000.0
2214.0,33068794000.0,66968880000.0,34433663000.0,36252606000.0
2215.0,32919865000.0,65289503000.0,36011550000.0,37034123000.0
2216.0,34495580000.0,65626636000.0,35084110000.0,36408074000.0
2217.0,33443518000.0,67094240000.0,40781603000.0,36021800000.0
2218.0,32926743000.0,65313505000.0,37966500000.0,36009742000.0
2219.0,32943272000.0,65255960000.0,37743490000.0,35837284000.0
2220.0,32806683000.0,65117348000.0,36587696000.0,36861997000.0
2221.0,32805340000.0,65614980000.0,40416182000.0,36187517000.0
2222.0,32705989000.0,68216996000.0,36703904000.0,36242944000.0
2223.0,32731542000.0,66245243000.0,35601860000.0,35898876000.0
2224.0,32749455000.0,65604160000.0,41386914000.0,36356170000.0
2225.0,33342583000.0,71133960000.0,39029700000.0,37020893000.0
2226.0,33502837000.0,69377630000.0,36068884000.0,36205160000.0
2227.0,32575246000.0,66349744000.0,36520784000.0,36122583000.0
2228.0,32514517000.0,66658914000.0,37383910000.0,36164690000.0
2229.0,32468412000.0,66133287000.0,37416330000.0,37936300000.0
2230.0,32339382000.0,66484040000.0,41659265000.0,37178094000.0
2231.0,33803164000.0,67332256000.0,40004125000.0,36158550000.0
2232.0,32390270000.0,66275930000.0,37095620000.0,36054196000.0
2233.0,32244582000.0,66134135000.0,35820134000.0,35972727000.0
2234.0,32815321000.0,67049950000.0,37889420000.0,38590890000.0
2235.0,32798470000.0,67397288000.0,36149600000.0,37350690000.0
2236.0,33080082000.0,67177193000.0,35859124000.0,36528513000.0
2237.0,32301148000.0,67811580000.0,36274770000.0,36517573000.0
2238.0,32087517000.0,69194330000.0,35672453000.0,37283260000.0
2239.0,32028377000.0,67367617000.0,35859284000.0,40535940000.0
2240.0,31908039000.0,67381000000.0,35944380000.0,38673043000.0
2241.0,32874600000.0,66696004000.0,38439547000.0,38461755000.0
2242.0,32617157000.0,66840910000.0,35913957000.0,36849435000.0
2243.0,32029065000.0,67922130000.0,37481320000.0,36669428000.0
2244.0,31819660000.0,67525366000.0,38215328000.0,36423530000.0
2245.0,31701834000.0,67966180000.0,42963180000.0,36610343000.0
2246.0,31584854000.0,68876616000.0,44202803000.0,36535490000.0
2247.0,31452500000.0,69795865000.0,39356363000.0,36336595000.0
2248.0,31370680000.0,68208808000.0,35913556000.0,36548150000.0
2249.0,31329262000.0,68590060000.0,36250330000.0,36535280000.0
2250.0,31539747000.0,67729617000.0,35575214000.0,40714162000.0
2251.0,32117832000.0,67500740000.0,38165960000.0,38064288000.0
2252.0,31192100000.0,69905900000.0,38660727000.0,37034414000.0
2253.0,31311038000.0,68550394000.0,37159610000.0,36819055000.0
2254.0,31023618000.0,68081185000.0,37462230000.0,36701580000.0
2255.0,30924660000.0,67758240000.0,44577395000.0,36527570000.0
2256.0,30819682000.0,67551920000.0,40046240000.0,36733104000.0
2257.0,30738536000.0,68865460000.0,38048195000.0,37404270000.0
2258.0,30634684000.0,68391227000.0,41334243000.0,37068284000.0
2259.0,30553037000.0,68096450000.0,36503070000.0,37897548000.0
2260.0,30440520000.0,68053606000.0,35903820000.0,37097775000.0
2261.0,30595922000.0,67948425000.0,37918410000.0,36971120000.0
2262.0,30549336000.0,68328985000.0,36727270000.0,37100257000.0
2263.0,30579829000.0,68110553000.0,35838900000.0,40724558000.0
2264.0,30145923000.0,67929860000.0,35958310000.0,38345960000.0
2265.0,30293955000.0,67847504000.0,36980710000.0,37600256000.0
2266.0,30416005000.0,67739173000.0,37033950000.0,37365340000.0
2267.0,30306680000.0,67726220000.0,35978437000.0,44983300000.0
2268.0,29932206000.0,67568325000.0,35989740000.0,40538210000.0
2269.0,29769476000.0,67610317000.0,36169277000.0,39769500000.0
2270.0,29748105000.0,67713290000.0,35353874000.0,38216655000.0
2271.0,29598230000.0,67543794000.0,35426350000.0,38768440000.0
2272.0,29809052000.0,68394560000.0,39347294000.0,38153937000.0
2273.0,29491182000.0,68861470000.0,35787730000.0,38323425000.0
2274.0,29433270000.0,71876985000.0,36254114000.0,38009310000.0
2275.0,29907186000.0,70893860000.0,37151375000.0,38078790000.0
2276.0,29529221000.0,68962090000.0,35206455000.0,37982847000.0
2277.0,29305491000.0,68482154000.0,35600994000.0,38815797000.0
2278.0,29202602000.0,68119273000.0,36460540000.0,38740152000.0
2279.0,29363590000.0,68123116000.0,35643187000.0,38281210000.0
2280.0,29573173000.0,68166816000.0,35076657000.0,38089912000.0
2281.0,29048437000.0,67668130000.0,36161217000.0,38478942000.0
2282.0,29006412000.0,67577510000.0,35199582000.0,38209524000.0
2283.0,28870797000.0,68961460000.0,35060224000.0,38894730000.0
2284.0,28897874000.0,69178730000.0,35061453000.0,40820167000.0
2285.0,28682195000.0,68518190000.0,35150107000.0,38646956000.0
2286.0,28844458000.0,67959140000.0,35326157000.0,38307496000.0
2287.0,28759340000.0,68237074000.0,35178690000.0,38122942000.0
2288.0,28829086000.0,67813050000.0,38898323000.0,39313240000.0
2289.0,28451523000.0,68134780000.0,36018717000.0,39213060000.0
2290.0,28371192000.0,67615187000.0,39117136000.0,39879733000.0
2291.0,28865618000.0,67518410000.0,35660710000.0,39280940000.0
2292.0,28437440000.0,67468403000.0,36125600000.0,38808230000.0
2293.0,28167547000.0,67389050000.0,39455764000.0,38783850000.0
2294.0,28120332000.0,69939330000.0,37236000000.0,38881518000.0
2295.0,28077537000.0,68101317000.0,41257160000.0,38417002000.0
2296.0,28826165000.0,67342418000.0,36479780000.0,40416772000.0
2297.0,28150090000.0,67567743000.0,42103095000.0,39030706000.0
2298.0,28025498000.0,67227156000.0,37926953000.0,40761200000.0
2299.0,27872676000.0,67121373000.0,38041633000.0,38880555000.0
2300.0,27732963000.0,67199255000.0,36555590000.0,39011955000.0
