time,ACCESS-CM2,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5
2000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0,87715920000.0
2001.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0,88070840000.0
2002.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0,87760240000.0
2003.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0,87546360000.0
2004.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0,87360940000.0
2005.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0,87202824000.0
2006.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0,87080900000.0
2007.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0,87030550000.0
2008.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0,86972980000.0
2009.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0,87331170000.0
2010.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0,86907550000.0
2011.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0,86778130000.0
2012.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0,86709805000.0
2013.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0,86802440000.0
2014.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0,86541690000.0
2015.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0,86330300000.0
2016.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0,86145410000.0
2017.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0,85831030000.0
2018.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0,85600260000.0
2019.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0,85395160000.0
2020.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0,85067540000.0
2021.0,84685440000.0,84853320000.0,84792760000.0,84889895000.0,84798050000.0,84808330000.0
2022.0,84405625000.0,84520320000.0,84318265000.0,84731200000.0,84557810000.0,84707780000.0
2023.0,84348630000.0,84245240000.0,83931365000.0,84338980000.0,84041400000.0,84341030000.0
2024.0,83693180000.0,84042780000.0,83551830000.0,84021370000.0,83726810000.0,84008740000.0
2025.0,83396840000.0,83496840000.0,83085110000.0,83607265000.0,83381760000.0,83908750000.0
2026.0,83019645000.0,83204290000.0,82509710000.0,83271300000.0,83030410000.0,83630010000.0
2027.0,82593400000.0,82900680000.0,81780580000.0,82952230000.0,82635970000.0,83235550000.0
2028.0,82031010000.0,82336416000.0,80944130000.0,82707096000.0,82213520000.0,82960720000.0
2029.0,81238860000.0,81730280000.0,80433590000.0,82167110000.0,81670590000.0,82432760000.0
2030.0,80549070000.0,81028370000.0,80071220000.0,81946165000.0,80880150000.0,81952760000.0
2031.0,80096660000.0,80044510000.0,79411855000.0,81128320000.0,80148760000.0,81456630000.0
2032.0,79582855000.0,79546745000.0,78945845000.0,80557490000.0,79617980000.0,80768240000.0
2033.0,79110890000.0,79201050000.0,78357750000.0,79997395000.0,78852964000.0,80304730000.0
2034.0,78307050000.0,78751720000.0,77599646000.0,79685214000.0,78104175000.0,79605020000.0
2035.0,77622485000.0,78598300000.0,76661960000.0,79674230000.0,77519090000.0,79071494000.0
2036.0,76701835000.0,77895885000.0,76094920000.0,78979750000.0,77111026000.0,78468600000.0
2037.0,75841120000.0,77047680000.0,75311825000.0,78559210000.0,76172470000.0,77672950000.0
2038.0,75037990000.0,76186200000.0,74364300000.0,77543940000.0,75704840000.0,77318870000.0
2039.0,75028700000.0,75644840000.0,73801744000.0,76788440000.0,74534900000.0,76630140000.0
