time,CAMS-CSM1-0,CESM2-WACCM,MRI-ESM2-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,INM-CM4-8,INM-CM5-0,NORESM2-MM,CANESM5,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3-VEG,ACCESS-ESM1-5
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
2015.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0
2016.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0
2017.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0
2018.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0
2019.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0
2020.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0
2021.0,14687421000000.0,14660959000000.0,14629900000000.0,14689115000000.0,14670340000000.0,14673134000000.0,14690397000000.0,14698346000000.0,14670712000000.0,14681824000000.0,14773860000000.0,14692010000000.0,14717810000000.0,14666025000000.0,14680747000000.0,14716393000000.0,14707904000000.0
2022.0,14657466000000.0,14615274000000.0,14548723000000.0,14696503000000.0,14618940000000.0,14598599000000.0,14635621000000.0,14646223000000.0,14651424000000.0,14677223000000.0,14664991000000.0,14628320000000.0,14719217000000.0,14576141000000.0,14615011000000.0,14704409000000.0,14677417000000.0
2023.0,14642881000000.0,14598823000000.0,14428940000000.0,14693842000000.0,14502580000000.0,14527842000000.0,14621487000000.0,14629753000000.0,14602325000000.0,14628651000000.0,14605198000000.0,14583173000000.0,14646668000000.0,14517454000000.0,14555683000000.0,14633446000000.0,14610009000000.0
2024.0,14565070000000.0,14499772000000.0,14355405000000.0,14651994000000.0,14350505000000.0,14456826000000.0,14573259000000.0,14573662000000.0,14509858000000.0,14570586000000.0,14554188000000.0,14533571000000.0,14674703000000.0,14506790000000.0,14546073000000.0,14584934000000.0,14563826000000.0
2025.0,14505061000000.0,14393832000000.0,14217726000000.0,14551520000000.0,14273127000000.0,14401079000000.0,14498816000000.0,14530465000000.0,14407214000000.0,14484491000000.0,14563715000000.0,14452918000000.0,14649176000000.0,14479275000000.0,14457869000000.0,14500981000000.0,14494744000000.0
2026.0,14481778000000.0,14281066000000.0,14114299000000.0,14512488000000.0,14166842000000.0,14330115000000.0,14416579000000.0,14454415000000.0,14352771000000.0,14398798000000.0,14509531000000.0,14402211000000.0,14602123000000.0,14442061000000.0,14413485000000.0,14441651000000.0,14414473000000.0
