time,EC-EARTH3-VEG,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,NORESM2-MM,INM-CM4-8,INM-CM5-0,MPI-ESM1-2-HR,EC-EARTH3,CESM2,MRI-ESM2-0,CAMS-CSM1-0,CESM2-WACCM
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
2015.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0
2016.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0
2017.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0
2018.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0
2019.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0
2020.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0
2021.0,14768015000000.0,14715106000000.0,14693807000000.0,14713733000000.0,14691194000000.0,14703495000000.0,14695460000000.0,14693964000000.0,14679711000000.0,14711860000000.0,14599367000000.0,14725888000000.0,14708713000000.0
2022.0,14703490000000.0,14685007000000.0,14680385000000.0,14679796000000.0,14605335000000.0,14654234000000.0,14664539000000.0,14667368000000.0,14626045000000.0,14630225000000.0,14502164000000.0,14697947000000.0,14694514000000.0
2023.0,14651891000000.0,14651309000000.0,14687743000000.0,14634607000000.0,14539820000000.0,14599944000000.0,14627093000000.0,14593620000000.0,14552578000000.0,14561721000000.0,14432793000000.0,14628429000000.0,14653379000000.0
2024.0,14589338000000.0,14634301000000.0,14703826000000.0,14601991000000.0,14530116000000.0,14523001000000.0,14562387000000.0,14546267000000.0,14457644000000.0,14531335000000.0,14399649000000.0,14592983000000.0,14576064000000.0
2025.0,14560385000000.0,14570041000000.0,14637648000000.0,14536131000000.0,14468642000000.0,14463762000000.0,14517013000000.0,14526145000000.0,14370120000000.0,14425850000000.0,14400617000000.0,14524525000000.0,14518957000000.0
2026.0,14525465000000.0,14515901000000.0,14606717000000.0,14502090000000.0,14417611000000.0,14435938000000.0,14481908000000.0,14466113000000.0,14258399000000.0,14368093000000.0,14327675000000.0,14479328000000.0,14489717000000.0
2027.0,14466332000000.0,14428415000000.0,14593223000000.0,14437069000000.0,14365563000000.0,14353543000000.0,14450614000000.0,14466914000000.0,14145861000000.0,14310856000000.0,14237210000000.0,14430713000000.0,14483448000000.0
2028.0,14409074000000.0,14382000000000.0,14533085000000.0,14379828000000.0,14330776000000.0,14275294000000.0,14369058000000.0,14389714000000.0,14056427000000.0,14223909000000.0,14160135000000.0,14389821000000.0,14425314000000.0
2029.0,14356968000000.0,14338785000000.0,14497243000000.0,14384750000000.0,14264797000000.0,14212571000000.0,14307367000000.0,14279639000000.0,13914074000000.0,14163399000000.0,14066579000000.0,14327510000000.0,14429955000000.0
2030.0,14230806000000.0,14327834000000.0,14448647000000.0,14357401000000.0,14250254000000.0,14145564000000.0,14221260000000.0,14260082000000.0,13780505000000.0,14107285000000.0,13989528000000.0,14291812000000.0,14403412000000.0
2031.0,14164487000000.0,14275573000000.0,14452143000000.0,14280229000000.0,14213269000000.0,14095693000000.0,14161121000000.0,14191516000000.0,13650167000000.0,14020685000000.0,13907881000000.0,14195928000000.0,14324541000000.0
2032.0,14115815000000.0,14211400000000.0,14380919000000.0,14207024000000.0,14177465000000.0,14050523000000.0,14122562000000.0,14151013000000.0,13517971000000.0,13937826000000.0,13859063000000.0,14158360000000.0,14279700000000.0
2033.0,14013807000000.0,14207657000000.0,14304135000000.0,14150380000000.0,14099957000000.0,14020243000000.0,14025727000000.0,14080744000000.0,13443738000000.0,13833882000000.0,13786030000000.0,14143493000000.0,14219299000000.0
2034.0,13918123000000.0,14185490000000.0,14226760000000.0,14084627000000.0,14012961000000.0,13938928000000.0,13943667000000.0,14056179000000.0,13322582000000.0,13765217000000.0,13741986000000.0,14098505000000.0,14117875000000.0
2035.0,13820036000000.0,14157828000000.0,14154279000000.0,14003457000000.0,13917310000000.0,13889351000000.0,13860740000000.0,13982178000000.0,13226419000000.0,13704704000000.0,13664347000000.0,14048667000000.0,14095130000000.0
2036.0,13737821000000.0,14130118000000.0,14100294000000.0,13950160000000.0,13847130000000.0,13874034000000.0,13719420000000.0,13922915000000.0,13112214000000.0,13621382000000.0,13567950000000.0,14028046000000.0,14026151000000.0
2037.0,13633942000000.0,14057019000000.0,14031164000000.0,13884913000000.0,13787018000000.0,13816685000000.0,13645744000000.0,13853997000000.0,12994200000000.0,13523402000000.0,13439142000000.0,13964974000000.0,13962022000000.0
