time,CESM2,BCC-CSM2-MR,MPI-ESM1-2-HR,INM-CM5-0,CAMS-CSM1-0,NORESM2-MM,FGOALS-F3-L,EC-EARTH3-VEG,GFDL-ESM4,CESM2-WACCM,EC-EARTH3,INM-CM4-8,MRI-ESM2-0
2000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0,33819884000.0
2001.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0,33864160000.0
2002.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0,33840273000.0
2003.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0,33820926000.0
2004.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0,33815273000.0
2005.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0,33798212000.0
2006.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0,33791566000.0
2007.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0,33787152000.0
2008.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0,33777620000.0
2009.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0,33777641000.0
2010.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0,33770058000.0
2011.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0,33778040000.0
2012.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0,33759564000.0
2013.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0,33790654000.0
2014.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0,33737690000.0
2015.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0,33745338000.0
2016.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0,33742463000.0
2017.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0,33738520000.0
2018.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0,33718770000.0
2019.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0,33755453000.0
2020.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0,33703807000.0
2021.0,33718890000.0,33699977000.0,33706330000.0,33681910000.0,33691170000.0,33755843000.0,33704178000.0,33691118000.0,33693336000.0,33700481000.0,33679636000.0,33686405000.0,33698386000.0
2022.0,33678520000.0,33686342000.0,33690030000.0,33668692000.0,33679735000.0,33723648000.0,33686387000.0,33678733000.0,33698767000.0,33704671000.0,33657289000.0,33679272000.0,33707583000.0
2023.0,33667760000.0,33676104000.0,33668475000.0,33648396000.0,33663375000.0,33722984000.0,33668205000.0,33651261000.0,33733180000.0,33740930000.0,33622227000.0,33668220000.0,33680468000.0
2024.0,33685109000.0,33663013000.0,33648857000.0,33634260000.0,33644263000.0,33710172000.0,33649484000.0,33627247000.0,33713156000.0,33691550000.0,33587993000.0,33654147000.0,33662347000.0
2025.0,33650665000.0,33646836000.0,33640989000.0,33612966000.0,33629469000.0,33697712000.0,33643536000.0,33610154000.0,33687386000.0,33677998000.0,33562098000.0,33653445000.0,33657756000.0
2026.0,33645693000.0,33624152000.0,33622210000.0,33588812000.0,33602590000.0,33674287000.0,33641026000.0,33581838000.0,33675117000.0,33672747000.0,33537628000.0,33638717000.0,33640507000.0
2027.0,33601755000.0,33609406000.0,33598216000.0,33560457000.0,33581850000.0,33671231000.0,33620074000.0,33554323000.0,33644558000.0,33661698000.0,33491902000.0,33625348000.0,33629008000.0
2028.0,33582846000.0,33600242000.0,33578402000.0,33528785000.0,33568790000.0,33650194000.0,33593364000.0,33535451000.0,33623618000.0,33658438000.0,33456005000.0,33606103000.0,33601858000.0
