time,CESM2-WACCM,CAMS-CSM1-0,CESM2,IPSL-CM6A-LR,MRI-ESM2-0,EC-Earth3,EC-Earth3-Veg,ACCESS-ESM1-5,INM-CM4-8,INM-CM5-0,BCC-CSM2-MR,FGOALS-f3-L,CanESM5,GFDL-ESM4,ACCESS-CM2,MPI-ESM1-2-HR,NorESM2-MM
2000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0,19678393000000.0
2001.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0,19717346000000.0
2002.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0,19695193000000.0
2003.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0,19648536000000.0
2004.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0,19586007000000.0
2005.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0,19500292000000.0
2006.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0,19422687000000.0
2007.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0,19375195000000.0
2008.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0,19291360000000.0
2009.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0,19311054000000.0
2010.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0,19226643000000.0
2011.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0,19144064000000.0
