time,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,NORESM1-M,IPSL-CM5A-LR,CANESM2,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR,CNRM-CM5
2047.0,1767007600.0,2567135200.0,2424888300.0,2581954000.0,1671578200.0,2070370200.0,2387641000.0,1911596900.0,2268583400.0,2431561000.0
2048.0,1701038000.0,2586000000.0,2385923300.0,2508587000.0,1581828500.0,2013700200.0,2299322400.0,1813724700.0,2206664400.0,2406912300.0
2049.0,1639057300.0,2564876000.0,2346087200.0,2457714700.0,1520351500.0,1953733400.0,2253968100.0,1737857400.0,2170366700.0,2368305200.0
2050.0,1582684900.0,2603608800.0,2301531600.0,2443388400.0,1443147300.0,1901460000.0,2158012400.0,1651294100.0,2131324200.0,2315276500.0
2051.0,1500872700.0,2669613300.0,2256352300.0,2389740000.0,1386201300.0,1845593200.0,2132552800.0,1593818500.0,2067192400.0,2331403500.0
2052.0,1434315400.0,2483110000.0,2201049900.0,2347962400.0,1308734500.0,1766475900.0,2084299500.0,1545650600.0,2005760000.0,2250900500.0
2053.0,1377837200.0,2431850200.0,2178934800.0,2316427300.0,1261309400.0,1722353700.0,2034540000.0,1501332700.0,1954138200.0,2200686800.0
2054.0,1323368000.0,2410716200.0,2092572400.0,2266947300.0,1182583200.0,1659118800.0,1964295300.0,1469217800.0,2106951300.0,2143170200.0
2055.0,1278674800.0,2389280300.0,2062911500.0,2225151000.0,1120156500.0,1604146400.0,1904606300.0,1399639200.0,1928695700.0,2088410800.0
2056.0,1228492300.0,2344113000.0,2018947800.0,2196489500.0,1080563100.0,1549702100.0,1854576300.0,1345457000.0,1865716000.0,2046007000.0
2057.0,1176462300.0,2318371800.0,1974856800.0,2166454000.0,1036507700.0,1488598300.0,1795830500.0,1309093100.0,1816362800.0,2001025300.0
2058.0,1139023400.0,2296800300.0,1924076000.0,2122619000.0,995721000.0,1428492800.0,1742903800.0,1270815200.0,1784681700.0,1944485200.0
2059.0,1091278700.0,2428955100.0,1886947700.0,2085671800.0,940617150.0,1675174700.0,1700051000.0,1229457700.0,1736571100.0,1970559700.0
2060.0,1028426500.0,2835316700.0,1831871600.0,2043122400.0,893598660.0,1362202100.0,1650068900.0,1178510000.0,1696663300.0,1858902500.0
2061.0,979589600.0,2449375700.0,1796796700.0,2011220700.0,851825400.0,1304038800.0,1604581500.0,1154077300.0,1646889300.0,1815061600.0
2062.0,935627700.0,2295921400.0,1746590000.0,2163305000.0,810622300.0,1260062700.0,1548000100.0,1132211500.0,1591982300.0,1766259800.0
2063.0,896350850.0,2248402200.0,1699251700.0,1963366100.0,770054600.0,1214242700.0,1504987400.0,1079852700.0,1534447000.0,1694633100.0
2064.0,863397250.0,2185262300.0,1636961400.0,1904545300.0,732971970.0,1181067000.0,1461175700.0,1048630400.0,1495581000.0,1685425000.0
2065.0,827601600.0,2135072500.0,1596385900.0,1850741800.0,709896700.0,1138446500.0,1417270900.0,1011567400.0,1436458000.0,1600303500.0
2066.0,799572600.0,2088960300.0,1563261400.0,1801817500.0,676864500.0,1105951200.0,1380294300.0,1008563140.0,1430645100.0,1668775600.0
2067.0,757575040.0,2059562800.0,1524651600.0,1757584400.0,647701100.0,1062801900.0,1329767400.0,977458100.0,1400190000.0,1533270900.0
2068.0,724564740.0,2041383200.0,1469381900.0,1701549000.0,618766300.0,1048349700.0,1335222400.0,943554240.0,1345205200.0,1476875000.0
2069.0,682705340.0,1976921300.0,1406117500.0,1641543800.0,587842500.0,1013652350.0,1268155300.0,911570300.0,1295579500.0,1437667100.0
2070.0,654552450.0,1949761800.0,1368339200.0,1592671500.0,558558100.0,972066400.0,1215304600.0,976470800.0,1251302500.0,1382369200.0
2071.0,622652350.0,1900742700.0,1313550200.0,1553997700.0,536271840.0,943850600.0,1179578400.0,902210240.0,1221928100.0,1346823000.0
2072.0,592090300.0,1839143800.0,1272642000.0,1490471200.0,510010530.0,913360600.0,1251412000.0,874045300.0,1173875700.0,1313596900.0
2073.0,564419460.0,1792329000.0,1255008800.0,1428018200.0,484894750.0,878285060.0,1121318300.0,852952800.0,1132983700.0,1258908800.0
2074.0,540919550.0,1752761700.0,1218180100.0,1364423400.0,463289300.0,845930050.0,1086087000.0,826366000.0,1086651100.0,1215173000.0
2075.0,516496220.0,1715573900.0,1188865400.0,1306146200.0,441448480.0,815321200.0,1056184640.0,799108540.0,1047945000.0,1175347200.0
