time,CCSM4,CSIRO-MK3-6-0,CESM1-CAM5,GFDL-CM3,NORESM1-M,CANESM2,IPSL-CM5A-LR,CNRM-CM5,MPI-ESM-LR,GISS-E2-R,GFDL-ESM2G
2000.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0
2001.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0
2002.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0
2003.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0
2004.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0
2005.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0
2006.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0
2007.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0
2008.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0
2009.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0
2010.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0
2011.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0
2012.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0
2013.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0
2014.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0
2015.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0
2016.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0
2017.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0
2018.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0
2019.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0
2020.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0
2021.0,2910711800.0,3066704000.0,2913368800.0,2911613700.0,2960719400.0,2922543000.0,2926382800.0,2922018600.0,2939274200.0,2923993900.0,2917423400.0
2022.0,2907617500.0,3020651300.0,2886286300.0,2882802200.0,2936079400.0,2907738000.0,2902121500.0,2925097500.0,2900725800.0,2907535400.0,2910943700.0
2023.0,3117224400.0,2977485800.0,2867762200.0,2863680000.0,2901796400.0,2887325000.0,2929503500.0,2906616300.0,2892560100.0,2917545500.0,2908883500.0
2024.0,2988395000.0,2946815500.0,2861069600.0,2833985300.0,2896538400.0,2915217200.0,3172946200.0,2889261600.0,2919384600.0,2898368800.0,2896844500.0
2025.0,3226100000.0,2951265300.0,2843701200.0,2813177600.0,2894298000.0,2855688400.0,2924316200.0,2867616000.0,2876677000.0,2915994000.0,2890974000.0
2026.0,2962218000.0,2902076000.0,2828241200.0,2791179300.0,2889691100.0,2845750300.0,2867591700.0,2846742500.0,3025625600.0,2892826600.0,2887806200.0
2027.0,2910228200.0,2891164700.0,2788544500.0,2742995000.0,2915454500.0,2819217200.0,2837126700.0,3141891000.0,2864747300.0,2856360200.0,2874242000.0
2028.0,2876998100.0,2866227500.0,3014838300.0,2688758000.0,2859374300.0,2792533200.0,2892332000.0,2901457700.0,2852581400.0,2833510000.0,2929049600.0
2029.0,2869810400.0,2850098400.0,2780640500.0,2651219200.0,2845759000.0,2766050600.0,2797364500.0,2815731000.0,2818342100.0,2819067400.0,2853784800.0
2030.0,2816878800.0,2827905800.0,2741708500.0,2614235600.0,2824566500.0,2780563000.0,2768957200.0,2802077000.0,2810701800.0,2802146600.0,2832353000.0
2031.0,2811054600.0,2813762600.0,2709948400.0,2551942000.0,2811729200.0,2858493000.0,2725646600.0,2795430400.0,2803676200.0,2773208800.0,2811225000.0
2032.0,2783206100.0,2815983900.0,2675132400.0,2505106000.0,2793654000.0,2731958300.0,2684194300.0,2743863300.0,2780661800.0,2749472500.0,2838686700.0
2033.0,2841415400.0,2774851300.0,2675782700.0,2445323500.0,2770685700.0,2702320400.0,2652082200.0,2734152700.0,2759937300.0,2723182800.0,2774374100.0
2034.0,2792743400.0,2762172400.0,2616883000.0,2416194000.0,2776066800.0,2681222100.0,2647971300.0,2791663400.0,2747501300.0,2697145000.0,2751543000.0
2035.0,2742224000.0,2737452800.0,2580770800.0,2357816000.0,2731805200.0,2648912100.0,2598049800.0,2760436000.0,2722922800.0,2666846500.0,2738978800.0
2036.0,2713716700.0,2712965000.0,2538778600.0,2304440300.0,2711655200.0,2634050300.0,2552012000.0,2674064600.0,2693822200.0,2645824500.0,2709042200.0
2037.0,2726665700.0,2686668800.0,2521711600.0,2252091400.0,2688691000.0,2612398000.0,2523880000.0,2717650200.0,2664753200.0,2614352100.0,2758656800.0
2038.0,2665370600.0,2660543200.0,2482437400.0,2192653300.0,2660410600.0,2566609400.0,2452193000.0,2643615200.0,2648387000.0,2574862000.0,2684840400.0
2039.0,2635620000.0,2625514000.0,2433570800.0,2139927600.0,2620124700.0,2528137500.0,2411055600.0,2621597200.0,2617514200.0,2543581200.0,2648524500.0
2040.0,2649215500.0,2605901300.0,2372974300.0,2082344000.0,2576362200.0,2515475200.0,2347377000.0,2582363000.0,2577486300.0,2507269000.0,2616608300.0
2041.0,2651341300.0,2585327900.0,2339337000.0,2039635100.0,2569665300.0,2436031700.0,2277033000.0,2558093000.0,2536998000.0,2435801900.0,2593586200.0
2042.0,2655714000.0,2548816400.0,2278695200.0,1947923800.0,2559468500.0,2400839200.0,2295990300.0,2542369800.0,2491964400.0,2388610300.0,2583835600.0
2043.0,2556791000.0,2501156900.0,2215798300.0,1881065900.0,2505503500.0,2368566800.0,2186070500.0,2508027100.0,2447599600.0,2341183500.0,2525866500.0
2044.0,2532376000.0,2458499800.0,2163199700.0,1816502400.0,2461631500.0,2323735800.0,2160686600.0,2476798700.0,2430870500.0,2289216300.0,2479734500.0
2045.0,2500099000.0,2418372900.0,2104534100.0,1758079700.0,2460375000.0,2278535200.0,2094999200.0,2539264000.0,2381765400.0,2255372000.0,2436776400.0
2046.0,2502025000.0,2390704600.0,2038290000.0,1685983900.0,2410029000.0,2221374700.0,2020855900.0,2425554000.0,2326388700.0,2212688600.0,2388160000.0
2047.0,2435246800.0,2347200800.0,2015079000.0,1648516100.0,2518130400.0,2163695400.0,1951769200.0,2355709400.0,2279799000.0,2145565300.0,2352514600.0
2048.0,2393404400.0,2416505000.0,1916484700.0,1624580900.0,2402903300.0,2093226900.0,1894845000.0,2293966800.0,2242141000.0,2098798500.0,2303384800.0
2049.0,2355120400.0,2285077500.0,1861345400.0,1561195800.0,2338592500.0,2024582400.0,1828736100.0,2247560700.0,2203118800.0,2054244600.0,2255505400.0
2050.0,2373557500.0,2266338600.0,1835599700.0,1552601500.0,2285176300.0,1957905900.0,1746023300.0,2203477500.0,2156392200.0,1989892200.0,2219575800.0
2051.0,2303069400.0,2236496100.0,1738945500.0,1535541000.0,2242423600.0,1904439300.0,1688315000.0,2185566200.0,2144802300.0,1977960200.0,2166836000.0
2052.0,2230272500.0,2195243500.0,1666456800.0,1494659700.0,2321380900.0,1823873400.0,1623794200.0,2167173000.0,2082876400.0,1917864400.0,2118823400.0
2053.0,2193332000.0,2200496400.0,1583826600.0,1525035100.0,2193191000.0,1740863000.0,1589373700.0,2161253000.0,2033424000.0,1887908000.0,2079019500.0
2054.0,2145307500.0,2251866600.0,1516245900.0,1435090600.0,2149509400.0,1687329900.0,1578765700.0,2067803000.0,2020897000.0,1848567000.0,1996628900.0
2055.0,2081083300.0,2308879600.0,1435141000.0,1381137400.0,2107560300.0,1635425800.0,1519821000.0,2015030500.0,1957786900.0,1794814800.0,1950802200.0
2056.0,2036782800.0,2320542000.0,1381155700.0,1331499800.0,2086932400.0,1582414800.0,1443314200.0,1976631200.0,1924181600.0,1792665000.0,1948584800.0
2057.0,2068048000.0,2154283800.0,1326567300.0,1290122800.0,2081200600.0,1535453200.0,1405096200.0,1909809300.0,1887225100.0,1703806200.0,1883330000.0
2058.0,1965322500.0,2106609200.0,1289280600.0,1248618900.0,2000199800.0,1463632600.0,1353649500.0,1881091500.0,1872360000.0,1673089900.0,1849655400.0
2059.0,1909796700.0,2074090500.0,1245285400.0,1218618600.0,1954759200.0,1432292400.0,1316446800.0,1826293800.0,1814577700.0,1625455600.0,1792053000.0
2060.0,1860812200.0,2012865900.0,1203603600.0,1192282800.0,1962955000.0,1366587000.0,1274889600.0,1861512100.0,1783265700.0,1603586600.0,1770453200.0
2061.0,1801434800.0,1959355900.0,1161731000.0,1229249900.0,1904895700.0,1344548500.0,1301920400.0,1756580200.0,1754725800.0,1547787900.0,1742383700.0
2062.0,1774458400.0,2174314000.0,1115819900.0,1144248800.0,1937921300.0,1298107100.0,1204106100.0,1728648000.0,1780669200.0,1492567200.0,1737763300.0
2063.0,1723312000.0,1960744800.0,1078724100.0,1099288700.0,1849426600.0,1260187000.0,1161502600.0,1698255400.0,1774531800.0,1450034700.0,1682263800.0
2064.0,1747676000.0,1920883200.0,1046428900.0,1064304400.0,1810607200.0,1216159000.0,1252770300.0,1656148700.0,1694927600.0,1443447700.0,1639329000.0
2065.0,1691271700.0,1969597300.0,1038816450.0,1026413800.0,1880070800.0,1168880600.0,1111633800.0,1717594200.0,1664795600.0,1386510200.0,1592657800.0
2066.0,1599331600.0,1982744400.0,1001289800.0,993069250.0,1780001500.0,1125654300.0,1051608060.0,1635751600.0,1643438000.0,1348436100.0,1552604300.0
2067.0,1552314900.0,1834609500.0,974740700.0,960533060.0,1741058300.0,1094769900.0,1003501760.0,1622194700.0,1635898600.0,1327373400.0,1496238800.0
2068.0,1517412000.0,1793897100.0,944091100.0,920009000.0,1661682600.0,1063053700.0,971341060.0,1573770900.0,1577017300.0,1280158300.0,1447305000.0
2069.0,1473423100.0,1805160100.0,952472260.0,883421060.0,1699357200.0,1028608450.0,952032900.0,1532163600.0,1541931300.0,1256205700.0,1409559000.0
2070.0,1436432600.0,1828257900.0,900043700.0,854465540.0,1604506000.0,1008935000.0,932075800.0,1494504800.0,1499666600.0,1230517800.0,1403317200.0
2071.0,1382116700.0,2008089600.0,871505000.0,823714370.0,1564406000.0,987037200.0,873827140.0,1494619400.0,1453996400.0,1216413200.0,1357912600.0
2072.0,1359550300.0,1794602900.0,852756700.0,791128060.0,1539566100.0,951199940.0,845191100.0,1432527600.0,1426760100.0,1178836700.0,1322633900.0
2073.0,1313729000.0,1748404900.0,852706560.0,760521900.0,1519638400.0,938112400.0,816491260.0,1379523500.0,1380667400.0,1152272500.0,1306415900.0
2074.0,1271895800.0,1755350100.0,840100200.0,741409700.0,1521489400.0,907587140.0,793194430.0,1337976000.0,1707833500.0,1125923300.0,1266835700.0
2075.0,1248294100.0,1725057400.0,794075140.0,720571140.0,1447630600.0,874301300.0,766822900.0,1293669600.0,1414775900.0,1090353200.0,1223236900.0
2076.0,1202936200.0,1911184000.0,763205440.0,703259260.0,1405936100.0,1297256600.0,768462900.0,1247143300.0,1442578200.0,1072967940.0,1193569900.0
2077.0,1178919400.0,1838650200.0,740761400.0,679497860.0,1366976500.0,836048600.0,720811200.0,1227309000.0,1316211600.0,1050412000.0,1191735400.0
2078.0,1144967600.0,1929999500.0,706090600.0,665042050.0,1336500000.0,807188000.0,701180200.0,1186058400.0,1276651500.0,1024072960.0,1149701500.0
2079.0,1131774000.0,1917664500.0,681136900.0,643746370.0,1302108500.0,778943100.0,668209200.0,1146113500.0,1242660100.0,1049465900.0,1124123300.0
2080.0,1096714800.0,1860646400.0,660265900.0,618010750.0,1267731800.0,759763840.0,642287400.0,1105285800.0,1214041100.0,1037302900.0,1129482600.0
2081.0,1072586940.0,1710182000.0,637992260.0,591141100.0,1245308500.0,746604300.0,622298100.0,1074146200.0,1357659900.0,1261431300.0,1080773900.0
2082.0,1045870700.0,1944321700.0,614791200.0,574124200.0,1228523900.0,720651900.0,614472500.0,1062350500.0,1210535800.0,962193000.0,1053824260.0
2083.0,1019459700.0,1738822400.0,587547900.0,556139600.0,1187110000.0,725943300.0,598187200.0,1035450240.0,1172792800.0,944986300.0,1043179900.0
2084.0,979952500.0,1702995700.0,567397760.0,535571500.0,1163730700.0,715174300.0,576689100.0,1012350340.0,1143888900.0,912488960.0,999496200.0
2085.0,960580800.0,1658230900.0,557469900.0,519900500.0,1140611600.0,679873400.0,560737340.0,1371610800.0,1118049300.0,1168867000.0,1012671000.0
2086.0,969104900.0,1699935500.0,534392700.0,500877440.0,1248665200.0,659630100.0,544578560.0,975135300.0,1115848300.0,902570900.0,963254300.0
2087.0,937091200.0,1654694700.0,513641700.0,480632640.0,1122832400.0,643339140.0,531729950.0,1021407800.0,1071882100.0,865825800.0,938994800.0
2088.0,905586200.0,1620887800.0,500340100.0,465008500.0,1140774300.0,617310460.0,516374800.0,948249860.0,1032986800.0,857694340.0,988252900.0
2089.0,884346750.0,1541974300.0,515147800.0,449058430.0,1066317800.0,593935700.0,497169660.0,936020700.0,1017174300.0,836136200.0,918363650.0
2090.0,861198400.0,1526709900.0,477353470.0,432493800.0,1070521660.0,577092900.0,487996030.0,909614000.0,983461060.0,813067260.0,884456700.0
2091.0,843019200.0,1505571800.0,458665060.0,420010530.0,1027337700.0,555992300.0,473751970.0,886494600.0,970963400.0,875201000.0,862266430.0
2092.0,903534400.0,1475717000.0,443340540.0,399039680.0,1002762400.0,538108900.0,462017100.0,857517700.0,947082200.0,787046140.0,854461200.0
2093.0,823096300.0,1454044900.0,419369120.0,390222500.0,977632600.0,521933500.0,449214270.0,842762100.0,1110221800.0,758515800.0,836479000.0
2094.0,803076300.0,1501572400.0,401267900.0,375863460.0,960696900.0,507239170.0,432412300.0,820687740.0,933239200.0,737515400.0,833452600.0
2095.0,777650800.0,1432996700.0,394383680.0,361363800.0,950297540.0,494353440.0,423072030.0,850112960.0,1018123500.0,713725800.0,809091840.0
2096.0,763855040.0,1390849900.0,385643360.0,347194020.0,932345200.0,480174700.0,413603360.0,1372685200.0,947815500.0,694576200.0,796881900.0
2097.0,746512060.0,1390084200.0,372588200.0,334624830.0,898813760.0,475086750.0,403620540.0,816094660.0,890104300.0,682214140.0,774581440.0
2098.0,858475000.0,1351360100.0,362958620.0,327748900.0,898549950.0,454304400.0,386609540.0,762379900.0,1037690940.0,664870200.0,759642240.0
2099.0,721061760.0,1846514000.0,348800540.0,316984320.0,861489100.0,438880900.0,365404030.0,740433000.0,847820600.0,647853200.0,747957300.0
2100.0,699931140.0,1568479000.0,341919360.0,309895500.0,839961300.0,430838800.0,345323040.0,728546100.0,874922600.0,622138300.0,723981100.0
