time,CSIRO-MK3-6-0,CCSM4,GFDL-CM3,NORESM1-M,IPSL-CM5A-LR,GISS-E2-R,GFDL-ESM2G
2000.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0,3128847600.0
2001.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0,3197783800.0
2002.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0,3108803600.0
2003.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0,3049828600.0
2004.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0,3062468900.0
2005.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0,3028912000.0
2006.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0,3073374000.0
2007.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0,3008371500.0
2008.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0,3128812500.0
2009.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0,3046552600.0
2010.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0,2993984800.0
2011.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0,2990708200.0
2012.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0,3023347000.0
2013.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0,3075451000.0
2014.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0,2984463400.0
2015.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0,2963041500.0
2016.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0,3265781800.0
2017.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0,2997635300.0
2018.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0,3066436400.0
2019.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0,2942238700.0
2020.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0,2969406000.0
2021.0,3167516000.0,2934209300.0,2912102700.0,2912306700.0,2911470800.0,2990681000.0,2909928400.0
2022.0,3333779700.0,2922306000.0,2895715300.0,2898103800.0,3158765600.0,2950842400.0,2881411000.0
2023.0,3093338000.0,2925264600.0,2890968600.0,3113810400.0,2943027500.0,3107365000.0,2871099400.0
2024.0,3078631400.0,2909483000.0,2866077200.0,3115798000.0,2953805600.0,3018388500.0,2861673700.0
2025.0,3038621700.0,2892494300.0,2846607400.0,2977277400.0,2892670000.0,2923961900.0,2958727700.0
2026.0,2975903000.0,2878208300.0,2822929700.0,2920149000.0,2859225300.0,2895910100.0,2861977300.0
2027.0,3037720000.0,2879706600.0,2802264000.0,3002285800.0,2824588300.0,2882163000.0,2822657800.0
2028.0,3108276000.0,2855497700.0,2787063800.0,2900992000.0,2859432200.0,2864540400.0,2803129000.0
2029.0,2953427200.0,2824905500.0,2741050400.0,2901778700.0,2769993700.0,2841390000.0,2783812000.0
2030.0,2993530600.0,2796380200.0,2708808700.0,2898520800.0,3022444800.0,2902329900.0,2831549000.0
2031.0,2929676300.0,2778915300.0,2685725700.0,2955676200.0,2746888000.0,2804179200.0,2786149000.0
2032.0,2906019800.0,2781752000.0,2659565600.0,2850344400.0,2774408700.0,2801380400.0,2774762800.0
2033.0,3047831000.0,2759223300.0,2634454800.0,2834411300.0,2689543400.0,2774211000.0,2945472800.0
2034.0,2915590000.0,2718169600.0,2595147300.0,2829702400.0,2660831000.0,2786397700.0,2759970300.0
2035.0,2892921000.0,2724438500.0,2554015500.0,2796671000.0,2617683700.0,2741193200.0,2718094800.0
2036.0,2873840600.0,2706366000.0,2514770700.0,2795581700.0,2568254200.0,2758527500.0,2713629200.0
2037.0,2862334500.0,2660255000.0,2499785500.0,2851470000.0,2525725000.0,2713750000.0,2681531400.0
2038.0,2955508000.0,2662917600.0,2447586000.0,2774170400.0,2493446400.0,2682558000.0,2647074000.0
2039.0,2920029200.0,2615487500.0,2397611500.0,2746833400.0,2428287500.0,2747822000.0,2620059100.0
2040.0,3090991000.0,2586573800.0,2341245700.0,2724980500.0,2367785700.0,2665783000.0,2647814400.0
2041.0,2935201000.0,2548155400.0,2317357600.0,2715053800.0,2342083000.0,2632477200.0,2694421200.0
2042.0,2934633200.0,2715735300.0,2255755800.0,2683059200.0,2277703700.0,2587247000.0,2554541300.0
2043.0,2838796500.0,2557194200.0,2218141400.0,2659604000.0,2225991700.0,2580947700.0,2544596200.0
2044.0,2800871200.0,2496119600.0,2165246500.0,2632619000.0,2209142000.0,2587755000.0,2514988000.0
2045.0,2845283300.0,2478026000.0,2126390700.0,2605961000.0,2133400800.0,2544189000.0,2491841000.0
2046.0,2761024300.0,2448460800.0,2043467300.0,2577241300.0,2098627500.0,2531774200.0,2746712600.0
2047.0,2751671300.0,2498398200.0,1982385300.0,2609723400.0,1999854700.0,2509058800.0,2517597700.0
2048.0,2837005300.0,2541566000.0,1956116000.0,2560819000.0,1953866200.0,2531567000.0,2462698800.0
2049.0,2748018000.0,2436594200.0,1888519300.0,2520518100.0,1908393700.0,2462776000.0,2444569900.0
2050.0,2724151800.0,2367705300.0,1832726400.0,2498364000.0,1823402600.0,2415128000.0,2368396800.0
2051.0,2678121200.0,2335657000.0,1769171300.0,2491839500.0,1729954200.0,2380253200.0,2338997000.0
2052.0,2759045600.0,2298127000.0,1730134400.0,2580096300.0,1651407700.0,2344511500.0,2313444000.0
2053.0,2663976400.0,2262283800.0,1679381800.0,2439006200.0,1613185200.0,2294015000.0,2275655700.0
2054.0,2626555400.0,2200533000.0,1622293400.0,2402982000.0,1545361900.0,2315063800.0,2263311400.0
2055.0,2607990300.0,2262435600.0,1571407900.0,2368421400.0,1471225700.0,2241171000.0,2217733400.0
2056.0,2585671400.0,2173099500.0,1507663900.0,2345724400.0,1398517200.0,2337358300.0,2179676000.0
2057.0,2790156300.0,2089727700.0,1447370000.0,2305251800.0,1348140700.0,2224174800.0,2149750800.0
2058.0,2632167700.0,2033831600.0,1392649700.0,2440901600.0,1292805900.0,2155313400.0,2098436200.0
2059.0,2699566800.0,1987807500.0,1336970600.0,2299178200.0,1228761100.0,2115870100.0,2033644400.0
2060.0,2594638000.0,1935013400.0,1291508500.0,2244962800.0,1185302500.0,2081287800.0,1985842300.0
2061.0,2543595800.0,1887860500.0,1238438500.0,2209526000.0,1134270300.0,2089548200.0,1948674600.0
2062.0,2496000500.0,1844272300.0,1176611000.0,2213586200.0,1085593700.0,2010846700.0,1914549400.0
2063.0,2556067600.0,1843939200.0,1128336500.0,2147873000.0,1033196350.0,2067100300.0,1925451600.0
2064.0,2781196800.0,1777702300.0,1085155100.0,2145796700.0,986881900.0,1994376100.0,1839060000.0
2065.0,2611211000.0,1738417200.0,1051370700.0,2107830500.0,989736900.0,1942565800.0,1811504900.0
2066.0,2487648300.0,1699844900.0,1014011900.0,2061814800.0,937561500.0,1892540200.0,1766516400.0
2067.0,2441931300.0,1656758700.0,977882900.0,2032993700.0,903862700.0,1882754400.0,1721946200.0
2068.0,2410408200.0,1589719400.0,947221400.0,2027221800.0,855424700.0,1843382500.0,1666886300.0
2069.0,2442526700.0,1565819500.0,915214340.0,2002756900.0,823350500.0,1860099500.0,1630917000.0
2070.0,2364305200.0,1530696700.0,873904060.0,2004923100.0,796715970.0,1787032800.0,1611199000.0
2071.0,2424794600.0,1495045400.0,854789440.0,1903533400.0,775759300.0,1764012000.0,1583295200.0
2072.0,2517542700.0,1455333500.0,821390460.0,1882790500.0,747451140.0,1744538500.0,1550616800.0
2073.0,2503867000.0,1392461000.0,791241600.0,1855260000.0,719844400.0,1701612500.0,1538564500.0
2074.0,2442274000.0,1355203200.0,761530800.0,1824243100.0,685323100.0,1700924700.0,1468607700.0
2075.0,2374349000.0,1329498800.0,737016700.0,1780961900.0,660352000.0,1688729700.0,1426264700.0
2076.0,2387915800.0,1284836600.0,705299400.0,1741252700.0,640620700.0,1615620600.0,1421285500.0
2077.0,2283578600.0,1250930700.0,669355800.0,1704756200.0,611033100.0,1589918200.0,1374056600.0
2078.0,2267563500.0,1228164700.0,633807400.0,1682065900.0,579331200.0,1553839400.0,1341167200.0
2079.0,2237563400.0,1175155000.0,603510300.0,1640315300.0,552965300.0,1566381200.0,1315896600.0
2080.0,2216694300.0,1147006600.0,577770400.0,1603258600.0,528221570.0,1546678300.0,1257164800.0
2081.0,2192473900.0,1119778400.0,557335700.0,1580006300.0,504026300.0,1483587800.0,1227428100.0
2082.0,2143564900.0,1080307200.0,534759780.0,1556715600.0,488515000.0,1438769300.0,1189743200.0
2083.0,2123621000.0,1033473500.0,507788740.0,1527480600.0,478584670.0,1402128000.0,1156611000.0
2084.0,2091894700.0,1002840960.0,494098080.0,1483148200.0,455845980.0,1359584000.0,1160676000.0
2085.0,2054298600.0,978566500.0,471169180.0,1440116200.0,444387300.0,1333696300.0,1113269000.0
2086.0,2036321700.0,938002200.0,452401180.0,1401842800.0,424766400.0,1301091600.0,1160370800.0
2087.0,1982919000.0,904225660.0,436645950.0,1675499300.0,409818880.0,1265997800.0,1102173000.0
2088.0,1939280100.0,885052860.0,422044220.0,1363318700.0,386881700.0,1229196300.0,1064001400.0
2089.0,1886238800.0,902833340.0,403010050.0,1360251000.0,369332960.0,1191057900.0,1046864260.0
2090.0,1830348200.0,848887300.0,384137400.0,1305171100.0,358215650.0,1171446300.0,1038010100.0
2091.0,1790281600.0,820413060.0,368330940.0,1279363600.0,348001150.0,1144997500.0,995723970.0
2092.0,1750908200.0,803588160.0,356523400.0,1244596500.0,348862300.0,1116302000.0,983882700.0
2093.0,1720883500.0,781944800.0,337942180.0,1206963000.0,318051360.0,1097897600.0,955748540.0
2094.0,1700607500.0,761291600.0,318809920.0,1191159700.0,302442980.0,1065345340.0,925237200.0
2095.0,1654030100.0,737364030.0,309497250.0,1158477700.0,292081380.0,1052181100.0,906810750.0
2096.0,1610758500.0,711055550.0,292972640.0,1123046100.0,278165220.0,1031326850.0,898259650.0
2097.0,1565312800.0,686547140.0,280881340.0,1097827000.0,270485380.0,1001376640.0,858996800.0
2098.0,1528099000.0,657863200.0,266669980.0,1077503000.0,256982160.0,1031473150.0,832265150.0
2099.0,1476406800.0,632288640.0,258280060.0,1047278850.0,245070880.0,970590340.0,803947100.0
2100.0,1447787000.0,615502300.0,247224450.0,1014310400.0,233510300.0,946838700.0,784158340.0
