time,GFDL-CM3,CCSM4,NORESM1-M,CANESM2,GISS-E2-R,IPSL-CM5A-LR,MPI-ESM-LR,CSIRO-MK3-6-0,GFDL-ESM2G,CNRM-CM5
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
2021.0,2049619300.0,2062895100.0,2059344600.0,2048433400.0,2056273900.0,2054693000.0,2049846500.0,2052933200.0,2050737400.0,2063158400.0
2022.0,2017203000.0,2034822700.0,2021092200.0,1998681000.0,2022573000.0,2017619500.0,2010676600.0,2004802300.0,2015132900.0,2043168900.0
2023.0,1972607700.0,2004981500.0,1991714300.0,1939906000.0,1981683200.0,1982557700.0,1990814800.0,1962427300.0,1998225900.0,2013842600.0
2024.0,1922600600.0,1975415700.0,1945523500.0,1888711400.0,1956660500.0,1949129000.0,1982075500.0,1930460000.0,1951548700.0,1993403400.0
2025.0,1881345900.0,1954213500.0,1910928300.0,1835603100.0,1918424400.0,1927635600.0,1963143000.0,1882896100.0,1900417500.0,1970148400.0
2026.0,1820641300.0,1930867300.0,1887322800.0,1787159700.0,1883666200.0,1882590500.0,1931619700.0,1828480400.0,1875468900.0,1949313900.0
2027.0,1772718100.0,1910466000.0,1861423100.0,1701836200.0,1845743400.0,1845806000.0,1909063800.0,1794535700.0,1844421400.0,1924025000.0
2028.0,1700650600.0,1882143600.0,1837514600.0,1623339500.0,1819212500.0,1828014000.0,1893539200.0,1757766000.0,1819414000.0,1895300600.0
2029.0,1624617100.0,1864385500.0,1799340300.0,1573152900.0,1790342500.0,1790350700.0,1869951200.0,1729013800.0,1784373500.0,1872994300.0
2030.0,1560546200.0,1853307900.0,1766634400.0,1495322800.0,1755214000.0,1751919700.0,1843908600.0,1692159200.0,1742004000.0,1838563100.0
2031.0,1484699100.0,1836989000.0,1734249100.0,1421545700.0,1728567200.0,1707088900.0,1829326200.0,1665711500.0,1701867900.0,1808245900.0
2032.0,1393534700.0,1816844700.0,1707832400.0,1367327000.0,1695564500.0,1657032600.0,1809665900.0,1647942100.0,1661119900.0,1764221800.0
2033.0,1338460500.0,1792079900.0,1674533200.0,1335580300.0,1694712300.0,1592551800.0,1769751200.0,1620460900.0,1617493800.0,1717193600.0
2034.0,1257414000.0,1774403800.0,1634939900.0,1279742100.0,1644982800.0,1536536300.0,1693614200.0,1593141000.0,1584372700.0,1667115300.0
2035.0,1190161000.0,1742917100.0,1605450600.0,1246838100.0,1614457000.0,1468577500.0,1649795800.0,1578198300.0,1550968700.0,1621129500.0
2036.0,1143757700.0,1721612200.0,1578149600.0,1218424300.0,1592137500.0,1412120200.0,1595846000.0,1537729200.0,1519647100.0,1562203800.0
2037.0,1072283650.0,1701891500.0,1539632900.0,1176201200.0,1562996100.0,1361057400.0,1516663800.0,1499265700.0,1486240400.0,1521809500.0
2038.0,990724400.0,1678797000.0,1498934700.0,1123538400.0,1532461800.0,1293147100.0,1428443400.0,1452321400.0,1476390400.0,1474229500.0
2039.0,951509300.0,1649484200.0,1454546600.0,1076767700.0,1506713500.0,1237443300.0,1362767900.0,1397098100.0,1454776200.0,1432184700.0
2040.0,903241600.0,1617896600.0,1422785700.0,1047603140.0,1472899500.0,1182511100.0,1288276900.0,1356881300.0,1429006500.0,1378561700.0
2041.0,861452350.0,1579026600.0,1377939200.0,1016748740.0,1431034100.0,1114625700.0,1223140100.0,1298271500.0,1409284100.0,1349857800.0
2042.0,809572700.0,1545674800.0,1359398400.0,961350660.0,1393519400.0,1075797000.0,1224580700.0,1203530500.0,1381999900.0,1304008100.0
2043.0,777204000.0,1531675100.0,1308496600.0,919843500.0,1354830700.0,1042456200.0,1191876700.0,1117785900.0,1356806300.0,1271984000.0
2044.0,738819200.0,1495916000.0,1249303900.0,890886400.0,1320633000.0,1002990100.0,1138181600.0,1032140200.0,1339579800.0,1243361300.0
2045.0,707333000.0,1448285300.0,1197102600.0,859625860.0,1293343900.0,952322600.0,1077088500.0,968297200.0,1319187600.0,1213721200.0
2046.0,669874370.0,1415334100.0,1136524800.0,841714940.0,1264103800.0,917121150.0,1045533800.0,904317200.0,1308208100.0,1196990200.0
2047.0,635029400.0,1382563200.0,1138356500.0,811959100.0,1229650200.0,887158300.0,1020341440.0,877156700.0,1281817100.0,1175161600.0
2048.0,623183550.0,1360119000.0,1112816400.0,783712700.0,1211245400.0,840358600.0,998135100.0,851576700.0,1255345800.0,1144985500.0
2049.0,604579300.0,1319885400.0,1079124000.0,758596600.0,1189035300.0,809348030.0,976480300.0,804910800.0,1221945100.0,1128171900.0
2050.0,566323140.0,1282401500.0,1053127000.0,738841000.0,1184850800.0,783552900.0,951275500.0,760507100.0,1218437600.0,1101856000.0
2051.0,540885950.0,1262241000.0,1031940100.0,726607940.0,1158211700.0,751882430.0,929136960.0,720373700.0,1202665200.0,1082539500.0
2052.0,516449820.0,1246482000.0,1012661800.0,706593800.0,1140484400.0,729771300.0,898928960.0,687998200.0,1176568000.0,1055826560.0
2053.0,498221300.0,1216566900.0,979148500.0,693764030.0,1116111000.0,696031500.0,859773200.0,653912200.0,1143658900.0,1030800200.0
2054.0,477315700.0,1183370100.0,962420030.0,674852300.0,1094703900.0,662925060.0,831990700.0,618051650.0,1110939500.0,996750100.0
2055.0,451905060.0,1153860900.0,950022000.0,661211900.0,1075097100.0,642540100.0,797962240.0,565630140.0,1088922900.0,969591500.0
2056.0,437012830.0,1132631600.0,931551360.0,647239500.0,1057835500.0,608091970.0,771951300.0,504092740.0,1051863230.0,934523260.0
2057.0,421958660.0,1118844800.0,920819900.0,628313000.0,1039688200.0,589877900.0,759356160.0,479606530.0,1024956800.0,910908900.0
2058.0,404898980.0,1119693600.0,904937150.0,618072800.0,1035268540.0,584956350.0,749931200.0,446389020.0,1021569000.0,890584060.0
2059.0,395299070.0,1105129900.0,892973760.0,603858400.0,1015631400.0,569491260.0,720280600.0,413157150.0,989437100.0,859947140.0
2060.0,380130180.0,1081383700.0,886649000.0,583601540.0,1000474300.0,561645800.0,695935200.0,392278900.0,966474900.0,837808640.0
2061.0,365757220.0,1059664300.0,870523800.0,563761400.0,987539100.0,557866000.0,684015200.0,364634020.0,944516700.0,818860860.0
2062.0,356820130.0,1035857600.0,852799100.0,546820300.0,977055170.0,543388000.0,669999200.0,348622620.0,922230600.0,805187650.0
2063.0,348207000.0,1016401100.0,840347200.0,527919520.0,966138500.0,531185760.0,655460000.0,334880320.0,908308200.0,792417500.0
2064.0,334218270.0,995138200.0,830729860.0,502849950.0,951843600.0,518418140.0,633883500.0,325863460.0,904820500.0,776548700.0
2065.0,332043600.0,970088700.0,817627840.0,487497820.0,940599000.0,505367230.0,621972300.0,320913000.0,883028000.0,764383900.0
2066.0,327788830.0,944595700.0,801690430.0,479031900.0,931661600.0,497536800.0,615876700.0,316626240.0,871313500.0,749034100.0
2067.0,318689250.0,925869000.0,788674300.0,469672260.0,919354300.0,482236670.0,608799200.0,307484700.0,857741800.0,741597600.0
2068.0,312581730.0,902799600.0,773051650.0,464068540.0,918489600.0,472959840.0,619092160.0,298151740.0,840707300.0,729771460.0
2069.0,306023740.0,878879170.0,776270800.0,456853120.0,907537200.0,461533340.0,601271230.0,291133900.0,826532100.0,724134400.0
2070.0,299057860.0,861509250.0,763716700.0,440477570.0,896481300.0,449525440.0,584866500.0,281442980.0,817107460.0,712750700.0
2071.0,290618020.0,833621950.0,752525200.0,434909060.0,896282700.0,425383460.0,573452100.0,271738080.0,809056830.0,706527360.0
2072.0,287428260.0,812278600.0,742154200.0,428540900.0,885149700.0,410774720.0,616831700.0,276920400.0,802554000.0,697958300.0
2073.0,283328930.0,804608450.0,734853760.0,424336060.0,876409700.0,410659330.0,608361000.0,261577360.0,792715700.0,689053000.0
2074.0,275901470.0,797371970.0,726598400.0,422300600.0,869705800.0,407246180.0,580877100.0,255661440.0,781590900.0,677955800.0
2075.0,265089020.0,788216200.0,715969340.0,419071700.0,860119100.0,402731870.0,564460860.0,254711800.0,778460540.0,671211400.0
2076.0,264942500.0,774609660.0,711019200.0,423141300.0,848894000.0,401491140.0,558320800.0,248188290.0,773350850.0,658372000.0
2077.0,255856980.0,778343300.0,708371800.0,421697600.0,852089900.0,395326430.0,555788800.0,240939740.0,775302660.0,647037300.0
2078.0,247880770.0,772287700.0,705625340.0,413633200.0,839456500.0,393949600.0,571761660.0,237989730.0,770770100.0,630068600.0
2079.0,245571820.0,760748900.0,703303200.0,408948450.0,835696600.0,388828160.0,552629500.0,230150000.0,759528400.0,615943600.0
2080.0,239834030.0,762899840.0,694187900.0,405835200.0,825393400.0,389306850.0,545446140.0,224658780.0,750095900.0,601513300.0
2081.0,231413650.0,761016300.0,689190850.0,398550000.0,814578100.0,382985630.0,536518500.0,216899520.0,742385500.0,587493800.0
2082.0,232392620.0,747241000.0,684361660.0,394227780.0,811613200.0,379316030.0,521264300.0,215895410.0,736471740.0,572653950.0
2083.0,225026500.0,738548350.0,682781100.0,390601100.0,814330700.0,373817280.0,517493150.0,207823630.0,734011500.0,560916600.0
2084.0,218856830.0,741106900.0,680241900.0,389010500.0,804654850.0,369311550.0,534208300.0,204693390.0,736451650.0,546891000.0
2085.0,220613780.0,737482050.0,672885250.0,385334820.0,796948500.0,376872320.0,509866800.0,204807000.0,728501000.0,534603330.0
2086.0,213695140.0,729538940.0,666497500.0,377643650.0,788100800.0,367050530.0,497432740.0,198825070.0,734909600.0,525221900.0
2087.0,208637220.0,723906560.0,672911170.0,368280640.0,779413760.0,362512160.0,482700770.0,202512400.0,720770800.0,524194400.0
2088.0,204160820.0,722050370.0,693308740.0,365617380.0,771357800.0,361475600.0,475916700.0,201163220.0,713683600.0,514202340.0
2089.0,205318500.0,718260540.0,677101800.0,358800260.0,765710460.0,364527100.0,470223360.0,193084540.0,710299260.0,512825180.0
2090.0,201815120.0,709413600.0,660099000.0,350501250.0,763729000.0,369370400.0,466003400.0,189832740.0,704833400.0,509452860.0
2091.0,200002340.0,705629950.0,650420160.0,348994270.0,767466300.0,369627260.0,458179000.0,187171570.0,697604160.0,509273500.0
2092.0,197975570.0,709649500.0,642337200.0,364425820.0,752712060.0,362961440.0,461481820.0,184003100.0,706870300.0,504069060.0
2093.0,197103440.0,707951170.0,637502600.0,360781820.0,743349900.0,356915970.0,481946980.0,181449550.0,723976400.0,504420100.0
2094.0,197165230.0,709883460.0,633612350.0,353839420.0,740972600.0,348500580.0,478471200.0,179223860.0,707318100.0,498519140.0
2095.0,196494860.0,710452900.0,629035900.0,349693950.0,738336260.0,342628930.0,471801340.0,178487940.0,732903600.0,508271300.0
2096.0,197840460.0,698706560.0,620213440.0,348292540.0,732222100.0,353050880.0,468989700.0,175671700.0,736067000.0,500140300.0
2097.0,195194770.0,691701300.0,610367040.0,362893000.0,724883600.0,340408830.0,462795700.0,173996130.0,719758900.0,494451100.0
2098.0,196370510.0,692272260.0,603663300.0,364282080.0,724247500.0,334288540.0,479677700.0,171917650.0,716071740.0,489313920.0
2099.0,193148000.0,686390460.0,591445950.0,353279800.0,718372200.0,330884640.0,488328830.0,169357000.0,707443800.0,485155100.0
2100.0,192179220.0,676805060.0,582792260.0,347892670.0,711309760.0,323227070.0,482270820.0,166726990.0,702479900.0,490903970.0
