time,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR
2056.0,26480966000.0,30622398000.0,28669665000.0,22763390000.0,27946697000.0
2057.0,26185701000.0,30441134000.0,28487600000.0,22472458000.0,26834934000.0
2058.0,25817060000.0,30220820000.0,28143008000.0,21944742000.0,26288040000.0
2059.0,26150800000.0,29869953000.0,27867340000.0,21829732000.0,28057078000.0
2060.0,25390320000.0,31165196000.0,28260530000.0,21706996000.0,26292656000.0
2061.0,25045916000.0,29742574000.0,27367246000.0,20932596000.0,25564490000.0
2062.0,27676234000.0,29357347000.0,27358884000.0,20360968000.0,25340266000.0
2063.0,25045360000.0,29173182000.0,26793330000.0,19972545000.0,25106835000.0
2064.0,24710975000.0,29309172000.0,26558972000.0,20135217000.0,24617052000.0
2065.0,24507566000.0,29108343000.0,26371183000.0,19450085000.0,24920547000.0
2066.0,24460524000.0,28937157000.0,25965970000.0,19769412000.0,24134142000.0
2067.0,23983362000.0,29259467000.0,25691860000.0,19854630000.0,23782095000.0
2068.0,24435919000.0,28746460000.0,26035350000.0,18767665000.0,23588622000.0
2069.0,25880748000.0,29607352000.0,25464558000.0,18498025000.0,23818380000.0
2070.0,24004758000.0,28749367000.0,25016949000.0,18565880000.0,23768908000.0
2071.0,23546524000.0,28347513000.0,24737462000.0,18412792000.0,23534670000.0
2072.0,23987425000.0,28565290000.0,24391068000.0,17765206000.0,22843077000.0
2073.0,23273322000.0,28694983000.0,24219010000.0,17407095000.0,22556254000.0
2074.0,23245476000.0,28174053000.0,23736435000.0,17085154000.0,22258104000.0
2075.0,22794953000.0,28934978000.0,23724227000.0,16817219000.0,22042850000.0
2076.0,22441812000.0,27862168000.0,23272262000.0,16731984000.0,21765515000.0
2077.0,22304588000.0,27760388000.0,24616659000.0,16323858000.0,21659054000.0
2078.0,22055586000.0,27499565000.0,26581381000.0,16093502000.0,21342890000.0
2079.0,22387920000.0,27900715000.0,27282436000.0,15849892000.0,21102993000.0
2080.0,21768800000.0,27389465000.0,24547734000.0,15520017000.0,21044806000.0
2081.0,22325189000.0,27086940000.0,28894618000.0,15253633000.0,20791613000.0
2082.0,21379865000.0,27022342000.0,24609114000.0,15164574000.0,20505836000.0
2083.0,21185473000.0,26751853000.0,24038988000.0,14864024000.0,20292813000.0
2084.0,21283710000.0,26624846000.0,23239207000.0,14723406000.0,22110380000.0
2085.0,23116974000.0,26487835000.0,22367703000.0,14587200000.0,20203848000.0
2086.0,22112893000.0,27910270000.0,22129027000.0,14493324000.0,19954432000.0
2087.0,21353882000.0,26804650000.0,21858087000.0,14620642000.0,19667376000.0
2088.0,20801296000.0,26495089000.0,23019348000.0,14058696000.0,19702640000.0
2089.0,20792867000.0,26162547000.0,22761650000.0,13789941000.0,19463504000.0
2090.0,22168420000.0,26639920000.0,23319720000.0,13728282000.0,19273886000.0
2091.0,21468900000.0,27191050000.0,22021660000.0,13414510000.0,20540793000.0
2092.0,22679265000.0,25927307000.0,21271265000.0,13149655000.0,18839600000.0
2093.0,20470407000.0,25825729000.0,21496500000.0,13573456000.0,18675845000.0
2094.0,20375001000.0,25629917000.0,21119547000.0,13137841000.0,18697253000.0
2095.0,20168503000.0,27547212000.0,20735492000.0,13199933000.0,18992974000.0
2096.0,22493389000.0,26450147000.0,20659235000.0,13662433000.0,18308940000.0
2097.0,21719073000.0,26230725000.0,22307422000.0,13038038000.0,17963987000.0
2098.0,21030752000.0,25384837000.0,20292774000.0,12440197000.0,18869301000.0
2099.0,20142100000.0,25250020000.0,20156668000.0,12352381000.0,18515001000.0
2100.0,23735493000.0,25151437000.0,20253370000.0,12591141000.0,17985036000.0
