time,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0,34553287000.0
2001.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0,34145300000.0
2002.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0,33993908000.0
2003.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0,33964567000.0
2004.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0,34387325000.0
2005.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0,34367460000.0
2006.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0,34516790000.0
2007.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0,34244733000.0
2008.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0,34010340000.0
2009.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0,34056677000.0
2010.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0,34198049000.0
2011.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0,34549280000.0
2012.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0,34060497000.0
2013.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0,33962093000.0
2014.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0,33933310000.0
2015.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0,33966873000.0
2016.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0,34956240000.0
2017.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0,33946814000.0
2018.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0,33945180000.0
2019.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0,33910325000.0
2020.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0,34081927000.0
2021.0,33704400000.0,33950194000.0,33882880000.0,33816381000.0,33947720000.0
2022.0,33760027000.0,33730617000.0,33684204000.0,34541244000.0,33647331000.0
2023.0,33534452000.0,33613646000.0,33487665000.0,34004144000.0,33603992000.0
2024.0,33463792000.0,33489486000.0,33312390000.0,33416320000.0,33894803000.0
2025.0,33434810000.0,33379928000.0,33516167000.0,33821264000.0,33436336000.0
2026.0,33595530000.0,33421750000.0,33071300000.0,33704739000.0,33368381000.0
2027.0,33341508000.0,33265265000.0,32984800000.0,33433483000.0,33455490000.0
2028.0,33173393000.0,33071925000.0,33031740000.0,33163338000.0,33456169000.0
2029.0,32977811000.0,32913287000.0,32654252000.0,33058720000.0,33117852000.0
2030.0,33322440000.0,32784546000.0,32353708000.0,33235704000.0,33189110000.0
2031.0,32844010000.0,33713963000.0,32142533000.0,32995957000.0,33051372000.0
2032.0,32679723000.0,33575662000.0,31808727000.0,32788546000.0,32766433000.0
2033.0,32849060000.0,32883298000.0,31474991000.0,32923785000.0,32567020000.0
2034.0,32462120000.0,32962867000.0,31137542000.0,32613413000.0,32393982000.0
2035.0,32314008000.0,33051670000.0,30862550000.0,32418355000.0,32430803000.0
2036.0,32147806000.0,32947018000.0,30404268000.0,32293888000.0,32247200000.0
2037.0,31978885000.0,32671164000.0,30148696000.0,32676887000.0,31786957000.0
2038.0,31817950000.0,32228102000.0,29769900000.0,32653363000.0,31689048000.0
2039.0,31618083000.0,32549814000.0,29340969000.0,32048430000.0,31385446000.0
2040.0,31397520000.0,33010555000.0,28829772000.0,32191848000.0,31308740000.0
2041.0,31172704000.0,32131699000.0,28314255000.0,32326820000.0,30821018000.0
2042.0,30830254000.0,31715105000.0,27878814000.0,32032784000.0,30652545000.0
2043.0,30460391000.0,31470658000.0,27319759000.0,31950172000.0,30215690000.0
2044.0,30195788000.0,32963700000.0,26751873000.0,31585034000.0,29890740000.0
2045.0,29888990000.0,31446944000.0,26151700000.0,31299270000.0,29483618000.0
2046.0,29612802000.0,31066782000.0,25718145000.0,31071980000.0,29094400000.0
2047.0,29846155000.0,30858863000.0,25482623000.0,30846822000.0,28684540000.0
2048.0,29285536000.0,30741182000.0,24843844000.0,30658183000.0,28385642000.0
2049.0,28958196000.0,30237872000.0,24397900000.0,30419225000.0,28492683000.0
2050.0,28833683000.0,30024942000.0,24444258000.0,30149150000.0,27970484000.0
2051.0,28359774000.0,30822498000.0,24708311000.0,29861624000.0,27214057000.0
2052.0,28105988000.0,29793452000.0,23336884000.0,30067714000.0,28007447000.0
2053.0,27760796000.0,29604727000.0,23583678000.0,29221116000.0,27110543000.0
2054.0,27493646000.0,29247648000.0,22571358000.0,28972149000.0,26668990000.0
2055.0,27192226000.0,28856460000.0,21903350000.0,28596363000.0,26000288000.0
