time,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2056.0,26585051000.0,23800480000.0,24065634000.0,26577455000.0,19176077000.0
2057.0,26193424000.0,23414028000.0,23646226000.0,26247494000.0,18454065000.0
2058.0,26029660000.0,22966686000.0,23004930000.0,26076385000.0,17791592000.0
2059.0,25648753000.0,22489973000.0,22369915000.0,25404040000.0,17019411000.0
2060.0,25446711000.0,22089513000.0,21735274000.0,24874455000.0,16611334000.0
2061.0,25214710000.0,21622150000.0,21425801000.0,24345340000.0,16062294000.0
2062.0,24768324000.0,21115337000.0,20890692000.0,24106800000.0,15922451000.0
2063.0,24322327000.0,20608178000.0,20458627000.0,23935304000.0,15398825000.0
2064.0,23945796000.0,19901209000.0,19978887000.0,23471256000.0,14867951000.0
2065.0,23441678000.0,19710233000.0,19412767000.0,23227700000.0,14368872000.0
2066.0,23799495000.0,19493958000.0,18815961000.0,22927147000.0,14149257000.0
2067.0,22998102000.0,18960941000.0,18489496000.0,22602666000.0,13623390000.0
2068.0,22576091000.0,18429460000.0,17996642000.0,22099898000.0,13247192000.0
2069.0,22488347000.0,18215436000.0,17648000000.0,21592648000.0,12716354000.0
2070.0,22067495000.0,17911134000.0,17153655000.0,21277485000.0,12603507000.0
2071.0,22027864000.0,17432166000.0,16692650000.0,20920790000.0,12024563000.0
2072.0,21333617000.0,17054341000.0,16233976000.0,21029665000.0,12880676000.0
2073.0,20953002000.0,17312640000.0,15717683000.0,20328616000.0,11748276000.0
2074.0,20649550000.0,17089744000.0,15351761000.0,20104466000.0,11151767000.0
2075.0,20160115000.0,16381365000.0,15009073000.0,19933676000.0,10589113000.0
2076.0,19667958000.0,15920282000.0,14586170000.0,19395635000.0,10273913000.0
2077.0,19251458000.0,15609709000.0,14159824000.0,19034503000.0,9899902000.0
2078.0,18942878000.0,15247294000.0,13790926000.0,18674678000.0,9834471000.0
2079.0,18514743000.0,14779282000.0,13349242000.0,18219837000.0,9383889000.0
2080.0,18035526000.0,14484877000.0,12866363000.0,17738270000.0,9094937000.0
2081.0,17703614000.0,14282141000.0,12490307000.0,17294658000.0,8629948000.0
2082.0,17545950000.0,13875990000.0,12019926000.0,16932281000.0,8368019000.0
2083.0,17102109000.0,13946425000.0,11623820000.0,16622633000.0,8115444700.0
2084.0,16651724000.0,13269659000.0,11286874000.0,16175267000.0,7909230600.0
2085.0,16491022000.0,13013582000.0,10977896000.0,15836602000.0,7699982300.0
2086.0,15994143000.0,12671433000.0,10444331000.0,15467146000.0,7459452000.0
2087.0,15758230000.0,12402587000.0,10111925000.0,15124127000.0,7156625400.0
2088.0,15251188000.0,12223466000.0,9596656000.0,14710337000.0,6893733000.0
2089.0,14847795000.0,11990816000.0,9343449000.0,14358480000.0,6652595000.0
2090.0,14469683000.0,11767054000.0,9067775000.0,14042652000.0,6395630600.0
2091.0,14162432000.0,11568300000.0,8684852000.0,13714358000.0,6146657300.0
2092.0,13855633000.0,11398790000.0,8285796400.0,13444938000.0,5913558000.0
2093.0,13417049000.0,11160343000.0,7976870000.0,13082288000.0,5648951000.0
2094.0,13012566000.0,10968019000.0,7713114600.0,12665842000.0,5370537500.0
2095.0,12621046000.0,10788495000.0,7472699400.0,13132494000.0,5155256300.0
2096.0,12411513000.0,10517045000.0,7247488500.0,12497197000.0,4986213400.0
2097.0,12105441000.0,10282203000.0,6963887000.0,11973010000.0,4811364000.0
2098.0,11802980000.0,10059275000.0,6830353400.0,11521604000.0,4591815700.0
2099.0,11640363000.0,9831539000.0,6583950000.0,11150153000.0,4455069700.0
2100.0,11340514000.0,9605788000.0,6337064400.0,10820387000.0,4278599400.0
