time,IITM-ESM,CESM2-WACCM,TAIESM1,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,KACE-1-0-G,MPI-ESM1-2-HR
2000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0,3261691900000.0
2001.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0,3256017200000.0
2002.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0,3244047200000.0
2003.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0,3238926200000.0
2004.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0,3249195700000.0
2005.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0,3252072500000.0
2006.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0,3245444700000.0
2007.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0,3224093300000.0
2008.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0,3204348600000.0
2009.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0,3181821600000.0
2010.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0,3167242200000.0
2011.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0,3165112000000.0
2012.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0,3145556000000.0
2013.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0,3121788000000.0
2014.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0,3109638600000.0
2015.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0,3099394600000.0
2016.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0,3087599700000.0
2017.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0,3078583000000.0
2018.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0,3071971700000.0
2019.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0,3058857000000.0
2020.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0,3046471600000.0
2021.0,3021842400000.0,3033841500000.0,2995636000000.0,3041302400000.0,3010423700000.0,2990324300000.0,2992856000000.0,3011639200000.0,3032546300000.0
2022.0,3020975500000.0,3015697000000.0,2976944800000.0,3022090700000.0,2965819000000.0,2958152400000.0,2942946000000.0,2958015000000.0,3029477400000.0
2023.0,3014157100000.0,2979074400000.0,2913889700000.0,2971732800000.0,2934905500000.0,2924371500000.0,2920949200000.0,2904681300000.0,3000373600000.0
2024.0,3021553300000.0,2948220000000.0,2900929300000.0,2943635400000.0,2901992300000.0,2903337600000.0,2850546300000.0,2852765600000.0,2966417000000.0
2025.0,3017592000000.0,2919558000000.0,2863376600000.0,2908974700000.0,2851021800000.0,2870832300000.0,2767646600000.0,2813923700000.0,2947474000000.0
2026.0,3004304200000.0,2897838600000.0,2823741800000.0,2882332500000.0,2814287800000.0,2833675000000.0,2690564800000.0,2759263500000.0,2927380000000.0
2027.0,2976599800000.0,2869007200000.0,2793017700000.0,2858316200000.0,2789773100000.0,2799545600000.0,2618756400000.0,2683406600000.0,2893376400000.0
2028.0,2969517000000.0,2832674600000.0,2759563700000.0,2820181300000.0,2748654800000.0,2784213000000.0,2576635700000.0,2634240500000.0,2836397300000.0
2029.0,2952479400000.0,2827692800000.0,2718017800000.0,2786919000000.0,2707903700000.0,2758253000000.0,2529223000000.0,2594542500000.0,2819847600000.0
2030.0,2934734600000.0,2800656800000.0,2697093700000.0,2747503500000.0,2691030000000.0,2729037500000.0,2492628200000.0,2547126600000.0,2815019200000.0
2031.0,2910182000000.0,2762664300000.0,2695745800000.0,2700533000000.0,2646762600000.0,2713040200000.0,2453599200000.0,2500589000000.0,2790447000000.0
2032.0,2887590600000.0,2724722400000.0,2640405900000.0,2655466300000.0,2611812500000.0,2683413200000.0,2420639000000.0,2448879800000.0,2763555900000.0
2033.0,2881082400000.0,2699208400000.0,2596549000000.0,2618748800000.0,2575187000000.0,2657739600000.0,2378425000000.0,2404634000000.0,2732921200000.0
2034.0,2880840100000.0,2654130100000.0,2562240800000.0,2570931100000.0,2526504800000.0,2630974700000.0,2317042300000.0,2343379700000.0,2710636300000.0
2035.0,2870636700000.0,2641499000000.0,2519703200000.0,2518394000000.0,2495505000000.0,2610956600000.0,2256577200000.0,2286594600000.0,2706357400000.0
2036.0,2858764200000.0,2602996600000.0,2474035600000.0,2478808000000.0,2447620400000.0,2584777300000.0,2197809000000.0,2240144700000.0,2670825300000.0
