time,TAIESM1,CNRM-CM6-1,MIROC6,CESM2-WACCM,CANESM5,IITM-ESM,MPI-ESM1-2-HR,CNRM-ESM2-1,KACE-1-0-G,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3
2026.0,2867339500000.0,2894139000000.0,2866164000000.0,2840473400000.0,2503262600000.0,3029340500000.0,2875033000000.0,2907664500000.0,2775525000000.0,2740482700000.0,2852367600000.0,2830722000000.0,2916615700000.0,2735489700000.0
2027.0,2820749000000.0,2861124600000.0,2845431300000.0,2798682000000.0,2432050400000.0,3010618500000.0,2846538000000.0,2876381300000.0,2717751700000.0,2685627800000.0,2802019500000.0,2772770200000.0,2885716300000.0,2685067000000.0
2028.0,2778947400000.0,2823553500000.0,2800808400000.0,2760429000000.0,2362086000000.0,2981170800000.0,2813290600000.0,2835040000000.0,2678152200000.0,2635050800000.0,2770396500000.0,2735078600000.0,2857853300000.0,2623694200000.0
2029.0,2749099100000.0,2800735000000.0,2760979800000.0,2722324300000.0,2280200000000.0,2978983400000.0,2784081500000.0,2786357100000.0,2662146000000.0,2597875000000.0,2744281200000.0,2686334000000.0,2843452600000.0,2571978400000.0
2030.0,2703825600000.0,2777897500000.0,2725638300000.0,2694617000000.0,2203761200000.0,2964268000000.0,2751230400000.0,2752628400000.0,2589644800000.0,2545239500000.0,2695923500000.0,2657062000000.0,2815510400000.0,2500723200000.0
2031.0,2650079000000.0,2764780000000.0,2704817000000.0,2669134700000.0,2127620200000.0,2950991200000.0,2714487200000.0,2720626400000.0,2540145200000.0,2505642900000.0,2679691300000.0,2616649800000.0,2780600700000.0,2435939800000.0
2032.0,2626530000000.0,2731357500000.0,2667571000000.0,2601705500000.0,2075249100000.0,2955594000000.0,2686767600000.0,2699388800000.0,2495187800000.0,2466383700000.0,2655739000000.0,2566592000000.0,2747032400000.0,2381558600000.0
2033.0,2570633000000.0,2698080700000.0,2622253400000.0,2581389400000.0,1997317200000.0,2950932200000.0,2664944600000.0,2665251600000.0,2431653000000.0,2397696000000.0,2616647200000.0,2524330000000.0,2715379000000.0,2335678700000.0
2034.0,2531094200000.0,2654278300000.0,2590627300000.0,2538005300000.0,1929271600000.0,2938587000000.0,2646422800000.0,2645390800000.0,2408635700000.0,2358526300000.0,2598077000000.0,2489493200000.0,2681110300000.0,2294480000000.0
2035.0,2499120500000.0,2624098100000.0,2556086200000.0,2503516600000.0,1865452200000.0,2928597800000.0,2628753300000.0,2594849000000.0,2372843600000.0,2298532300000.0,2550934500000.0,2449224800000.0,2637061200000.0,2239844000000.0
2036.0,2446783200000.0,2581397500000.0,2526736000000.0,2465989100000.0,1806749900000.0,2885379700000.0,2636112000000.0,2547199000000.0,2326694700000.0,2256971500000.0,2525782900000.0,2400772400000.0,2583934500000.0,2180281400000.0
2037.0,2404602000000.0,2547397000000.0,2498926000000.0,2445022000000.0,1754354500000.0,2892824000000.0,2609342300000.0,2520063100000.0,2287986500000.0,2217722200000.0,2507284000000.0,2366521000000.0,2561100200000.0,2141764000000.0
2038.0,2365568600000.0,2502887000000.0,2488058800000.0,2417230300000.0,1696965200000.0,2893206500000.0,2584701000000.0,2489147200000.0,2236295400000.0,2170564200000.0,2495285300000.0,2320332000000.0,2531240000000.0,2093393900000.0
2039.0,2305307000000.0,2473962200000.0,2453371400000.0,2377800700000.0,1655657900000.0,2883281500000.0,2546821500000.0,2460272600000.0,2185618400000.0,2112078300000.0,2466447000000.0,2287425800000.0,2501102300000.0,2044324500000.0
2040.0,2246089000000.0,2437569000000.0,2411837800000.0,2340176500000.0,1596969600000.0,2876559300000.0,2533695000000.0,2434387100000.0,2147341300000.0,2070706000000.0,2432779700000.0,2238186500000.0,2452939300000.0,1994191800000.0
2041.0,2198927600000.0,2427700000000.0,2382037300000.0,2304517000000.0,1535705600000.0,2885933000000.0,2515619000000.0,2411900000000.0,2099648100000.0,2016870900000.0,2430158800000.0,2195491300000.0,2407104800000.0,1951264000000.0
2042.0,2152943200000.0,2406770300000.0,2357591300000.0,2281134400000.0,1485052300000.0,2886741300000.0,2495955600000.0,2387719200000.0,2057882000000.0,1962377600000.0,2416951400000.0,2157377700000.0,2378533400000.0,1904626200000.0
2043.0,2119815300000.0,2382143700000.0,2320515000000.0,2232758000000.0,1436614900000.0,2886692800000.0,2471470000000.0,2366316000000.0,2018843000000.0,1931652200000.0,2408945000000.0,2128032300000.0,2352197700000.0,1851783100000.0
2044.0,2085597200000.0,2345819000000.0,2282657700000.0,2220191000000.0,1386826600000.0,2876797600000.0,2430249200000.0,2345468700000.0,1966858400000.0,1894368500000.0,2388003700000.0,2102615700000.0,2329878000000.0,1821259700000.0
2045.0,2053150100000.0,2305903000000.0,2234804000000.0,2180785600000.0,1317075400000.0,2851101500000.0,2389447000000.0,2325228800000.0,1931639800000.0,1861805100000.0,2367833500000.0,2078337000000.0,2292358800000.0,1779891300000.0
2046.0,2011892300000.0,2269176000000.0,2199972500000.0,2145055300000.0,1265904000000.0,2826777700000.0,2358332000000.0,2301748600000.0,1902025600000.0,1807935300000.0,2342310600000.0,2041827400000.0,2250978000000.0,1734000100000.0
2047.0,1954670400000.0,2228948800000.0,2182525600000.0,2115564600000.0,1214857300000.0,2835597500000.0,2366489200000.0,2272630400000.0,1858781000000.0,1764888300000.0,2318732000000.0,2008759700000.0,2209560400000.0,1692513500000.0
2048.0,1910542800000.0,2200642300000.0,2150702300000.0,2086669100000.0,1173570200000.0,2828054000000.0,2329435400000.0,2249925900000.0,1827865200000.0,1723596100000.0,2301350000000.0,1971702600000.0,2179707200000.0,1651403400000.0
2049.0,1861932200000.0,2169535000000.0,2119412700000.0,2057269300000.0,1135857600000.0,2808354200000.0,2294148000000.0,2226421200000.0,1791811400000.0,1672751700000.0,2290109600000.0,1936660000000.0,2136043800000.0,1616161400000.0
2050.0,1810664300000.0,2131238200000.0,2082643400000.0,2039838700000.0,1101920500000.0,2793590500000.0,2280516000000.0,2203021700000.0,1759140900000.0,1634372200000.0,2282816000000.0,1900342000000.0,2085567200000.0,1592141000000.0
2051.0,1762530600000.0,2077281700000.0,2070274800000.0,2023174300000.0,1066507760000.0,2769772600000.0,2258292200000.0,2177680700000.0,1718310700000.0,1590425800000.0,2239425400000.0,1867613600000.0,2035818700000.0,1573340000000.0
2052.0,1729110900000.0,2044429600000.0,2043038700000.0,2007095600000.0,1039396400000.0,2753422200000.0,2229794800000.0,2155266700000.0,1687382700000.0,1573677600000.0,2225964300000.0,1831247300000.0,2018771100000.0,1546136300000.0
2053.0,1681104300000.0,2013774500000.0,1987613800000.0,1970073800000.0,1009297650000.0,2746542000000.0,2229329200000.0,2129740000000.0,1655360800000.0,1531415200000.0,2205545400000.0,1805267000000.0,1996125100000.0,1513771000000.0
2054.0,1658366000000.0,1995770300000.0,1946570900000.0,1948490100000.0,981605800000.0,2729107500000.0,2225119200000.0,2099776700000.0,1599468900000.0,1485275500000.0,2160729700000.0,1783100200000.0,1958198600000.0,1473765400000.0
2055.0,1629745000000.0,1955260300000.0,1911872400000.0,1932962400000.0,945201500000.0,2738164600000.0,2185880300000.0,2089072600000.0,1559620400000.0,1445084700000.0,2139065800000.0,1748069600000.0,1925743400000.0,1445335900000.0
