time,INM-CM5-0,CAMS-CSM1-0,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,FGOALS-F3-L,ACCESS-CM2,EC-EARTH3-VEG,GFDL-ESM4,NORESM2-MM,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,INM-CM4-8,EC-EARTH3
2000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0,7550159000000.0
2001.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0,7554923000000.0
2002.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0,7539403000000.0
2003.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0,7512797000000.0
2004.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0,7497060000000.0
2005.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0,7476065000000.0
2006.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0,7452246400000.0
2007.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0,7438029300000.0
2008.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0,7421123000000.0
2009.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0,7418821000000.0
2010.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0,7413424500000.0
2011.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0,7411980600000.0
2012.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0,7399873700000.0
2013.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0,7404313400000.0
2014.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0,7361239400000.0
2015.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0,7354694000000.0
