time,CCSM4,GISS-E2-R,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CANESM2,CSIRO-MK3-6-0,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0,41378730000.0
2001.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0,41218425000.0
2002.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0,41149290000.0
2003.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0,41168744000.0
2004.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0,41087672000.0
2005.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0,41117250000.0
2006.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0,41489785000.0
2007.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0,41273330000.0
2008.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0,41068335000.0
2009.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0,40982712000.0
2010.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0,40923288000.0
2011.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0,40874234000.0
2012.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0,40844177000.0
2013.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0,40832580000.0
2014.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0,40850700000.0
2015.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0,40756277000.0
2016.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0,40709427000.0
2017.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0,40669168000.0
2018.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0,40920470000.0
2019.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0,40801160000.0
2020.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0,40658140000.0
2021.0,40638190000.0,40644485000.0,40577868000.0,40621770000.0,40580706000.0,40628044000.0,40594190000.0,40554914000.0,40502866000.0,40534184000.0
2022.0,40583004000.0,40583664000.0,40548545000.0,40514580000.0,40517075000.0,40539804000.0,40529965000.0,40530534000.0,40422502000.0,40484740000.0
2023.0,40586867000.0,40529727000.0,40495260000.0,40461636000.0,40478970000.0,40632877000.0,40502223000.0,40459694000.0,40329646000.0,40483705000.0
2024.0,40688562000.0,40467755000.0,40430666000.0,40462730000.0,40474410000.0,40503230000.0,40570704000.0,40399155000.0,40246403000.0,40474804000.0
2025.0,40878727000.0,40444715000.0,40569290000.0,40401646000.0,40458387000.0,40450390000.0,40525150000.0,40331244000.0,40155020000.0,40366342000.0
2026.0,40658320000.0,40382255000.0,40370580000.0,40336056000.0,40395944000.0,40408093000.0,40417330000.0,40304320000.0,40053210000.0,40299850000.0
2027.0,40617095000.0,40383275000.0,40341344000.0,40265023000.0,40362164000.0,40332714000.0,40347353000.0,40248530000.0,39951790000.0,40241250000.0
2028.0,40689455000.0,40326963000.0,40320460000.0,40310750000.0,40296400000.0,40285070000.0,40512550000.0,40250495000.0,39841210000.0,40178737000.0
2029.0,40557244000.0,40370750000.0,40207790000.0,40192963000.0,40233165000.0,40262103000.0,40401703000.0,40150057000.0,39748202000.0,40121033000.0
2030.0,40411087000.0,40239980000.0,40115970000.0,40102334000.0,40185848000.0,40201085000.0,40304288000.0,40130474000.0,39632028000.0,40059605000.0
2031.0,40350224000.0,40183730000.0,40109490000.0,40058870000.0,40131690000.0,40156340000.0,40196100000.0,40070005000.0,39482184000.0,39988310000.0
2032.0,40466810000.0,40195473000.0,40043987000.0,39998423000.0,40071578000.0,40105410000.0,40187306000.0,40024646000.0,39343260000.0,39912088000.0
2033.0,40458020000.0,40147145000.0,39962150000.0,39914280000.0,40085360000.0,40097990000.0,40108530000.0,39976583000.0,39191536000.0,39834063000.0
