time,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3-VEG,CAMS-CSM1-0
2000.0,91040694000.0,91040694000.0,91040694000.0,91040694000.0
2001.0,91299620000.0,91299620000.0,91299620000.0,91299620000.0
2002.0,93018735000.0,93018735000.0,93018735000.0,93018735000.0
2003.0,92291140000.0,92291140000.0,92291140000.0,92291140000.0
2004.0,91113980000.0,91113980000.0,91113980000.0,91113980000.0
2005.0,88897960000.0,88897960000.0,88897960000.0,88897960000.0
2006.0,88075480000.0,88075480000.0,88075480000.0,88075480000.0
2007.0,87227030000.0,87227030000.0,87227030000.0,87227030000.0
2008.0,87708790000.0,87708790000.0,87708790000.0,87708790000.0
2009.0,88776510000.0,88776510000.0,88776510000.0,88776510000.0
2010.0,87095540000.0,87095540000.0,87095540000.0,87095540000.0
2011.0,84674490000.0,84674490000.0,84674490000.0,84674490000.0
2012.0,85593720000.0,85593720000.0,85593720000.0,85593720000.0
2013.0,85085725000.0,85085725000.0,85085725000.0,85085725000.0
2014.0,85391790000.0,85391790000.0,85391790000.0,85391790000.0
2015.0,84753610000.0,84753610000.0,84753610000.0,84753610000.0
2016.0,80958230000.0,80958230000.0,80958230000.0,80958230000.0
2017.0,76211600000.0,76211600000.0,76211600000.0,76211600000.0
2018.0,74589220000.0,74589220000.0,74589220000.0,74589220000.0
2019.0,74972900000.0,74972900000.0,74972900000.0,74972900000.0
2020.0,73364600000.0,73364600000.0,73364600000.0,73364600000.0
2021.0,71812645000.0,73128346000.0,72450050000.0,71611060000.0
2022.0,69626980000.0,71423590000.0,70270250000.0,70028110000.0
2023.0,69542210000.0,67736424000.0,67964880000.0,67736097000.0
2024.0,68614263000.0,67669512000.0,67135648000.0,66136880000.0
2025.0,67270062000.0,68208013000.0,67264365000.0,65140860000.0
2026.0,66963830000.0,66957353000.0,65615350000.0,66523330000.0
2027.0,65839112000.0,64832250000.0,61178008000.0,65412970000.0
2028.0,64477954000.0,64508380000.0,58207875000.0,62506435000.0
2029.0,61623833000.0,63410830000.0,56303610000.0,60561072000.0
2030.0,61558026000.0,62953177000.0,54271930000.0,58522660000.0
2031.0,60053750000.0,62348374000.0,50108084000.0,56507388000.0
2032.0,56061776000.0,58878420000.0,48957534000.0,56228987000.0
2033.0,55945654000.0,58188055000.0,47605654000.0,55299645000.0
2034.0,55402580000.0,58448560000.0,44617080000.0,57165420000.0
2035.0,51904102000.0,58875250000.0,44710326000.0,56077607000.0
2036.0,48261330000.0,55976088000.0,44308664000.0,53494542000.0
2037.0,48043690000.0,52756670000.0,42866373000.0,53199280000.0
2038.0,47561576000.0,53755370000.0,40443370000.0,51021718000.0
2039.0,44775850000.0,53176060000.0,37475390000.0,47359967000.0
2040.0,44303053000.0,50889376000.0,38189490000.0,46761517000.0
2041.0,43100004000.0,49827025000.0,37458952000.0,49155604000.0
2042.0,40717505000.0,50075877000.0,34493964000.0,48680640000.0
2043.0,40543940000.0,49528830000.0,33291960000.0,47788310000.0
2044.0,40693740000.0,49234776000.0,34871714000.0,49229906000.0
2045.0,40010953000.0,48966860000.0,34069907000.0,49189347000.0
2046.0,38770620000.0,48798314000.0,32525183000.0,47155053000.0
2047.0,36883420000.0,47688557000.0,32204160000.0,47159374000.0
2048.0,37161525000.0,45899022000.0,33496586000.0,47777760000.0
2049.0,35950068000.0,47287288000.0,34149968000.0,47841026000.0
2050.0,35747930000.0,48181840000.0,33496506000.0,45567090000.0
2051.0,36299194000.0,47844065000.0,33951060000.0,47138623000.0
2052.0,35290026000.0,45581857000.0,35366930000.0,46590706000.0
2053.0,33439860000.0,45082160000.0,35537433000.0,46903955000.0
2054.0,33883500000.0,45139354000.0,32731146000.0,45525692000.0
2055.0,34369880000.0,44906110000.0,31148816000.0,45773340000.0
2056.0,34192882000.0,45766890000.0,32335972000.0,47434703000.0
2057.0,33818761000.0,47272120000.0,33291293000.0,47636160000.0
2058.0,33729160000.0,48505463000.0,34059147000.0,47451513000.0
2059.0,33207450000.0,48572908000.0,31555707000.0,45493270000.0
2060.0,32871390000.0,47370777000.0,33373220000.0,47992844000.0
2061.0,34000600000.0,47779107000.0,34204412000.0,49199740000.0
2062.0,34502574000.0,48347046000.0,33483743000.0,49463046000.0
2063.0,33636000000.0,47226580000.0,32904700000.0,50694267000.0
2064.0,33469788000.0,47152337000.0,33387495000.0,50517210000.0
2065.0,33507676000.0,48311083000.0,33730206000.0,51542073000.0
2066.0,33311052000.0,49167897000.0,33130244000.0,48645296000.0
2067.0,33408893000.0,50271190000.0,33866224000.0,48446860000.0
2068.0,34493290000.0,51693306000.0,33752594000.0,47941136000.0
2069.0,34053327000.0,51798258000.0,32694387000.0,48441630000.0
2070.0,33348600000.0,52533875000.0,33952979000.0,48545510000.0
2071.0,33762710000.0,51468394000.0,33645654000.0,51882516000.0
2072.0,34508480000.0,49422850000.0,32599261000.0,50531734000.0
2073.0,35495410000.0,51448058000.0,34725800000.0,48836420000.0
2074.0,35182100000.0,51307127000.0,35999810000.0,51218133000.0
2075.0,34865467000.0,49762517000.0,34602430000.0,52780760000.0
2076.0,35047543000.0,51373910000.0,34034952000.0,52902343000.0
2077.0,34436220000.0,53328613000.0,34787885000.0,55384523000.0
2078.0,35485843000.0,53318394000.0,33840116000.0,55971970000.0
2079.0,36057833000.0,54417097000.0,33050880000.0,56433210000.0
2080.0,35116610000.0,54397690000.0,34241440000.0,56952490000.0
2081.0,34268277000.0,53423866000.0,35173910000.0,57281585000.0
2082.0,35370602000.0,53561012000.0,35555082000.0,57934690000.0
2083.0,35576620000.0,53775960000.0,35413390000.0,57074640000.0
2084.0,34528834000.0,54285996000.0,34738483000.0,55462257000.0
