time,CESM2,EC-EARTH3,MPI-ESM1-2-HR,INM-CM4-8,INM-CM5-0,CESM2-WACCM,CAMS-CSM1-0,CMCC-CM2-SR5,MRI-ESM2-0,TAIESM1,ACCESS-CM2,IPSL-CM6A-LR,EC-EARTH3-VEG,ACCESS-ESM1-5,CANESM5,NORESM2-MM,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87691560000.0,87576350000.0,87804370000.0,87718670000.0,87498720000.0,87768740000.0,87607930000.0,87872070000.0,87517850000.0,87449200000.0,87636900000.0,87527350000.0,87773905000.0,87709884000.0,88392090000.0,87506756000.0,87965200000.0,87644185000.0,88207250000.0
2022.0,87549620000.0,87440430000.0,87637670000.0,87435980000.0,87369280000.0,87476500000.0,87382510000.0,87473090000.0,87381440000.0,87174095000.0,87399690000.0,87593590000.0,87500420000.0,87464804000.0,87682180000.0,87408130000.0,88047850000.0,87337240000.0,87631045000.0
2023.0,87361900000.0,87491640000.0,87309060000.0,87317800000.0,87609246000.0,87411565000.0,87196090000.0,87382790000.0,87071060000.0,87104440000.0,87378260000.0,87189120000.0,87438230000.0,87335170000.0,87784540000.0,87244580000.0,87630660000.0,87088410000.0,87468106000.0
2024.0,87114630000.0,87125460000.0,87239614000.0,87108910000.0,87290090000.0,87319430000.0,87104370000.0,87262450000.0,86931810000.0,86926100000.0,87076640000.0,87215910000.0,87061545000.0,87314760000.0,87095140000.0,87624140000.0,87227610000.0,87298910000.0,87417725000.0
2025.0,86947910000.0,86983975000.0,87064030000.0,87457680000.0,86952510000.0,87015770000.0,86951110000.0,87432950000.0,86916340000.0,86761840000.0,86911530000.0,87361870000.0,86949675000.0,87028720000.0,86802720000.0,87140884000.0,87029620000.0,86963540000.0,87271750000.0
2026.0,86774790000.0,87348710000.0,86952970000.0,87121584000.0,87144450000.0,86908050000.0,86755720000.0,87122400000.0,86623250000.0,86653660000.0,87839015000.0,86936490000.0,86731880000.0,87028580000.0,86660840000.0,86851674000.0,86915070000.0,86805090000.0,87571735000.0
2027.0,86562850000.0,86606670000.0,87119840000.0,86676010000.0,87168745000.0,86914840000.0,86675915000.0,86904190000.0,86719850000.0,86424535000.0,86954960000.0,86826254000.0,86676220000.0,86785340000.0,86694320000.0,86658320000.0,87132530000.0,86708050000.0,86972150000.0
