time,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0
2000.0,89173320000.0,89173320000.0,89173320000.0,89173320000.0
2001.0,88896274000.0,88896274000.0,88896274000.0,88896274000.0
2002.0,88782586000.0,88782586000.0,88782586000.0,88782586000.0
2003.0,88609910000.0,88609910000.0,88609910000.0,88609910000.0
2004.0,88458990000.0,88458990000.0,88458990000.0,88458990000.0
2005.0,88440170000.0,88440170000.0,88440170000.0,88440170000.0
2006.0,88511850000.0,88511850000.0,88511850000.0,88511850000.0
2007.0,88851500000.0,88851500000.0,88851500000.0,88851500000.0
2008.0,88522334000.0,88522334000.0,88522334000.0,88522334000.0
2009.0,88326810000.0,88326810000.0,88326810000.0,88326810000.0
2010.0,88047540000.0,88047540000.0,88047540000.0,88047540000.0
2011.0,87942480000.0,87942480000.0,87942480000.0,87942480000.0
2012.0,88147620000.0,88147620000.0,88147620000.0,88147620000.0
2013.0,88202940000.0,88202940000.0,88202940000.0,88202940000.0
2014.0,88882460000.0,88882460000.0,88882460000.0,88882460000.0
2015.0,88072356000.0,88072356000.0,88072356000.0,88072356000.0
2016.0,89330650000.0,89330650000.0,89330650000.0,89330650000.0
2017.0,88130000000.0,88130000000.0,88130000000.0,88130000000.0
2018.0,87990305000.0,87990305000.0,87990305000.0,87990305000.0
2019.0,89762340000.0,89762340000.0,89762340000.0,89762340000.0
2020.0,87779975000.0,87779975000.0,87779975000.0,87779975000.0
2021.0,87406580000.0,87608070000.0,87644275000.0,87604880000.0
2022.0,87433770000.0,87683630000.0,87597090000.0,87581840000.0
2023.0,87454430000.0,87259350000.0,87157910000.0,87762820000.0
2024.0,87030090000.0,87260410000.0,86965400000.0,87437000000.0
2025.0,86882780000.0,87219180000.0,86794445000.0,87209690000.0
2026.0,86649320000.0,87038706000.0,87807680000.0,87206820000.0
2027.0,86682530000.0,87160170000.0,86759640000.0,87296410000.0
2028.0,86450270000.0,86667670000.0,86459920000.0,86948274000.0
2029.0,86318030000.0,86451300000.0,86253460000.0,86820905000.0
2030.0,86041200000.0,86304350000.0,86090390000.0,86999920000.0
2031.0,85863875000.0,86207550000.0,85838410000.0,86708030000.0
2032.0,85990320000.0,86346646000.0,85666220000.0,86521180000.0
2033.0,85569495000.0,86308520000.0,85450460000.0,86933635000.0
2034.0,85279620000.0,85612225000.0,85240630000.0,87036410000.0
2035.0,84968950000.0,85434650000.0,85037090000.0,87020210000.0
2036.0,84951150000.0,85203804000.0,84639030000.0,86372530000.0
2037.0,84675535000.0,85261870000.0,84927816000.0,86305510000.0
2038.0,84349170000.0,84767280000.0,84107500000.0,85915720000.0
2039.0,84360440000.0,85061920000.0,83765130000.0,85734700000.0
2040.0,83900640000.0,84389224000.0,83350290000.0,85951324000.0
2041.0,83543876000.0,84231240000.0,83049080000.0,85715190000.0
2042.0,83190150000.0,83940180000.0,83005790000.0,85245430000.0
2043.0,83421310000.0,83647360000.0,82339996000.0,85305830000.0
2044.0,83641390000.0,83442745000.0,82035380000.0,85039810000.0
2045.0,82904056000.0,83409740000.0,81943134000.0,86146930000.0
2046.0,82833650000.0,82950900000.0,81571996000.0,84860380000.0
2047.0,82375570000.0,83026560000.0,81235665000.0,84663530000.0
2048.0,82275560000.0,82447430000.0,80789310000.0,84654890000.0
2049.0,81934180000.0,82148850000.0,81157120000.0,84469370000.0
2050.0,81992516000.0,83085690000.0,80383010000.0,84069106000.0
2051.0,82333240000.0,82266000000.0,80360310000.0,83938210000.0
2052.0,81595430000.0,81979360000.0,79698950000.0,83830940000.0
2053.0,81496600000.0,81619280000.0,79172070000.0,83754240000.0
2054.0,80980810000.0,81337280000.0,78829100000.0,83451600000.0
2055.0,80909730000.0,80879900000.0,78453930000.0,83487590000.0
2056.0,80231230000.0,81037300000.0,78076640000.0,83274400000.0
2057.0,80237650000.0,80796050000.0,77767475000.0,83342590000.0
2058.0,79526110000.0,80315500000.0,77305330000.0,82985190000.0
2059.0,79110840000.0,80035455000.0,77567330000.0,82923815000.0
2060.0,78678270000.0,79959360000.0,76766210000.0,82527630000.0
2061.0,78755660000.0,80010680000.0,79448630000.0,82680710000.0
2062.0,79127290000.0,79200895000.0,77945250000.0,82439290000.0
