time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85118990000.0,85123650000.0,85175430000.0
2022.0,84735850000.0,85004590000.0,85108440000.0
2023.0,85095020000.0,84493790000.0,85046420000.0
2024.0,84864800000.0,84112590000.0,84416530000.0
2025.0,84383910000.0,83730990000.0,84234690000.0
2026.0,84065894000.0,83310200000.0,83721670000.0
2027.0,83833640000.0,82661860000.0,83238170000.0
2028.0,83539040000.0,82196620000.0,82590180000.0
2029.0,83297740000.0,81818400000.0,82034260000.0
2030.0,82887580000.0,81440555000.0,81131790000.0
2031.0,83428600000.0,81407885000.0,80415510000.0
2032.0,82412150000.0,81167630000.0,79944610000.0
2033.0,82298820000.0,80232560000.0,79099175000.0
2034.0,81749530000.0,79416260000.0,78142360000.0
2035.0,81366910000.0,79207965000.0,77328060000.0
2036.0,80759120000.0,78905295000.0,76574876000.0
2037.0,80170770000.0,78458550000.0,75725820000.0
2038.0,79674970000.0,77802230000.0,74707780000.0
2039.0,79571670000.0,77465570000.0,73782760000.0
2040.0,79447280000.0,77252080000.0,72901040000.0
2041.0,78661450000.0,77749910000.0,72137100000.0
2042.0,77978894000.0,76463840000.0,71332690000.0
2043.0,77644960000.0,75793375000.0,70517760000.0
2044.0,77441720000.0,75253240000.0,69686534000.0
2045.0,76547220000.0,74721260000.0,68711700000.0
2046.0,75793660000.0,74424940000.0,67672797000.0
2047.0,74860130000.0,73722850000.0,66972640000.0
2048.0,74122576000.0,73079740000.0,67591220000.0
2049.0,73557430000.0,72461935000.0,65767930000.0
2050.0,73157230000.0,72525080000.0,65471574000.0
2051.0,72384770000.0,71224470000.0,64497310000.0
2052.0,71634990000.0,70511215000.0,63711826000.0
2053.0,70753120000.0,69835620000.0,62576534000.0
2054.0,69978145000.0,69086270000.0,61852107000.0
2055.0,69308500000.0,68465660000.0,61284670000.0
2056.0,68399362000.0,67927933000.0,60581994000.0
2057.0,67750875000.0,67546464000.0,59766060000.0
2058.0,67090887000.0,67027500000.0,58926203000.0
2059.0,66574926000.0,66387984000.0,58236720000.0
2060.0,65841246000.0,65661320000.0,57564205000.0
2061.0,64969134000.0,65159240000.0,56975335000.0
2062.0,64290510000.0,64359055000.0,56056480000.0
2063.0,63744045000.0,63754460000.0,54977730000.0
2064.0,63150800000.0,63092440000.0,53827190000.0
2065.0,62354390000.0,62993490000.0,52884880000.0
2066.0,61766010000.0,62104560000.0,52131940000.0
2067.0,60831690000.0,61297254000.0,51568810000.0
2068.0,60028883000.0,60487586000.0,50806120000.0
2069.0,59467174000.0,59625520000.0,50189990000.0
2070.0,58755334000.0,58762056000.0,49452950000.0
2071.0,58089013000.0,58076455000.0,48621870000.0
2072.0,57309004000.0,57353015000.0,47835587000.0
2073.0,56493134000.0,56853050000.0,47143092000.0
2074.0,55848220000.0,56231680000.0,46410514000.0
2075.0,55068690000.0,55613022000.0,45688680000.0
2076.0,54684700000.0,55005280000.0,44838638000.0
2077.0,54073233000.0,54110760000.0,44076290000.0
2078.0,53162170000.0,53421660000.0,43346980000.0
2079.0,52535845000.0,52254190000.0,42469343000.0
2080.0,51761170000.0,51644510000.0,41711750000.0
2081.0,50992865000.0,51141075000.0,41188510000.0
2082.0,50068754000.0,50339390000.0,40440090000.0
2083.0,49435960000.0,49846190000.0,39681004000.0
2084.0,48794964000.0,48903380000.0,39064404000.0
2085.0,48006650000.0,48143495000.0,38400123000.0
2086.0,47110607000.0,47477314000.0,37650170000.0
2087.0,46545043000.0,46816707000.0,36909230000.0
2088.0,45886788000.0,45986673000.0,36149395000.0
2089.0,45302930000.0,45081534000.0,35294155000.0
2090.0,44641935000.0,44347960000.0,34316143000.0
2091.0,44064813000.0,43657590000.0,33438624000.0
2092.0,43402105000.0,42879967000.0,32771690000.0
2093.0,42766650000.0,42292130000.0,31909200000.0
2094.0,41960186000.0,41583400000.0,31261000000.0
2095.0,41354523000.0,40742597000.0,30676668000.0
2096.0,40809260000.0,40064180000.0,29853160000.0
2097.0,40032137000.0,39468150000.0,29028196000.0
2098.0,39390106000.0,38775378000.0,28379967000.0
2099.0,38841012000.0,38036890000.0,27719803000.0
2100.0,38106480000.0,37508657000.0,27137830000.0
2101.0,37404600000.0,36698980000.0,26457629000.0
2102.0,36629040000.0,36064760000.0,25700702000.0
2103.0,35936403000.0,35231200000.0,25203708000.0
2104.0,35427790000.0,34617496000.0,24354253000.0
2105.0,34549068000.0,33834668000.0,23643780000.0
2106.0,33646991000.0,33151525000.0,23101698000.0
2107.0,32808544000.0,32397224000.0,22599924000.0
2108.0,31948580000.0,31831968000.0,22021167000.0
2109.0,31158616000.0,31346733000.0,21413472000.0
2110.0,30054705000.0,30822111000.0,20874326000.0
2111.0,29270223000.0,30243447000.0,20260780000.0
2112.0,28432937000.0,29787038000.0,19729190000.0
2113.0,27800179000.0,29221872000.0,19205069000.0
2114.0,27143668000.0,28863939000.0,18702604000.0
2115.0,26317290000.0,28316297000.0,18140105000.0
2116.0,25444155000.0,27939760000.0,17674592000.0
2117.0,24597310000.0,27538385000.0,17216152000.0
2118.0,24016270000.0,27055010000.0,16638734000.0
2119.0,23270808000.0,26723545000.0,16244265000.0
2120.0,22576884000.0,26116938000.0,15807468000.0
2121.0,22071613000.0,25681482000.0,15436326000.0
2122.0,21683073000.0,25162123000.0,14913096000.0
2123.0,20999033000.0,24720380000.0,14681494000.0
2124.0,20394717000.0,24341754000.0,14408921000.0
2125.0,19700670000.0,24030626000.0,14156905000.0
2126.0,19033380000.0,23571399000.0,13921513000.0
2127.0,18593411000.0,23164983000.0,13532042000.0
2128.0,18222744000.0,22839927000.0,13167943000.0
2129.0,17704784000.0,22574146000.0,12741694000.0
2130.0,17160258000.0,22170757000.0,12416555000.0
2131.0,16808679000.0,21829386000.0,12139781000.0
2132.0,16270965000.0,21574810000.0,11892497000.0
2133.0,15977713000.0,21291444000.0,11611555000.0
2134.0,15659524000.0,21061904000.0,11374637000.0
2135.0,15374201000.0,20938387000.0,11119673000.0
2136.0,15131819000.0,20675697000.0,10841515000.0
2137.0,14774210000.0,20272640000.0,10571617000.0
2138.0,14578135000.0,19973634000.0,10341346000.0
2139.0,14356287000.0,19769006000.0,10143571000.0
2140.0,14139038000.0,19527252000.0,9969980000.0
2141.0,13864706000.0,19300008000.0,9775309000.0
2142.0,13707488000.0,19145580000.0,9623010000.0
2143.0,13344644000.0,19018967000.0,9433155000.0
2144.0,13066897000.0,18748610000.0,9288925000.0
2145.0,12732966000.0,18578444000.0,9163002000.0
2146.0,12497721000.0,18420525000.0,9002458000.0
2147.0,12204671000.0,18248264000.0,8821462000.0
2148.0,11931522000.0,18005981000.0,8722572000.0
2149.0,11579368000.0,17800888000.0,8645009000.0
2150.0,11394610000.0,17696184000.0,8510704000.0
2151.0,11149990000.0,17539020000.0,8434246000.0
2152.0,10896522000.0,17422991000.0,8348720000.0
2153.0,10775504000.0,17222398000.0,8303700500.0
2154.0,10511534000.0,17078768000.0,8188405000.0
2155.0,10191978000.0,16910500000.0,8120060400.0
2156.0,10055596000.0,16772922000.0,8015651300.0
2157.0,9846574000.0,16637920000.0,7899720700.0
2158.0,9746203000.0,16467604000.0,7816120000.0
2159.0,9505526000.0,16348109000.0,7734286000.0
2160.0,9393204000.0,16214595000.0,7690775000.0
2161.0,9290158000.0,16091469000.0,7653204000.0
2162.0,9063226000.0,15987596000.0,7562595000.0
2163.0,8958502000.0,15946513000.0,7451401700.0
2164.0,8852061000.0,15822746000.0,7375244000.0
2165.0,8700652000.0,15653520000.0,7346770000.0
2166.0,8552857000.0,15589347000.0,7275354600.0
2167.0,8365513000.0,15436586000.0,7190958600.0
2168.0,8143796000.0,15345931000.0,7048506000.0
2169.0,8040727000.0,15236395000.0,6909481000.0
2170.0,7949443000.0,15139503000.0,6727394300.0
2171.0,7791205400.0,15106019000.0,6692456400.0
