time,CSIRO-MK3-6-0,NORESM1-M,CESM1-CAM5,MPI-ESM-LR
2042.0,76195750000.0,74550020000.0,76294010000.0,76180914000.0
2043.0,75629810000.0,73487840000.0,77020300000.0,75207205000.0
2044.0,75226950000.0,72750014000.0,75868905000.0,74655600000.0
2045.0,74536215000.0,71802610000.0,75093550000.0,74070590000.0
2046.0,73745650000.0,70971834000.0,74582080000.0,73465050000.0
2047.0,73177030000.0,70698795000.0,73908660000.0,72855740000.0
2048.0,72752510000.0,69789740000.0,73508590000.0,72473730000.0
2049.0,72127470000.0,68827390000.0,72937290000.0,71868560000.0
2050.0,71458550000.0,67802706000.0,72327650000.0,72570266000.0
2051.0,70776594000.0,67068326000.0,71616980000.0,71810430000.0
2052.0,69860010000.0,66135710000.0,70826240000.0,70788020000.0
2053.0,69087910000.0,65197700000.0,70312460000.0,69817650000.0
2054.0,68286800000.0,64394314000.0,69935000000.0,69011890000.0
2055.0,67246870000.0,63762395000.0,68786850000.0,68939850000.0
2056.0,66681274000.0,63139783000.0,67923540000.0,68363076000.0
2057.0,66202290000.0,62362477000.0,67119555000.0,67514327000.0
2058.0,65199170000.0,61421638000.0,66364390000.0,67588022000.0
2059.0,64336780000.0,60672390000.0,65604750000.0,66645950000.0
2060.0,63310990000.0,60157792000.0,64732197000.0,65868270000.0
2061.0,62659760000.0,59428344000.0,63990770000.0,65302626000.0
2062.0,61961298000.0,58648736000.0,63492178000.0,64722215000.0
2063.0,61069620000.0,57992430000.0,63143297000.0,64611127000.0
2064.0,60293255000.0,57431368000.0,62475223000.0,63655160000.0
2065.0,59750613000.0,56616776000.0,61475172000.0,63105712000.0
2066.0,59103187000.0,55965323000.0,60902494000.0,62602410000.0
2067.0,58394240000.0,55383884000.0,60016750000.0,62107840000.0
2068.0,58105184000.0,54880550000.0,58706276000.0,61654610000.0
2069.0,57325850000.0,54548648000.0,58007413000.0,61189050000.0
2070.0,56804327000.0,53763387000.0,57252250000.0,60423397000.0
2071.0,56268923000.0,53278507000.0,56365780000.0,59763466000.0
2072.0,55631163000.0,53142614000.0,55915336000.0,59962240000.0
2073.0,55013240000.0,52425740000.0,55169114000.0,59050717000.0
2074.0,54327790000.0,51821056000.0,54463975000.0,58708775000.0
2075.0,53793950000.0,51254620000.0,54101586000.0,58195320000.0
2076.0,53196714000.0,51021760000.0,53561594000.0,57761690000.0
2077.0,52506570000.0,51185800000.0,52975124000.0,59430980000.0
2078.0,51960836000.0,49833517000.0,52346810000.0,57368576000.0
2079.0,51335030000.0,49360980000.0,51843006000.0,56698343000.0
2080.0,50679790000.0,48817830000.0,51369300000.0,56336253000.0
2081.0,50239324000.0,48037430000.0,51029225000.0,55870380000.0
2082.0,49534810000.0,47480664000.0,50122380000.0,55250166000.0
2083.0,49088012000.0,46886640000.0,49209586000.0,54883856000.0
2084.0,48878776000.0,46489650000.0,48612140000.0,54501966000.0
2085.0,48455790000.0,45788020000.0,48225137000.0,54939283000.0
2086.0,47896450000.0,45199000000.0,47491396000.0,54017140000.0
2087.0,47519937000.0,45097914000.0,46898150000.0,53563980000.0
2088.0,47134274000.0,47089720000.0,46309430000.0,53249050000.0
2089.0,46693454000.0,46067060000.0,45629395000.0,53060436000.0
2090.0,46280212000.0,43839455000.0,44854480000.0,52719350000.0
2091.0,45882335000.0,43205956000.0,44240230000.0,53661606000.0
2092.0,45292900000.0,42730467000.0,43679216000.0,52083937000.0
2093.0,44742270000.0,43079086000.0,43220197000.0,52110967000.0
2094.0,44291110000.0,42303844000.0,42542092000.0,51574374000.0
2095.0,44126646000.0,41608510000.0,42315997000.0,51202503000.0
2096.0,43762213000.0,41162527000.0,41719837000.0,50729726000.0
2097.0,43420643000.0,40708750000.0,41113137000.0,50509644000.0
2098.0,43129545000.0,40240190000.0,40643260000.0,50498800000.0
2099.0,42744350000.0,39652905000.0,40212718000.0,50030297000.0
2100.0,42313675000.0,39318190000.0,39741604000.0,53434880000.0
2101.0,41909637000.0,38901500000.0,39203148000.0,49560973000.0
2102.0,41483563000.0,38307600000.0,38772820000.0,49191710000.0
2103.0,41213215000.0,38405820000.0,38122086000.0,48929450000.0
2104.0,40779220000.0,37639290000.0,37740274000.0,48588804000.0
2105.0,40479100000.0,37196140000.0,37324980000.0,48281710000.0
2106.0,40183790000.0,37150286000.0,36607920000.0,47990043000.0
2107.0,39908280000.0,36404930000.0,36257976000.0,47924113000.0
2108.0,39465890000.0,36345880000.0,35558270000.0,47629670000.0
2109.0,38984933000.0,35768324000.0,35054400000.0,47321610000.0
2110.0,38709146000.0,35334824000.0,34543546000.0,46919475000.0
2111.0,38371967000.0,34974466000.0,33965420000.0,47057793000.0
2112.0,37918605000.0,34535854000.0,33389158000.0,46511810000.0
2113.0,37552726000.0,34147414000.0,33065005000.0,46455325000.0
2114.0,37375685000.0,33772580000.0,32478106000.0,46099972000.0
2115.0,38200476000.0,33265201000.0,32110156000.0,45608255000.0
2116.0,37055810000.0,32791415000.0,31669041000.0,45274930000.0
2117.0,36863906000.0,32460603000.0,31443660000.0,45150710000.0
2118.0,36300005000.0,32502040000.0,31827160000.0,44716860000.0
2119.0,35899163000.0,31889166000.0,30695140000.0,44565680000.0
2120.0,35710173000.0,31404925000.0,30401507000.0,44096780000.0
2121.0,35558883000.0,30907871000.0,30102428000.0,43807855000.0
2122.0,34969240000.0,30747718000.0,29617610000.0,43467200000.0
2123.0,34709790000.0,30253445000.0,29170352000.0,43291350000.0
2124.0,34682450000.0,29944705000.0,28753185000.0,43329593000.0
2125.0,34175640000.0,29652742000.0,28329832000.0,42666705000.0
2126.0,33822974000.0,29255123000.0,27769407000.0,42621510000.0
2127.0,33641562000.0,28704080000.0,27525399000.0,42225172000.0
2128.0,33358787000.0,28312283000.0,27142630000.0,41945895000.0
2129.0,33098480000.0,27975223000.0,26662797000.0,41730770000.0
2130.0,33030390000.0,27548924000.0,26365050000.0,41323630000.0
2131.0,32642763000.0,27266570000.0,26460623000.0,41137484000.0
2132.0,32309187000.0,26983145000.0,25770007000.0,41196630000.0
2133.0,32055520000.0,26836867000.0,25371556000.0,40632910000.0
2134.0,31744975000.0,26517996000.0,25062600000.0,40453660000.0
2135.0,31331047000.0,26369462000.0,24707060000.0,40154930000.0
2136.0,31020356000.0,25922509000.0,24187521000.0,40327820000.0
