time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CESM2-WACCM
2085.0,3242058800000.0,2591311800000.0,2746747000000.0,2355671900000.0
2086.0,3225727800000.0,2586369300000.0,2725161500000.0,2334246300000.0
2087.0,3227632300000.0,2567585700000.0,2704639500000.0,2300453800000.0
2088.0,3212616100000.0,2530940000000.0,2694596000000.0,2286836500000.0
2089.0,3204169600000.0,2518780000000.0,2684125200000.0,2253095700000.0
2090.0,3196006000000.0,2507004200000.0,2662272900000.0,2241877800000.0
2091.0,3181605300000.0,2480668100000.0,2649562800000.0,2218018700000.0
2092.0,3170957800000.0,2463115500000.0,2642276000000.0,2206584500000.0
2093.0,3161106400000.0,2444860600000.0,2634581000000.0,2182306300000.0
2094.0,3154820700000.0,2429433200000.0,2626584300000.0,2154022200000.0
2095.0,3130467500000.0,2406650000000.0,2614959500000.0,2125388800000.0
2096.0,3111557500000.0,2387194200000.0,2606595800000.0,2087583600000.0
2097.0,3098886500000.0,2373181800000.0,2599228500000.0,2069270000000.0
2098.0,3090906600000.0,2351834300000.0,2578847400000.0,2051269200000.0
2099.0,3079446000000.0,2334955000000.0,2561706000000.0,2048197000000.0
2100.0,3055663400000.0,2315916700000.0,2551160000000.0,2030176600000.0
