time,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,CESM2,BCC-CSM2-MR,FGOALS-F3-L,INM-CM5-0,INM-CM4-8,EC-EARTH3,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,CMCC-CM2-SR5,NORESM2-MM
2016.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0,4841962700000.0
2017.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0,4788175000000.0
2018.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0,4760416000000.0
2019.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0,4717907000000.0
2020.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0,4687803700000.0
2021.0,4686017500000.0,4651243500000.0,4651727000000.0,4653415700000.0,4670443000000.0,4666506600000.0,4662511500000.0,4649491400000.0,4660665500000.0,4678458000000.0,4648979000000.0,4676608000000.0,4664362000000.0,4653209600000.0,4632069000000.0,4666848000000.0,4641969400000.0,4651495000000.0,4639364000000.0
2022.0,4669329000000.0,4621045000000.0,4617664000000.0,4629897000000.0,4645682000000.0,4643054000000.0,4626200000000.0,4609275000000.0,4643624600000.0,4656186000000.0,4622328500000.0,4635008400000.0,4641107000000.0,4626286000000.0,4584902000000.0,4646883600000.0,4592447000000.0,4638804300000.0,4610084000000.0
2023.0,4646544000000.0,4574674400000.0,4595039300000.0,4609551600000.0,4627563000000.0,4610855500000.0,4591342600000.0,4580112300000.0,4618462400000.0,4631063700000.0,4591492000000.0,4608759000000.0,4617440000000.0,4611624000000.0,4565018600000.0,4620489300000.0,4548849000000.0,4636796000000.0,4596834000000.0
2024.0,4622718000000.0,4531081000000.0,4588128000000.0,4575931700000.0,4622642600000.0,4593739600000.0,4553206400000.0,4547700300000.0,4576147700000.0,4599955000000.0,4557996000000.0,4566399000000.0,4587798000000.0,4583011600000.0,4537944400000.0,4579261400000.0,4508510300000.0,4616098400000.0,4563205600000.0
2025.0,4594699000000.0,4485134400000.0,4557378700000.0,4534943400000.0,4597679700000.0,4563949000000.0,4522236000000.0,4505460000000.0,4553504700000.0,4570993000000.0,4547558000000.0,4538000000000.0,4551318400000.0,4549071300000.0,4509189000000.0,4539364700000.0,4461307600000.0,4600641400000.0,4508825000000.0
2026.0,4582003000000.0,4446536300000.0,4508009600000.0,4486321000000.0,4579642000000.0,4546926000000.0,4491745000000.0,4468573700000.0,4532751300000.0,4539953400000.0,4496199000000.0,4519811400000.0,4514915500000.0,4504495000000.0,4477992600000.0,4506155000000.0,4407961000000.0,4586514400000.0,4442808600000.0
2027.0,4553593300000.0,4422315000000.0,4479511000000.0,4438740000000.0,4564013500000.0,4523647000000.0,4465080400000.0,4451110000000.0,4511095000000.0,4508402300000.0,4451637700000.0,4474292700000.0,4500635000000.0,4464478000000.0,4456300000000.0,4485177000000.0,4390327200000.0,4570775000000.0,4419073600000.0
2028.0,4531830000000.0,4383441000000.0,4457035700000.0,4407036500000.0,4516745300000.0,4502167500000.0,4440939000000.0,4397558000000.0,4476123000000.0,4471928000000.0,4399143300000.0,4422208000000.0,4475887600000.0,4453684000000.0,4402176000000.0,4461119400000.0,4368149000000.0,4539371500000.0,4390974000000.0
2029.0,4507747000000.0,4338998300000.0,4420731000000.0,4372059400000.0,4497339300000.0,4467162300000.0,4396800500000.0,4322988400000.0,4467025500000.0,4430108000000.0,4373860800000.0,4397040700000.0,4440110000000.0,4434691600000.0,4350666000000.0,4447601000000.0,4330753600000.0,4519709600000.0,4379103500000.0
2030.0,4480144000000.0,4301519600000.0,4361150300000.0,4332729100000.0,4468241000000.0,4431272000000.0,4352833700000.0,4283446600000.0,4450239400000.0,4403077600000.0,4331260600000.0,4387592500000.0,4424649000000.0,4391292400000.0,4320332600000.0,4421445000000.0,4306538600000.0,4474345600000.0,4380895200000.0
2031.0,4461716600000.0,4265348000000.0,4326434300000.0,4292202700000.0,4437332000000.0,4400808000000.0,4299673300000.0,4227283800000.0,4426440400000.0,4386740200000.0,4296605700000.0,4358156300000.0,4412227000000.0,4353822800000.0,4287189700000.0,4411952700000.0,4286914800000.0,4445999000000.0,4349012000000.0
2032.0,4431245000000.0,4228463500000.0,4282074300000.0,4256696400000.0,4418906000000.0,4389257600000.0,4267784800000.0,4160479000000.0,4414426300000.0,4358897100000.0,4270526800000.0,4310895700000.0,4385493200000.0,4308212600000.0,4231093800000.0,4378938600000.0,4250203000000.0,4417228000000.0,4295418400000.0
